,Washington,forecast,interval_low,interval_high
2020-03-25,263.0,533.9242852983596,,
2020-03-26,616.0,470.4734016144721,,
2020-03-27,270.0,-426.94287929913366,,
2020-03-28,553.0,942.1582564498616,,
2020-03-29,435.0,47.01994960966971,,
2020-03-30,458.0,544.0726880271077,,
2020-03-31,509.0,423.252235812953,,
2020-04-01,176.0,184.24801423786198,,
2020-04-02,781.0,1447.2622970179941,,
2020-04-03,457.0,-392.34054232703625,,
2020-04-04,401.0,781.3649644226282,,
2020-04-05,578.0,794.4053932373979,,
2020-04-06,486.0,366.52921597480713,,
2020-04-07,381.0,441.6103183680572,,
2020-04-08,584.0,856.9363268757847,,
2020-04-09,363.0,223.10243101322214,,
2020-04-10,480.0,817.8725170984363,,
2020-04-11,315.0,257.27212434557623,,
2020-04-12,175.0,558.9236930008507,,
2020-04-13,26.0,416.4677812989587,,
2020-04-14,164.0,681.1824811580816,,
2020-04-15,143.0,139.9234975363812,,
2020-04-16,115.0,200.00142585905158,,
2020-04-17,460.0,582.4150895414232,,
2020-04-18,259.0,-346.97887207272424,,
2020-04-19,202.0,271.3194515579977,,
2020-04-20,136.0,195.86048366691745,,
2020-04-21,278.0,447.18846579274947,,
2020-04-22,204.0,-60.34166221084462,,
2020-04-23,157.0,242.5410846037857,,
2020-04-24,224.0,391.88708177085255,,
2020-04-25,342.0,275.4837645593656,,
2020-04-26,202.0,-81.54388711984376,,
2020-04-27,165.0,311.4441554594325,,
2020-04-28,156.0,293.21271230556437,,
2020-04-29,228.0,288.7114811213406,,
2020-04-30,257.0,126.44960883399801,,
2020-05-01,310.0,246.4502110093565,,
2020-05-02,366.0,255.2836544594938,,
2020-05-03,182.0,6.375403875680206,,
2020-05-04,277.0,522.5288411090285,,
2020-05-05,132.0,38.0157660410359,,
2020-05-06,311.0,572.9276953068022,,
2020-05-07,326.0,93.97801426200289,,
2020-05-08,157.0,105.28526145408179,,
2020-05-09,286.0,561.9391796544153,,
2020-05-10,217.0,88.0023022206374,,
2020-05-11,231.0,306.0865510644474,,
2020-05-12,208.0,188.4595510471062,,
2020-05-13,182.0,286.5104055993188,,
2020-05-14,261.0,334.5108674333843,,
2020-05-15,178.0,58.984969498794285,,
2020-05-16,337.0,466.05804043154455,,
2020-05-17,145.0,-112.48297369061322,,
2020-05-18,178.0,451.74608364030763,,
2020-05-19,200.0,215.25163438830077,,
2020-05-20,160.0,159.971808751925,,
2020-05-21,146.0,206.48997994842625,,
2020-05-22,148.0,230.7626960927531,,
2020-05-23,0.0,48.88749339047345,,
2020-05-24,563.0,837.3945598301187,,
2020-05-25,237.0,-704.486512104945,,
2020-05-26,116.0,369.03051160448865,,
2020-05-27,225.0,483.04853182604325,,
2020-05-28,358.0,301.14407875554696,,
2020-05-29,307.0,-54.82591867835623,,
2020-05-30,278.0,282.130167411793,,
2020-05-31,353.0,497.1417421680741,,
2020-06-01,275.0,138.02540807331602,,
2020-06-02,180.0,242.06334835502207,,
2020-06-03,327.0,562.620553866317,,
2020-06-04,245.0,110.28365612176282,,
2020-06-05,264.0,373.80085988570806,,
2020-06-06,449.0,471.23356268326893,,
2020-06-07,287.0,-8.635234206076404,,
2020-06-08,312.0,466.30960041778843,,
2020-06-09,313.0,319.41044546516525,,
2020-06-10,0.0,38.72531444758852,,
2020-06-11,425.0,1001.7416443689016,,
2020-06-12,392.0,-122.59528666673077,,
2020-06-13,367.0,292.28963750869224,,
2020-06-14,296.0,263.3378920237914,,
2020-06-15,324.0,505.65799768868817,,
2020-06-16,373.0,312.02466265368184,,
2020-06-17,253.0,124.28623524123802,,
2020-06-18,408.0,657.6154216557549,,
2020-06-19,409.0,240.74241881321115,,
2020-06-20,624.0,572.150205111271,,
2020-06-21,455.0,6.740274680871835,,
2020-06-22,190.0,361.74565079406165,,
2020-06-23,516.0,1047.871264731029,,
2020-06-24,483.0,100.78321244231364,,
2020-06-25,498.0,444.6513890633085,,
2020-06-26,488.0,473.97385675784005,,
2020-06-27,549.0,659.4864935022767,,
2020-06-28,348.0,204.3141387297884,,
2020-06-29,501.0,816.1252911256865,,
2020-06-30,571.0,465.28602400510533,,
2020-07-01,611.0,483.8775328895088,,
2020-07-02,716.0,592.3134568391603,,
2020-07-03,627.0,427.16558405142683,,
2020-07-04,469.0,542.9149720524838,,
2020-07-05,651.0,948.3429319243603,,
2020-07-06,1087.0,911.5262550816826,,
2020-07-07,435.0,-414.68284203466465,,
2020-07-08,521.0,1451.969703631782,,
2020-07-09,640.0,876.3489096660805,,
2020-07-10,637.0,555.1599799410325,,
2020-07-11,0.0,-85.04866692820644,,
2020-07-12,1438.0,2792.5037199020726,,
2020-07-13,1101.0,-1001.726632487022,,
2020-07-14,547.0,318.0686936410555,,
2020-07-15,742.0,1566.856864771597,,
2020-07-16,1267.0,1382.3860516477712,,
2020-07-17,754.0,-388.85988357794076,,
2020-07-18,959.0,1504.5551328124775,,
2020-07-19,,1282.1102256894028,1007.8305247262355,1556.38992665257
2020-07-20,,1053.038108051825,777.1387010333895,1328.9375150702606
2020-07-21,,890.5252219074441,612.347851686164,1168.7025921287243
2020-07-22,,1198.3507994208835,903.149151682336,1493.552447159431
2020-07-23,,1209.0108741238278,900.8876426072017,1517.134105640454
2020-07-24,,1034.1869998156703,724.8680625583117,1343.505937073029
2020-07-25,,1218.0134108068419,886.9573405095423,1549.0694811041415
