,Nevada,forecast,interval_low,interval_high
2020-04-26,195.0,161.2687770298549,141.63253784179688,192.01214599609375
2020-04-27,-34.0,162.33621651785714,143.4244842529297,192.8923797607422
2020-04-28,121.0,163.6492462158203,146.92543029785156,206.8425750732422
2020-04-29,113.0,167.95448521205358,153.30218505859375,199.06265258789062
2020-04-30,119.0,169.9535653250558,146.5690155029297,208.43360900878906
2020-05-01,195.0,166.46539306640625,144.34402465820312,185.5978240966797
2020-05-02,141.0,167.20240129743303,136.92164611816406,183.45040893554688
2020-05-03,83.0,164.61389378138952,134.8468475341797,193.63644409179688
2020-05-04,158.0,155.6281236921038,112.00196838378906,181.07850646972656
2020-05-05,30.0,154.92131151471818,117.37682342529297,185.07733154296875
2020-05-06,81.0,152.32652500697546,116.32649230957031,177.06597900390625
2020-05-07,114.0,152.4784894670759,122.09976196289062,174.25119018554688
2020-05-08,65.0,152.22684369768416,129.22898864746094,168.8227996826172
2020-05-09,251.0,150.02826363699776,110.51717376708984,180.1270751953125
2020-05-10,-51.0,148.38855198451452,120.15496826171875,175.16062927246094
2020-05-11,32.0,146.40646362304688,105.31143951416016,184.5425567626953
2020-05-12,161.0,135.4670399257115,81.02737426757812,173.3227081298828
2020-05-13,163.0,129.0545436314174,93.19920349121094,169.11598205566406
2020-05-14,28.0,124.83318655831474,93.72795867919922,166.8040771484375
2020-05-15,229.0,119.10277230398995,95.95775604248047,135.619873046875
2020-05-16,80.0,121.13046264648438,102.2179946899414,143.47238159179688
2020-05-17,136.0,115.69881439208984,90.66778564453125,130.86062622070312
2020-05-18,112.0,118.88882119315011,93.26847076416016,133.77581787109375
2020-05-19,35.0,129.07558114188058,91.19519805908203,153.64456176757812
2020-05-20,292.0,134.432012285505,96.21184539794922,163.80345153808594
2020-05-21,12.0,139.66229357038225,102.0797348022461,167.53749084472656
2020-05-22,125.0,147.2505166190011,103.14646911621094,170.51846313476562
2020-05-23,1.0,148.23019954136439,109.08159637451172,182.09300231933594
2020-05-24,355.0,153.7291761125837,121.26397705078125,175.81179809570312
2020-05-25,75.0,156.66031101771765,136.43019104003906,184.53396606445312
2020-05-26,101.0,154.20493643624442,139.4288787841797,185.2266387939453
2020-05-27,93.0,157.79050772530692,142.04885864257812,177.1016082763672
2020-05-28,98.0,154.2533176967076,119.81193542480469,185.41229248046875
2020-05-29,128.0,152.25248282296317,127.65779113769531,178.94873046875
2020-05-30,141.0,155.11638641357422,127.66082000732422,182.22216796875
2020-05-31,111.0,164.0740727015904,132.79466247558594,194.5589599609375
2020-06-01,74.0,160.02262442452567,117.20562744140625,187.2557830810547
2020-06-02,156.0,157.08751351492745,120.90141296386719,196.5496826171875
2020-06-03,93.0,150.5890372140067,124.04008483886719,193.02053833007812
2020-06-04,178.0,152.79755510602678,127.39349365234375,207.5035858154297
2020-06-05,180.0,152.17057582310267,135.30001831054688,199.84988403320312
2020-06-06,182.0,153.12042672293526,134.1783447265625,209.03176879882812
2020-06-07,178.0,148.77782113211495,139.8179473876953,156.1480712890625
2020-06-08,147.0,155.8261435372489,146.37045288085938,168.95950317382812
2020-06-09,229.0,165.07443019321985,151.2854766845703,187.62603759765625
2020-06-10,173.0,175.589603969029,158.66998291015625,198.17074584960938
2020-06-11,255.0,188.56232561383928,170.0752410888672,217.6099395751953
2020-06-12,231.0,201.83229064941406,174.54132080078125,228.48741149902344
2020-06-13,293.0,215.10256958007812,185.30886840820312,236.9098358154297
2020-06-14,204.0,229.81650870186942,200.14071655273438,254.19595336914062
2020-06-15,114.0,243.60970851353235,220.50389099121094,262.1891174316406
2020-06-16,368.0,255.35620771135603,233.8509063720703,270.66973876953125
2020-06-17,171.0,269.60813685825894,253.33251953125,282.8772888183594
2020-06-18,315.0,280.7501961844308,261.95416259765625,290.140625
2020-06-19,355.0,291.9478062220982,277.8119812011719,302.8726806640625
2020-06-20,452.0,303.2160339355469,289.01861572265625,312.67138671875
2020-06-21,264.0,313.72215053013394,296.6765441894531,331.0345458984375
