,West Virginia,forecast,interval_low,interval_high
2020-05-01,5.0,1.419260791369847,1.1359460353851318,1.7053780555725098
2020-05-02,2.0,1.3210024322782243,1.1778560876846313,1.5433015823364258
2020-05-03,0.0,1.399790814944676,1.1207406520843506,1.8136664628982544
2020-05-04,0.0,1.4554860421589442,0.9490664005279541,1.9012572765350342
2020-05-05,0.0,1.4654118844441004,1.1453406810760498,1.8443493843078613
2020-05-06,2.0,1.3765073674065726,1.0661855936050415,1.6109299659729004
2020-05-07,1.0,1.3764580999101912,1.0978257656097412,1.6883437633514404
2020-05-08,1.0,1.3717862027032035,0.9382447004318237,1.6856253147125244
2020-05-09,0.0,1.286496639251709,0.8711570501327515,1.6431772708892822
2020-05-10,2.0,1.1189324174608504,0.751481831073761,1.4118167161941528
2020-05-11,0.0,1.007185092994145,0.693683385848999,1.356734275817871
2020-05-12,4.0,0.9204694628715515,0.6196513772010803,1.1601707935333252
2020-05-13,0.0,0.9107964294297355,0.6838675141334534,1.1684945821762085
2020-05-14,2.0,0.9027680073465619,0.6271042227745056,1.2425733804702759
2020-05-15,4.0,0.9657216412680489,0.69024658203125,1.3573567867279053
2020-05-16,0.0,1.0054868119103568,0.6341351270675659,1.408768892288208
2020-05-17,3.0,1.1475062370300293,0.8135063052177429,1.5507824420928955
2020-05-18,1.0,1.2277197667530604,0.7388490438461304,1.6212246417999268
2020-05-19,0.0,1.3000795670918055,1.0427782535552979,1.676296591758728
2020-05-20,1.0,1.3205447452408927,0.9582250714302063,1.5613878965377808
2020-05-21,1.0,1.3283599955695016,1.0609034299850464,1.457177758216858
2020-05-22,2.0,1.3121180364063807,1.0798041820526123,1.444514513015747
2020-05-23,0.0,1.2380935123988561,1.0653170347213745,1.5469043254852295
2020-05-24,0.0,1.2071976491383143,1.0484427213668823,1.447275161743164
2020-05-25,0.0,1.1138711997440882,0.8733821511268616,1.3072620630264282
2020-05-26,0.0,0.9646714755467006,0.7399094104766846,1.1974880695343018
2020-05-27,2.0,0.8533095802579608,0.6097993850708008,1.0605700016021729
2020-05-28,0.0,0.7761764866965157,0.5300310254096985,1.014207363128662
2020-05-29,0.0,0.7289756579058511,0.4790739119052887,0.9537720680236816
2020-05-30,1.0,0.6642093019826072,0.48809489607810974,0.8349010944366455
2020-05-31,0.0,0.595263136284692,0.4413016140460968,0.6676816940307617
2020-06-01,1.0,0.5630928363118853,0.3967621326446533,0.6796145439147949
2020-06-02,2.0,0.5619521013328007,0.46442514657974243,0.6612491607666016
2020-06-03,0.0,0.5855287058012826,0.4250800609588623,0.8022761344909668
2020-06-04,1.0,0.6047808911119189,0.4657045304775238,0.8330938816070557
2020-06-05,5.0,0.647803783416748,0.4479115605354309,0.8718483448028564
