,New York,forecast,interval_low,interval_high
2020-04-24,8130.0,6917.355052647612,6917.355052647612,6917.355052647612
2020-04-25,10553.0,6693.305624890608,6693.305624890608,6693.305624890608
2020-04-26,5902.0,1661.2110406834718,1661.2110406834718,1661.2110406834718
2020-04-27,3951.0,6771.297994925988,6771.297994925988,6771.297994925988
2020-04-28,3110.0,5536.141269079104,5536.141269079104,5536.141269079104
2020-04-29,4585.0,6388.078394766605,6388.078394766605,6388.078394766605
2020-04-30,4681.0,4306.604901990019,4306.604901990019,4306.604901990019
2020-05-01,3942.0,4073.658342671935,4073.658342671935,4073.658342671935
2020-05-02,4663.0,5705.417979229663,5705.417979229663,5705.417979229663
2020-05-03,3438.0,1989.8281007175892,1989.8281007175892,1989.8281007175892
2020-05-04,2538.0,2752.4462629660848,2752.4462629660848,2752.4462629660848
2020-05-05,2239.0,2688.2928192208933,2688.2928192208933,2688.2928192208933
2020-05-06,2786.0,3130.771781282813,3130.771781282813,3130.771781282813
2020-05-07,3491.0,2996.4623502949335,2996.4623502949335,2996.4623502949335
2020-05-08,2938.0,1700.2653334707434,1700.2653334707434,1700.2653334707434
2020-05-09,2715.0,2693.350296180552,2693.350296180552,2693.350296180552
2020-05-10,2273.0,1977.4930689145717,1977.4930689145717,1977.4930689145717
2020-05-11,1660.0,1645.6103853728464,1645.6103853728464,1645.6103853728464
2020-05-12,1430.0,1863.1142977982008,1863.1142977982008,1863.1142977982008
2020-05-13,2176.0,2457.854228455235,2457.854228455235,2457.854228455235
2020-05-14,2390.0,1735.9200706462448,1735.9200706462448,1735.9200706462448
2020-05-15,2762.0,2147.4426336468005,2147.4426336468005,2147.4426336468005
2020-05-16,2419.0,1577.726211964651,1577.726211964651,1577.726211964651
2020-05-17,1889.0,1686.7838779161802,1686.7838779161802,1686.7838779161802
2020-05-18,1250.0,1506.9087787104768,1506.9087787104768,1506.9087787104768
2020-05-19,1474.0,2075.654361251469,2075.654361251469,2075.654361251469
2020-05-20,1525.0,1604.7539557558375,1604.7539557558375,1604.7539557558375
2020-05-21,2088.0,2116.742373108539,2116.742373108539,2116.742373108539
2020-05-22,1696.0,1136.4051469757264,1136.4051469757264,1136.4051469757264
2020-05-23,1772.0,1839.1711190952021,1839.1711190952021,1839.1711190952021
2020-05-24,1589.0,1331.2725933608478,1331.2725933608478,1331.2725933608478
2020-05-25,1249.0,1145.9051076294077,1145.9051076294077,1145.9051076294077
2020-05-26,1072.0,1386.99540249401,1386.99540249401,1386.99540249401
2020-05-27,1129.0,1347.29708145845,1347.29708145845,1347.29708145845
2020-05-28,1768.0,1864.1067452314642,1864.1067452314642,1864.1067452314642
2020-05-29,1551.0,845.5131731277877,845.5131731277877,845.5131731277877
2020-05-30,1376.0,1322.1095321918926,1322.1095321918926,1322.1095321918926
2020-05-31,1110.0,1135.3331010941438,1135.3331010941438,1135.3331010941438
2020-06-01,941.0,1089.108028042463,1089.108028042463,1089.108028042463
2020-06-02,1329.0,1524.975437057004,1524.975437057004,1524.975437057004
2020-06-03,1045.0,682.477749665274,682.477749665274,682.477749665274
2020-06-04,1048.0,1322.1031368106737,1322.1031368106737,1322.1031368106737
2020-06-05,1075.0,1080.1242665709135,1080.1242665709135,1080.1242665709135
2020-06-06,1108.0,999.6918213422263,999.6918213422263,999.6918213422263
2020-06-07,781.0,660.327802622236,660.327802622236,660.327802622236
2020-06-08,702.0,902.1109746904995,902.1109746904995,902.1109746904995
2020-06-09,683.0,839.3082274003232,839.3082274003232,839.3082274003232
2020-06-10,674.0,684.4494810338618,684.4494810338618,684.4494810338618
2020-06-11,736.0,726.9597742552401,726.9597742552401,726.9597742552401
2020-06-12,822.0,697.4858312076899,697.4858312076899,697.4858312076899
