,Vermont,forecast,interval_low,interval_high
2020-03-03,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-03-04,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-03-05,0.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-03-06,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-03-07,0.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-03-08,1.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-03-09,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
2020-03-10,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-03-11,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-03-12,1.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-03-13,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-03-14,3.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-03-15,0.0,0.5747117400169373,0.41687285900115967,0.6935932040214539
2020-03-16,7.0,0.5224400162696838,0.5044781565666199,0.5565668344497681
2020-03-17,0.0,0.8819136619567871,0.4892774224281311,1.082242488861084
2020-03-18,1.0,0.9696138501167297,0.37119391560554504,1.3293999433517456
2020-03-19,9.0,0.8710586428642273,0.5999361276626587,1.0938889980316162
2020-03-20,7.0,1.5303467512130737,1.2677563428878784,1.775398850440979
2020-03-21,20.0,1.3850183486938477,1.0822727680206299,1.6397191286087036
2020-03-22,3.0,2.313066244125366,2.1681952476501465,2.418151617050171
2020-03-23,23.0,2.4287352561950684,2.344388484954834,2.5439271926879883
2020-03-24,20.0,2.7805137634277344,2.4225096702575684,3.0003747940063477
2020-03-25,30.0,2.977870225906372,2.3983945846557617,3.3412466049194336
2020-03-26,33.0,2.9844181537628174,2.711528778076172,3.2118752002716064
2020-03-27,26.0,3.6468114852905273,3.4962761402130127,3.7522830963134766
2020-03-28,27.0,3.4513208866119385,3.1816275119781494,3.776853322982788
2020-03-29,24.0,19.83490562438965,18.128368377685547,21.488452911376953
2020-03-30,21.0,20.294523239135742,20.097963333129883,20.65574073791504
2020-03-31,37.0,20.303312301635742,19.439123153686523,21.47795295715332
2020-04-01,28.0,20.99659538269043,20.094385147094727,21.855329513549805
2020-04-02,17.0,22.46126365661621,21.695556640625,23.387928009033203
2020-04-03,51.0,23.776107788085938,21.45164680480957,25.85679054260254
2020-04-04,72.0,23.77250862121582,21.465904235839844,25.983596801757812
2020-04-05,51.0,25.769834518432617,25.524776458740234,26.062530517578125
2020-04-06,31.0,26.001426696777344,25.277585983276367,26.690187454223633
2020-04-07,32.0,24.918275833129883,24.04045295715332,26.20386505126953
2020-04-08,30.0,24.113073348999023,23.265710830688477,25.018115997314453
2020-04-09,23.0,24.092710494995117,22.883968353271484,26.022689819335938
2020-04-10,51.0,23.50957679748535,21.4669246673584,25.55463218688965
2020-04-11,32.0,22.105470657348633,20.750350952148438,23.30953025817871
2020-04-12,16.0,30.897184371948242,28.752376556396484,33.73079299926758
2020-04-13,21.0,30.0457706451416,27.874530792236328,32.16819381713867
2020-04-14,4.0,27.987306594848633,26.18212890625,28.92209815979004
2020-04-15,7.0,23.92457389831543,23.688566207885742,24.33985710144043
2020-04-16,15.0,19.23409080505371,17.97783851623535,20.378816604614258
2020-04-17,5.0,16.135358810424805,15.070831298828125,17.41425132751465
2020-04-18,24.0,11.285842895507812,8.962686538696289,13.413982391357422
2020-04-19,10.0,13.621891021728516,12.71605396270752,14.738863945007324
2020-04-20,3.0,14.366328239440918,13.87256908416748,14.777471542358398
2020-04-21,2.0,11.690437316894531,10.704047203063965,12.1839599609375
2020-04-22,5.0,9.78860855102539,8.942281723022461,10.5955171585083
2020-04-23,2.0,7.131442546844482,5.9220123291015625,8.976484298706055
2020-04-24,2.0,5.1315693855285645,4.703781604766846,5.979319095611572
2020-04-25,16.0,4.757293224334717,4.339216232299805,5.4475178718566895
2020-04-26,8.0,6.8481879234313965,6.492639541625977,7.187809467315674
2020-04-27,4.0,7.574407577514648,7.101748943328857,8.034917831420898
2020-04-28,7.0,7.112100124359131,6.8346991539001465,7.553561210632324
2020-04-29,0.0,6.976404666900635,6.45525598526001,7.38521671295166
2020-04-30,4.0,6.663835525512695,6.042710781097412,7.386977195739746
2020-05-01,13.0,6.3623127937316895,6.061821937561035,6.768269062042236
2020-05-02,7.0,6.352705478668213,6.016838550567627,6.961639404296875
2020-05-03,11.0,5.457864284515381,5.1159987449646,5.7953057289123535
2020-05-04,5.0,6.0487823486328125,5.5481157302856445,6.606429100036621
2020-05-05,5.0,6.319582462310791,5.877440452575684,6.851413249969482
2020-05-06,1.0,6.632937908172607,6.193602561950684,6.9506025314331055
2020-05-07,8.0,6.709244251251221,6.30081844329834,7.024010181427002
2020-05-08,3.0,6.936826229095459,6.881221771240234,6.984043121337891
2020-05-09,2.0,6.425917148590088,6.139312744140625,6.662572860717773
2020-05-10,6.0,5.669802188873291,5.310126304626465,6.011791706085205
2020-05-11,-1.0,6.2959442138671875,5.793211460113525,6.8245320320129395
2020-05-12,1.0,6.333587169647217,5.961858749389648,6.841297149658203
2020-05-13,2.0,6.509336471557617,6.040804862976074,6.852091312408447
2020-05-14,3.0,6.463636875152588,5.990790367126465,6.907122611999512
2020-05-15,1.0,6.519598484039307,6.45470666885376,6.608250141143799
2020-05-16,1.0,6.185267925262451,5.885931015014648,6.528120040893555
2020-05-17,6.0,2.4410674571990967,2.3222098350524902,2.505671501159668
2020-05-18,0.0,2.6153881549835205,2.481383800506592,2.730771064758301
2020-05-19,4.0,2.653930902481079,2.3486030101776123,2.8799362182617188
2020-05-20,0.0,2.6755313873291016,2.1062960624694824,3.017805814743042
2020-05-21,6.0,2.544658660888672,2.1850674152374268,2.886765718460083
2020-05-22,2.0,2.9507172107696533,2.9395923614501953,2.956388235092163
2020-05-23,2.0,3.0450589656829834,2.7586612701416016,3.4726626873016357
2020-05-24,2.0,2.42793869972229,2.3218207359313965,2.4895107746124268
2020-05-25,6.0,2.5729639530181885,2.4455554485321045,2.7192535400390625
2020-05-26,5.0,2.861032485961914,2.4981393814086914,3.105989456176758
