,Nevada,forecast,interval_low,interval_high
2020-05-16,80.0,1082.4771643678719,,
2020-05-17,136.0,1526.5324536050211,,
2020-05-18,112.0,1339.3373169671695,,
2020-05-19,35.0,1452.9604728278223,,
2020-05-20,292.0,1519.613335058876,,
2020-05-21,12.0,990.6304319099415,,
2020-05-22,125.0,1819.311203008926,,
2020-05-23,1.0,1222.3505230569115,,
2020-05-24,355.0,1652.3556330641711,,
2020-05-25,75.0,780.4049218522391,,
2020-05-26,101.0,1791.6303898063793,,
2020-05-27,93.0,1381.5946601985754,,
2020-05-28,98.0,1409.4323296968132,,
2020-05-29,128.0,1398.9650523407638,,
2020-05-30,141.0,1363.3673911233648,,
2020-05-31,111.0,1422.347249090845,,
2020-06-01,74.0,1369.5546835561206,,
2020-06-02,156.0,1491.2276359798566,,
2020-06-03,93.0,1245.7356970662843,,
2020-06-04,178.0,1495.5357844335772,,
2020-06-05,180.0,1252.218198442276,,
2020-06-06,182.0,1368.9025069718143,,
2020-06-07,178.0,1342.7038381783898,,
2020-06-08,147.0,1389.4878429796322,,
2020-06-09,229.0,1442.25456803209,,
2020-06-10,173.0,1258.3801124660304,,
2020-06-11,255.0,1487.5893475490097,,
2020-06-12,231.0,1254.647996574625,,
2020-06-13,293.0,1419.859155533468,,
2020-06-14,204.0,1263.1652434998812,,
2020-06-15,114.0,1528.9136175413023,,
2020-06-16,368.0,1582.4405428899663,,
2020-06-17,171.0,1023.5613383092202,,
2020-06-18,315.0,1688.4943961883573,,
2020-06-19,355.0,1181.390654983372,,
2020-06-20,452.0,1321.7372724274717,,
2020-06-21,264.0,1126.4838946791974,,
2020-06-22,288.0,1672.453489021964,,
2020-06-23,469.0,1414.1149963265082,,
2020-06-24,365.0,1093.7976863422332,,
2020-06-25,497.0,1556.09862836194,,
2020-06-26,381.0,1191.356948908789,,
2020-06-27,1099.0,1579.887218016885,,
2020-06-28,821.0,107.99470449904447,,
2020-06-29,734.0,1597.7975149470662,,
2020-06-30,562.0,1430.2113335041768,,
2020-07-01,645.0,1739.4109401329138,,
2020-07-02,632.0,1356.2910116099679,,
2020-07-03,985.0,1571.178281480998,,
2020-07-04,857.0,1001.8787687646641,,
2020-07-05,843.0,1478.036664803771,,
2020-07-06,491.0,1415.850910725707,,
2020-07-07,876.0,2002.5489223175057,,
2020-07-08,516.0,940.4347498573704,,
2020-07-09,603.0,2054.4943942983737,,
2020-07-10,1004.0,1481.7802197082249,,
2020-07-11,930.0,811.4146409650102,,
2020-07-12,845.0,1356.1921131910594,,
2020-07-13,832.0,1444.8833620297646,,
