,Florida,forecast,interval_low,interval_high
2020-03-14,26.0,0.0,0.0,-121.62215423583984
2020-03-15,24.0,0.0,0.0,-8.263401985168457
2020-03-16,1.0,0.0,0.0,-27.446178436279297
2020-03-17,89.0,0.0,0.0,-132.7801971435547
2020-03-18,116.0,0.0,0.0,-89.81877136230469
2020-03-19,126.0,0.0,0.0,-24.403696060180664
2020-03-20,132.0,0.0,0.0,-33.4330940246582
2020-03-21,199.0,0.0,0.0,-114.96417236328125
2020-03-22,241.0,0.0,0.0,44.028812408447266
2020-03-23,223.0,0.0,0.0,13.51212215423584
2020-03-24,185.0,0.0,0.0,-98.79308319091797
2020-03-25,270.0,0.0,0.0,-44.082603454589844
2020-03-26,675.0,0.0,0.0,41.41779708862305
2020-03-27,543.0,0.0,0.0,50.493534088134766
2020-03-28,863.0,0.0,0.0,-20.605106353759766
2020-03-29,483.0,198.6765899658203,169.79229736328125,246.46295166015625
2020-03-30,1227.0,214.4710235595703,151.91163635253906,250.8417205810547
2020-03-31,1268.0,138.80552673339844,114.16400146484375,164.65675354003906
2020-04-01,215.0,199.73805236816406,131.5609893798828,243.53179931640625
2020-04-02,2052.0,242.5068817138672,190.4694366455078,326.9708251953125
2020-04-03,1260.0,247.89674377441406,161.8428497314453,318.442138671875
2020-04-04,1269.0,248.0548858642578,206.7359161376953,285.89874267578125
2020-04-05,813.0,954.6320190429688,946.1010131835938,970.509521484375
2020-04-06,974.0,1101.2979736328125,1036.8682861328125,1177.21533203125
2020-04-07,1221.0,1152.6715087890625,1132.39404296875,1192.0848388671875
2020-04-08,911.0,1240.7158203125,1179.825927734375,1299.623046875
2020-04-09,908.0,1287.455078125,1227.199951171875,1378.7562255859375
2020-04-10,1167.0,1318.8743896484375,1276.355712890625,1372.0616455078125
2020-04-11,963.0,1374.5318603515625,1343.361572265625,1412.696533203125
2020-04-12,1401.0,1693.1075439453125,1595.04345703125,1776.8817138671875
2020-04-13,1124.0,2084.575927734375,1832.9561767578125,2240.290283203125
2020-04-14,609.0,2112.63134765625,2044.17138671875,2211.2421875
2020-04-15,883.0,1890.1734619140625,1732.2767333984375,2078.938232421875
2020-04-16,832.0,1601.97900390625,1362.0716552734375,1891.6826171875
2020-04-17,1416.0,1583.2161865234375,1232.5443115234375,1864.44091796875
2020-04-18,733.0,1884.345703125,1658.7725830078125,2141.49169921875
2020-04-19,822.0,1331.832275390625,1323.028076171875,1339.3865966796875
2020-04-20,745.0,1611.8070068359375,1481.396484375,1726.7672119140625
2020-04-21,810.0,1708.3896484375,1639.4736328125,1770.8272705078125
2020-04-22,440.0,1687.8421630859375,1633.003662109375,1729.08447265625
2020-04-23,1339.0,1592.4482421875,1553.2861328125,1647.8646240234375
2020-04-24,885.0,1579.3126220703125,1414.009765625,1674.116943359375
2020-04-25,306.0,1721.7027587890625,1596.8114013671875,1871.383544921875
2020-04-26,693.0,1111.4212646484375,1091.666259765625,1127.036376953125
2020-04-27,606.0,1387.60888671875,1241.8570556640625,1495.785888671875
2020-04-28,710.0,1450.67041015625,1400.7012939453125,1510.9036865234375
2020-04-29,345.0,1364.9896240234375,1317.1864013671875,1450.2069091796875
2020-04-30,497.0,1213.2418212890625,1132.1505126953125,1334.000732421875
2020-05-01,1038.0,1164.2242431640625,962.3037719726562,1305.8289794921875
2020-05-02,735.0,1319.08203125,1159.2178955078125,1507.7677001953125
2020-05-03,615.0,952.3464965820312,894.1228637695312,1010.817626953125
2020-05-04,819.0,1193.3380126953125,1031.95263671875,1294.7294921875
2020-05-05,542.0,1186.418701171875,1139.653564453125,1246.6170654296875
2020-05-06,563.0,1053.883056640625,951.2573852539062,1196.774169921875
2020-05-07,826.0,880.2265625,741.4866943359375,1059.63671875
2020-05-08,371.0,839.323486328125,630.6046142578125,1001.6768188476562
2020-05-09,802.0,1016.11181640625,860.6127319335938,1206.0479736328125
2020-05-10,595.0,893.8423461914062,881.951171875,908.4318237304688
2020-05-11,386.0,1078.0953369140625,971.3092651367188,1160.8446044921875
2020-05-12,941.0,1106.47314453125,1077.762451171875,1147.8651123046875
2020-05-13,479.0,1103.9898681640625,1047.6424560546875,1151.2515869140625
2020-05-14,808.0,1050.0616455078125,1015.2767333984375,1083.9986572265625
2020-05-15,928.0,1036.553955078125,938.507568359375,1088.658447265625
2020-05-16,673.0,1136.86767578125,1057.51611328125,1244.994873046875
2020-05-17,777.0,814.5608520507812,781.849365234375,854.6366577148438
2020-05-18,854.0,952.7360229492188,847.8223266601562,1026.532958984375
2020-05-19,502.0,931.9287719726562,896.4010620117188,970.2069702148438
2020-05-20,527.0,938.089599609375,883.4869995117188,1004.6535034179688
2020-05-21,1204.0,912.960205078125,879.4061889648438,947.091796875
2020-05-22,776.0,929.9066772460938,865.0413208007812,973.6010131835938
2020-05-23,676.0,1029.4835205078125,987.509765625,1103.5439453125
2020-05-24,740.0,955.998046875,937.7353515625,974.5648193359375
2020-05-25,879.0,1172.487548828125,1050.04296875,1264.809326171875
2020-05-26,509.0,1207.78857421875,1175.86474609375,1256.8388671875
2020-05-27,379.0,1167.025390625,1114.7864990234375,1235.83544921875
2020-05-28,651.0,1072.091796875,1034.5947265625,1146.13916015625
2020-05-29,1212.0,1044.2501220703125,906.2099609375,1129.378173828125
2020-05-30,927.0,1167.7462158203125,1057.493896484375,1307.9881591796875
2020-05-31,739.0,993.232421875,962.6414184570312,1021.773681640625
2020-06-01,667.0,1250.50439453125,1104.844482421875,1353.7083740234375
2020-06-02,617.0,1288.38671875,1255.74169921875,1346.6895751953125
2020-06-03,1317.0,1186.0643310546875,1127.1605224609375,1290.63134765625
2020-06-04,1419.0,1027.6944580078125,931.265625,1165.253662109375
2020-06-05,1305.0,974.6956176757812,779.2757568359375,1118.33984375
2020-06-06,1270.0,1129.5548095703125,973.6268920898438,1318.0633544921875
2020-06-07,1180.0,1163.397216796875,1106.555908203125,1220.7568359375
2020-06-08,966.0,1338.5341796875,1195.6424560546875,1432.4102783203125
2020-06-09,1096.0,1307.4368896484375,1279.6361083984375,1359.1732177734375
2020-06-10,1371.0,1300.0948486328125,1247.70361328125,1383.7366943359375
2020-06-11,1698.0,1254.0423583984375,1216.465576171875,1324.7318115234375
2020-06-12,1902.0,1306.8646240234375,1187.163330078125,1367.130126953125
2020-06-13,2581.0,1466.90380859375,1409.3037109375,1547.8162841796875
2020-06-14,2016.0,1669.1610107421875,1602.0526123046875,1725.9630126953125
2020-06-15,1758.0,1971.759765625,1775.9322509765625,2107.268310546875
2020-06-16,2783.0,2000.23681640625,1936.8857421875,2081.96337890625
2020-06-17,2610.0,1915.4105224609375,1844.2589111328125,2030.862548828125
2020-06-18,3207.0,1774.4571533203125,1663.2001953125,1926.5679931640625
2020-06-19,3822.0,1819.1341552734375,1588.0380859375,1975.0894775390625
2020-06-20,4049.0,2055.234619140625,1925.784423828125,2208.566162109375
2020-06-21,3494.0,2908.595703125,2850.2255859375,2945.56298828125
2020-06-22,2926.0,3263.076904296875,3054.8720703125,3443.23828125
2020-06-23,3286.0,3386.4228515625,3256.367431640625,3494.052001953125
2020-06-24,5511.0,3435.373046875,3378.368896484375,3480.337646484375
2020-06-25,5004.0,3443.3984375,3409.538818359375,3470.547119140625
2020-06-26,8942.0,3676.6943359375,3496.778076171875,3797.71923828125
