,Arizona,forecast,interval_low,interval_high
2020-03-15,0.0,0.0,0.0,4.377246856689453
2020-03-16,6.0,0.0,0.0,0.6357567310333252
2020-03-17,2.0,0.0,0.0,-49.2135124206543
2020-03-18,7.0,0.0,0.0,-70.40787506103516
2020-03-19,18.0,0.0,0.0,-38.175994873046875
2020-03-20,23.0,0.0,0.0,-45.673194885253906
2020-03-21,36.0,0.0,0.0,-61.88203811645508
2020-03-22,48.0,0.0,0.0,6.041948318481445
2020-03-23,83.0,0.0,0.0,1.0221407413482666
2020-03-24,91.0,0.0,0.0,-47.86106872558594
2020-03-25,75.0,0.0,0.0,-68.88461303710938
2020-03-26,107.0,0.0,0.0,-36.52843475341797
2020-03-27,157.0,0.0,0.0,-43.54756546020508
2020-03-28,108.0,0.0,0.0,-59.545799255371094
2020-03-29,146.0,0.0,0.0,7.775861740112305
2020-03-30,238.0,0.0,0.0,42.50982666015625
2020-03-31,132.0,0.0,0.0,17.386171340942383
2020-04-01,124.0,0.23622052371501923,0.0,6.588812351226807
2020-04-02,183.0,19.41740608215332,8.247127532958984,36.677223205566406
2020-04-03,173.0,15.147171020507812,0.0,43.167266845703125
2020-04-04,250.0,23.09055519104004,13.376287460327148,38.04536056518555
2020-04-05,250.0,41.93886184692383,7.361664295196533,85.63802337646484
2020-04-06,191.0,153.25238037109375,130.12313842773438,182.01246643066406
2020-04-07,115.0,157.5440673828125,138.0780487060547,172.9940643310547
2020-04-08,151.0,177.4282684326172,166.8335723876953,189.3558349609375
2020-04-09,292.0,192.1265869140625,180.5919647216797,199.52200317382812
2020-04-10,94.0,205.57286071777344,196.98623657226562,221.5084991455078
2020-04-11,281.0,227.3390655517578,209.23406982421875,243.56979370117188
2020-04-12,149.0,232.7994842529297,204.3309326171875,260.3359680175781
2020-04-13,163.0,243.68896484375,219.6811981201172,272.1409606933594
2020-04-14,104.0,248.1658477783203,224.14955139160156,260.2168884277344
2020-04-15,155.0,273.7137145996094,263.0320739746094,291.5570373535156
2020-04-16,273.0,286.2197265625,271.01171875,302.19158935546875
2020-04-17,274.0,304.0884094238281,298.2157287597656,312.02020263671875
2020-04-18,213.0,335.6868896484375,318.0302734375,349.171142578125
2020-04-19,209.0,335.4395751953125,309.7576904296875,354.3247375488281
2020-04-20,135.0,240.8448486328125,216.05642700195312,274.7230224609375
2020-04-21,188.0,243.5115203857422,219.20631408691406,257.61419677734375
2020-04-22,217.0,265.9720764160156,255.79940795898438,282.61346435546875
2020-04-23,299.0,277.3259582519531,263.3934020996094,297.6163635253906
2020-04-24,273.0,292.4226989746094,288.46112060546875,297.0516052246094
2020-04-25,241.0,324.930419921875,312.46185302734375,331.8232116699219
2020-04-26,248.0,327.0416259765625,302.0923767089844,344.05322265625
2020-04-27,191.0,295.1805725097656,272.9886779785156,319.35540771484375
2020-04-28,230.0,300.09942626953125,274.03558349609375,316.59423828125
2020-04-29,254.0,329.6966247558594,319.8029479980469,346.6531677246094
2020-04-30,446.0,338.4197998046875,324.56195068359375,362.7009582519531
2020-05-01,314.0,362.9795837402344,359.610107421875,364.95721435546875
2020-05-02,395.0,399.42138671875,381.1456298828125,409.2737731933594
2020-05-03,276.0,395.5418395996094,372.244384765625,407.65911865234375
2020-05-04,284.0,336.60174560546875,316.8119201660156,351.5517578125
2020-05-05,381.0,343.750732421875,316.57464599609375,361.6728515625
2020-05-06,402.0,379.5303039550781,369.5945129394531,397.1200866699219
2020-05-07,238.0,387.0400085449219,372.56890869140625,413.05010986328125
2020-05-08,581.0,419.2597961425781,415.9792785644531,422.5656433105469
2020-05-09,434.0,458.2892150878906,434.00213623046875,470.7920227050781
2020-05-10,159.0,449.1000061035156,426.6896057128906,462.5875244140625
2020-05-11,264.0,493.1061096191406,479.6462097167969,514.9928588867188
2020-05-12,353.0,505.2347717285156,473.0406494140625,531.1268920898438
2020-05-13,480.0,558.906005859375,548.307861328125,579.8397827148438
2020-05-14,458.0,560.8430786132812,537.78369140625,599.4022827148438
2020-05-15,495.0,615.6697387695312,606.8123779296875,625.2911376953125
2020-05-16,497.0,666.6441040039062,627.8651733398438,689.2799682617188
2020-05-17,279.0,640.7129516601562,621.4600830078125,663.9591064453125
2020-05-18,263.0,483.26513671875,470.34100341796875,507.8683166503906
2020-05-19,368.0,496.5480651855469,464.786376953125,519.2047119140625
2020-05-20,330.0,551.9318237304688,541.6219482421875,571.5731201171875
2020-05-21,442.0,552.9381103515625,532.3482666015625,587.4331665039062
2020-05-22,276.0,610.8159790039062,604.7113037109375,619.7120971679688
2020-05-23,429.0,660.0601196289062,617.9974365234375,683.1280517578125
2020-05-24,324.0,633.5084228515625,613.7589111328125,654.9947509765625
2020-05-25,198.0,577.564697265625,558.7575073242188,590.9412841796875
2020-05-26,289.0,586.01953125,548.9771118164062,621.5133666992188
2020-05-27,454.0,638.4202270507812,618.4846801757812,670.3229370117188
2020-05-28,559.0,640.6154174804688,608.2681884765625,693.76025390625
2020-05-29,595.0,688.8488159179688,671.6737670898438,702.760498046875
2020-05-30,786.0,751.2687377929688,720.568115234375,771.841796875
2020-05-31,678.0,723.1775512695312,704.7607421875,751.648681640625
2020-06-01,193.0,477.6337890625,463.25482177734375,496.93389892578125
2020-06-02,1135.0,489.019287109375,456.9965515136719,513.9567260742188
2020-06-03,1092.0,540.5482788085938,530.51611328125,560.408935546875
2020-06-04,530.0,541.9826049804688,518.1771240234375,580.0444946289062
2020-06-05,1553.0,594.79931640625,586.0940551757812,604.5192260742188
2020-06-06,1012.0,644.9137573242188,608.5830078125,667.4301147460938
2020-06-07,1538.0,621.1404418945312,601.81640625,643.4116821289062
2020-06-08,689.0,906.0531616210938,801.107421875,997.4782104492188
2020-06-09,618.0,938.9814453125,898.3673706054688,971.5845336914062
2020-06-10,1556.0,1055.3629150390625,1039.2080078125,1079.9425048828125
2020-06-11,1415.0,1042.6298828125,1003.1093139648438,1093.0059814453125
2020-06-12,1772.0,1179.5155029296875,1166.4573974609375,1196.0833740234375
2020-06-13,1621.0,1252.0150146484375,1144.6141357421875,1305.7720947265625
2020-06-14,1046.0,1168.0462646484375,1142.10498046875,1214.07958984375
2020-06-15,1138.0,1444.6529541015625,1361.069580078125,1527.9166259765625
2020-06-16,2341.0,1468.7271728515625,1409.4549560546875,1534.4241943359375
2020-06-17,1752.0,1601.72314453125,1559.5950927734375,1677.8758544921875
2020-06-18,2508.0,1594.552734375,1518.438720703125,1696.0833740234375
2020-06-19,3465.0,1724.509765625,1691.4140625,1751.6898193359375
2020-06-20,3217.0,1844.1708984375,1731.8631591796875,1900.916748046875
2020-06-21,2464.0,1725.4415283203125,1686.078125,1799.9876708984375
2020-06-22,2008.0,2017.4837646484375,1910.1358642578125,2119.577392578125
2020-06-23,3779.0,2039.2451171875,1981.69140625,2139.65478515625
2020-06-24,1812.0,2198.124755859375,2141.49267578125,2303.572265625
2020-06-25,3091.0,2205.034423828125,2085.678466796875,2348.63427734375
2020-06-26,3378.0,2335.457763671875,2293.351806640625,2368.93212890625
2020-06-27,3465.0,2477.030029296875,2341.724365234375,2550.65234375
2020-06-28,3796.0,2318.651123046875,2258.660888671875,2428.074951171875
2020-06-29,625.0,3143.3056640625,3075.17724609375,3223.497314453125
2020-06-30,4683.0,3107.3955078125,2921.442626953125,3323.552001953125
2020-07-01,4877.0,3196.2998046875,3063.557861328125,3387.403564453125
2020-07-02,3340.0,3298.657470703125,3083.00732421875,3535.2900390625
2020-07-03,4427.0,3171.682861328125,3067.5419921875,3255.1943359375
2020-07-04,2695.0,3325.737060546875,3261.037109375,3398.227783203125
2020-07-05,3536.0,3208.837158203125,3084.1796875,3360.489013671875
2020-07-06,3352.0,3333.473388671875,3257.45458984375,3442.650146484375
2020-07-07,3639.0,3338.014404296875,3153.0654296875,3521.606689453125
2020-07-08,3520.0,3512.982177734375,3456.880859375,3569.995361328125
