,Guam,forecast,interval_low,interval_high
2020-03-30,58.0,317.53288751966744,,
2020-03-31,69.0,317.1208802981198,,
2020-04-01,77.0,309.14054961825974,,
2020-04-02,82.0,310.7082503034267,,
2020-04-03,84.0,313.06501034694395,,
2020-04-04,93.0,316.30107453348444,,
2020-04-05,112.0,311.30244308340883,,
2020-04-06,113.0,304.1932030920737,,
2020-04-07,121.0,318.9626503507832,,
2020-04-08,121.0,312.8337908958986,,
2020-04-09,128.0,320.8259974441408,,
2020-04-10,130.0,315.61891955821477,,
2020-04-11,133.0,320.2465497913852,,
2020-04-12,133.0,314.1938598288105,,
2020-04-13,133.0,318.2229696920315,,
2020-04-14,133.0,316.16918778373804,,
2020-04-15,135.0,317.1585646662411,,
2020-04-16,135.0,313.50161210375757,,
2020-04-17,136.0,315.03249785838415,,
2020-04-18,136.0,313.35143646416066,,
2020-04-19,136.0,314.4676895744135,,
2020-04-20,136.0,314.52860568449756,,
2020-04-21,136.0,314.82219050920907,,
2020-04-22,136.0,314.2184536623141,,
2020-04-23,139.0,314.3167812174486,,
2020-04-24,141.0,311.4054065877253,,
2020-04-25,141.0,312.4346326365165,,
2020-04-26,141.0,314.431283769802,,
2020-04-27,141.0,314.82331542683005,,
2020-04-28,141.0,315.0326171355662,,
2020-04-29,141.0,315.3378946542036,,
2020-04-30,145.0,314.6212233542046,,
2020-05-01,145.0,310.53642909006953,,
2020-05-02,145.0,314.22600381553985,,
2020-05-03,145.0,314.4284888429403,,
2020-05-04,145.0,314.8162077007107,,
2020-05-05,145.0,314.83679740717866,,
2020-05-06,149.0,315.2301076277165,,
2020-05-07,149.0,310.53642909006953,,
2020-05-08,151.0,314.22600381553985,,
2020-05-09,151.0,312.6905338476288,,
2020-05-10,151.0,314.92304006813436,,
2020-05-11,151.0,315.04487228830254,,
2020-05-12,152.0,315.6320419377256,,
2020-05-13,152.0,313.55559074627985,,
2020-05-14,152.0,314.6746395379164,,
2020-05-15,154.0,314.11637652125455,,
2020-05-16,154.0,312.4753512403856,,
2020-05-17,154.0,314.32528602973775,,
2020-05-18,154.0,314.52485609857246,,
2020-05-19,154.0,314.4142733907017,,
2020-05-20,154.0,314.42456824393565,,
2020-05-21,165.0,314.6212233542046,,
2020-05-22,165.0,304.4535866064791,,
2020-05-23,165.0,314.5999171015226,,
2020-05-24,166.0,315.1567509268738,,
2020-05-25,166.0,315.3540002880867,,
2020-05-26,167.0,316.3330156622411,,
2020-05-27,170.0,316.5962625279145,,
2020-05-28,171.0,311.65978992644165,,
2020-05-29,172.0,313.61376215635573,,
2020-05-30,172.0,314.0142993801949,,
2020-05-31,172.0,314.97880875160143,,
2020-06-01,175.0,315.2401295578796,,
2020-06-02,175.0,312.7258147346193,,
2020-06-03,177.0,314.68314435020557,,
2020-06-04,179.0,312.8909385438228,,
2020-06-05,179.0,312.9841179178183,,
2020-06-06,179.0,314.94559007410464,,
2020-06-07,179.0,315.5356746820935,,
2020-06-08,179.0,314.8265025539447,,
2020-06-09,180.0,315.0334525174476,,
2020-06-10,180.0,313.75224585654877,,
2020-06-11,183.0,314.0657552644044,,
2020-06-12,183.0,311.5094440282872,,
2020-06-13,183.0,314.3735547868326,,
2020-06-14,183.0,314.5305659839999,,
2020-06-15,185.0,314.91968268246217,,
2020-06-16,186.0,312.8927278302456,,
2020-06-17,188.0,314.1635203607284,,
2020-06-18,192.0,312.5358751502167,,
2020-06-19,200.0,311.1492332080641,,
2020-06-20,222.0,308.0954550336651,,
2020-06-21,222.0,296.9552465293504,,
2020-06-22,222.0,317.5403345668651,,
2020-06-23,225.0,319.3422426130893,,
2020-06-24,226.0,318.6933691978211,,
2020-06-25,231.0,320.27366802389344,,
2020-06-26,247.0,316.7307071064429,,
2020-06-27,247.0,301.08271894233485,,
2020-06-28,247.0,316.20649612276037,,
2020-06-29,253.0,317.8012148965956,,
2020-06-30,257.0,313.3489636196941,,
2020-07-01,267.0,315.67697018206457,,
2020-07-02,280.0,311.03152767044935,,
2020-07-03,280.0,304.8717461405606,,
2020-07-04,280.0,317.7876799843127,,
2020-07-05,280.0,320.02560850506495,,
2020-07-06,301.0,319.90382645899064,,
2020-07-07,303.0,301.48772255856085,,
2020-07-08,307.0,317.3538717211569,,
2020-07-09,309.0,312.8280477092936,,
2020-07-10,310.0,316.9164339564474,,
2020-07-11,310.0,318.3966842367691,,
2020-07-12,310.0,321.883212800665,,
2020-07-13,312.0,315.9516534312616,,
2020-07-14,312.0,314.1053489506525,,
2020-07-15,313.0,314.9341703032497,,
2020-07-16,314.0,313.65587860091665,,
2020-07-17,314.0,313.5987120767577,,
2020-07-18,314.0,314.5820218682094,,
2020-07-19,,314.92622794977103,308.38150021134186,321.4709556882002
2020-07-20,,315.46700547080985,305.5863913981989,325.3476195434208
2020-07-21,,316.11023085622196,303.48201311588343,328.7384485965605
2020-07-22,,316.6365377299207,301.32906410480666,331.9440113550347
2020-07-23,,316.994596004715,298.6090901308075,335.3801018786225
2020-07-24,,317.44846921026,295.49560706855675,339.4013313519632
2020-07-25,,318.1168697451494,291.71954560735185,344.514193882947
