,Mississippi,forecast,interval_low,interval_high
2020-04-13,2942.0,1856.6243896484375,1739.2520751953125,1950.332275390625
2020-04-14,3087.0,1963.4248046875,1838.84716796875,2060.899658203125
2020-04-15,3360.0,2078.523681640625,1942.0675048828125,2180.906494140625
2020-04-16,3624.0,2109.196533203125,1977.109130859375,2200.79296875
2020-04-17,3793.0,2236.349609375,2089.202392578125,2325.092041015625
2020-04-18,3974.0,2280.408203125,2134.41552734375,2364.998779296875
2020-04-19,4274.0,2926.75,2777.26416015625,3058.721923828125
2020-04-20,4512.0,3046.9833984375,2891.35400390625,3179.443603515625
2020-04-21,4716.0,3174.260498046875,3009.783203125,3311.467529296875
2020-04-22,4894.0,3313.197265625,3140.26611328125,3452.357177734375
2020-04-23,5153.0,3349.959228515625,3169.32421875,3494.918212890625
2020-04-24,5434.0,3521.587890625,3327.311767578125,3660.271484375
2020-04-25,5718.0,3556.888427734375,3367.952880859375,3680.079833984375
2020-04-26,5911.0,4432.52978515625,4242.01123046875,4605.38232421875
2020-04-27,6094.0,4582.66357421875,4387.22607421875,4754.2744140625
2020-04-28,6342.0,4740.08251953125,4534.4501953125,4917.6171875
2020-04-29,6569.0,4917.5322265625,4706.32666015625,5095.1826171875
2020-04-30,6815.0,4958.66845703125,4729.97607421875,5155.40185546875
2020-05-01,7212.0,5185.30419921875,4942.400390625,5372.99267578125
2020-05-02,7441.0,5211.54443359375,4978.62353515625,5372.90478515625
2020-05-03,7550.0,6176.04345703125,5954.154296875,6377.3828125
2020-05-04,7877.0,6356.87939453125,6130.7490234375,6556.36572265625
2020-05-05,8207.0,6539.94140625,6304.0400390625,6745.46728515625
2020-05-06,8424.0,6738.51513671875,6501.04345703125,6941.65625
2020-05-07,8686.0,6820.68017578125,6558.1953125,7052.20751953125
2020-05-08,9090.0,7084.6328125,6806.38134765625,7303.42724609375
2020-05-09,9378.0,7136.63525390625,6871.99072265625,7322.09033203125
2020-05-10,9501.0,8059.32275390625,7815.908203125,8277.2080078125
2020-05-11,9674.0,8272.7041015625,8024.3193359375,8490.3779296875
2020-05-12,9908.0,8488.3359375,8231.982421875,8711.6962890625
2020-05-13,10090.0,8718.98046875,8463.43359375,8939.6318359375
2020-05-14,10483.0,8841.2705078125,8559.4892578125,9090.9208984375
2020-05-15,10801.0,9142.8837890625,8840.564453125,9377.814453125
2020-05-16,11123.0,9227.1162109375,8941.28515625,9426.0068359375
2020-05-17,11296.0,10134.7080078125,9884.8349609375,10351.625
2020-05-18,11432.0,10379.2998046875,10123.130859375,10599.044921875
2020-05-19,11704.0,10621.60546875,10361.81640625,10845.0439453125
2020-05-20,11967.0,10865.515625,10609.109375,11086.1123046875
2020-05-21,12222.0,11069.9560546875,10790.2626953125,11314.015625
2020-05-22,12625.0,11385.5224609375,11078.58984375,11612.609375
2020-05-23,13005.0,11540.8251953125,11252.40234375,11733.880859375
2020-05-24,13260.0,12088.5166015625,11837.142578125,12299.7119140625
2020-05-25,13458.0,12365.4052734375,12105.5029296875,12583.9716796875
2020-05-26,13731.0,12642.6826171875,12384.134765625,12862.8701171875
2020-05-27,14044.0,12916.87890625,12661.8095703125,13136.5146484375
2020-05-28,14372.0,13179.4140625,12909.0302734375,13410.64453125
2020-05-29,14793.0,13517.1611328125,13210.6484375,13731.1015625
2020-05-30,15229.0,13732.5361328125,13445.3681640625,13918.1787109375
2020-05-31,15523.0,14207.3095703125,13956.7197265625,14410.384765625
2020-06-01,15752.0,14523.2861328125,14261.20703125,14739.798828125
2020-06-02,16041.0,14847.3984375,14592.638671875,15063.294921875
2020-06-03,16322.0,15167.7939453125,14914.4794921875,15387.564453125
2020-06-04,16560.0,15477.2763671875,15221.0859375,15691.10546875
2020-06-05,16769.0,15848.3125,15544.56640625,16045.673828125
2020-06-06,17039.0,16124.3046875,15839.7919921875,16302.787109375
2020-06-07,17270.0,16687.27734375,16442.771484375,16876.49609375
2020-06-08,17768.0,17049.3125,16790.46484375,17258.994140625
2020-06-09,18123.0,17426.212890625,17182.861328125,17631.919921875
2020-06-10,18483.0,17796.927734375,17550.92578125,18012.88671875
2020-06-11,18483.0,18172.404296875,17939.787109375,18359.931640625
2020-06-12,19091.0,18577.119140625,18283.427734375,18748.576171875
2020-06-13,19348.0,18936.744140625,18661.54296875,19102.74609375
2020-06-14,19516.0,18982.751953125,18763.736328125,19139.7421875
2020-06-15,19799.0,19374.115234375,19139.3046875,19557.2578125
2020-06-16,20152.0,19780.080078125,19569.94140625,19954.771484375
2020-06-17,20641.0,20178.787109375,19959.345703125,20371.962890625
2020-06-18,20641.0,20662.115234375,20473.71484375,20803.603515625
2020-06-19,20641.0,21073.599609375,20811.65234375,21210.283203125
2020-06-20,20641.0,21535.509765625,21295.029296875,21664.681640625
2020-06-21,20641.0,21422.349609375,21212.873046875,21565.8125
2020-06-22,22329.0,21856.1640625,21631.1796875,22030.125
2020-06-23,22898.0,22302.091796875,22111.33984375,22462.896484375
2020-06-24,23424.0,22735.349609375,22527.802734375,22922.603515625
2020-06-25,24516.0,23318.953125,23156.38671875,23436.19140625
2020-06-26,25066.0,23750.5,23504.24609375,23898.998046875
2020-06-27,25531.0,24318.412109375,24092.806640625,24433.9375
2020-06-28,25892.0,23514.333984375,23308.01171875,23654.26953125
2020-06-29,26567.0,23992.0625,23769.923828125,24167.283203125
2020-06-30,27247.0,24492.212890625,24308.099609375,24654.93359375
2020-07-01,27900.0,25008.765625,24793.267578125,25212.009765625
2020-07-02,28770.0,25597.123046875,25444.625,25708.876953125
2020-07-03,29684.0,26113.693359375,25866.90234375,26267.40234375
2020-07-04,30674.0,26717.869140625,26495.75,26834.099609375
2020-07-05,30900.0,28140.626953125,27847.32421875,28379.296875
2020-07-06,31257.0,28763.736328125,28464.791015625,29036.201171875
2020-07-07,32214.0,29393.828125,29138.7421875,29655.44921875
2020-07-08,32888.0,30046.916015625,29736.76171875,30366.4609375
2020-07-09,33591.0,30666.9375,30423.21875,30893.548828125
2020-07-10,34622.0,31374.474609375,31033.099609375,31565.220703125
2020-07-11,35419.0,32090.244140625,31762.541015625,32330.69921875
2020-07-12,36287.0,33182.1640625,32764.544921875,33574.65625
2020-07-13,36680.0,33948.53125,33547.76953125,34360.17578125
2020-07-14,37542.0,34672.01171875,34310.8125,35081.37890625
2020-07-15,38567.0,35453.4375,34999.19921875,35944.75390625
2020-07-16,39797.0,36158.2578125,35753.99609375,36589.2109375
2020-07-17,40829.0,37112.54296875,36623.3203125,37478.73828125
2020-07-18,41846.0,37938.81640625,37464.38671875,38354.2890625
2020-07-19,,38346.64453125,37703.63671875,39019.49609375
2020-07-20,,39277.55078125,38687.34375,39938.18359375
2020-07-21,,40077.234375,39501.28125,40758.69921875
2020-07-22,,41004.40234375,40287.6796875,41791.7421875
2020-07-23,,41754.09375,41036.65625,42569.83984375
2020-07-24,,43079.70703125,42309.03515625,43792.203125
2020-07-25,,43949.18359375,43204.7734375,44675.18359375
