,Kentucky,forecast,interval_low,interval_high
2020-04-10,17.0,4.963233436856951,3.7150938510894775,6.086665153503418
2020-04-11,0.0,5.444922174726214,4.26528787612915,6.45173978805542
2020-04-12,7.0,5.72098514011928,4.6427435874938965,6.532139778137207
2020-04-13,16.0,5.980775356292725,5.072985649108887,6.663859844207764
2020-04-14,-7.0,6.490961142948696,5.407344818115234,8.048535346984863
2020-04-15,9.0,6.470493929726737,5.316619873046875,8.201935768127441
2020-04-16,14.0,6.496767248426165,5.474908351898193,7.989706039428711
2020-04-17,8.0,6.735295636313302,6.184816837310791,7.959444046020508
2020-04-18,7.0,6.629097529820034,5.618420600891113,8.181406021118164
2020-04-19,2.0,6.544823237827846,5.750384330749512,7.9467291831970215
2020-04-20,8.0,6.471628597804478,5.402042865753174,8.058692932128906
2020-04-21,17.0,6.1989995411464145,5.383825778961182,6.7820281982421875
2020-04-22,14.0,6.483774866376605,5.3694562911987305,7.631748676300049
2020-04-23,6.0,6.657125064304897,5.348409652709961,7.9877166748046875
2020-04-24,9.0,6.743100983755929,5.363821983337402,8.130647659301758
2020-04-25,5.0,6.959419318607876,5.472965717315674,7.645183086395264
2020-04-26,3.0,7.213542665754046,5.354116916656494,8.260751724243164
2020-04-27,5.0,7.489224365779331,5.539536476135254,8.143798828125
2020-04-28,12.0,7.863442284720285,7.595992565155029,8.23931884765625
2020-04-29,9.0,7.769387245178223,6.661318778991699,8.746566772460938
2020-04-30,6.0,7.4356240545000345,5.947625160217285,8.409769058227539
2020-05-01,6.0,7.095288685389927,6.036772727966309,8.262701988220215
2020-05-02,2.0,6.792472907475063,5.76964807510376,7.880983352661133
2020-05-03,5.0,6.552717685699463,5.799637794494629,8.226760864257812
2020-05-04,8.0,6.293823855263846,5.818799018859863,7.800259590148926
2020-05-05,14.0,6.141620227268764,5.863147258758545,6.694026947021484
2020-05-06,8.0,6.030030046190534,5.604706764221191,6.408459186553955
2020-05-07,11.0,5.978259699685233,5.662722110748291,6.415097713470459
2020-05-08,4.0,5.9148125648498535,5.58678674697876,6.372185707092285
2020-05-09,6.0,6.051175730569022,5.567572116851807,6.5267486572265625
2020-05-10,0.0,6.256309373038156,5.874365329742432,7.141358375549316
