,California,forecast,interval_low,interval_high
2020-03-14,91.0,0.0,0.0,86.62703704833984
2020-03-15,1.0,0.0,0.0,88.17694091796875
2020-03-16,184.0,2.504298073904855,0.0,93.22882080078125
2020-03-17,143.0,11.183673449925013,0.0,95.61663055419922
2020-03-18,131.0,21.572358472006663,0.0,111.7159423828125
2020-03-19,178.0,31.593118803841726,0.0,114.88628387451172
2020-03-20,234.0,43.366500990731375,0.0,122.33280944824219
2020-03-21,169.0,60.11999947684152,0.0,141.06814575195312
2020-03-22,239.0,77.55675506591797,0.0,159.71963500976562
2020-03-23,462.0,104.01673526849065,0.0,184.86227416992188
2020-03-24,429.0,131.37445885794503,17.805776596069336,219.97605895996094
2020-03-25,467.0,161.2620337350028,45.44497299194336,252.649658203125
2020-03-26,901.0,188.49353899274553,74.6770248413086,303.16656494140625
2020-03-27,769.0,228.50426374162947,103.05048370361328,401.29119873046875
2020-03-28,431.0,277.7264404296875,131.420654296875,473.94476318359375
2020-03-29,753.0,333.11592538016185,177.0099639892578,538.1966552734375
2020-03-30,1292.0,410.03275190080916,237.5843963623047,644.7393798828125
2020-03-31,1078.0,514.8402012416294,302.30389404296875,765.9268188476562
2020-04-01,1177.0,621.4378226143973,376.5240783691406,869.5771484375
2020-04-02,1380.0,718.6300484793527,532.5107421875,990.7119750976562
2020-04-03,1226.0,802.491437639509,656.570068359375,1034.650634765625
2020-04-04,821.0,889.4158063616071,714.602783203125,1107.4439697265625
2020-04-05,2197.0,993.7818777901786,814.571044921875,1246.0155029296875
2020-04-06,990.0,1146.4612601143974,990.2890014648438,1497.019287109375
2020-04-07,1327.0,1277.2523542131696,1130.1429443359375,1428.42431640625
2020-04-08,1546.0,1370.7532610212054,1278.19189453125,1489.7186279296875
2020-04-09,813.0,1444.5492292131696,1366.520263671875,1557.5469970703125
2020-04-10,1371.0,1504.9546770368304,1455.594482421875,1540.0260009765625
2020-04-11,636.0,1565.825962611607,1496.8912353515625,1716.288818359375
2020-04-12,1083.0,1635.291259765625,1517.243896484375,1847.847412109375
2020-04-13,1134.0,1616.4127022879463,1317.4345703125,1797.9307861328125
2020-04-14,1455.0,1614.5262102399554,1325.2799072265625,1841.5086669921875
2020-04-15,1297.0,1555.0166538783483,1344.239013671875,1915.0052490234375
2020-04-16,991.0,1468.573939732143,1233.18896484375,1795.03466796875
2020-04-17,1480.0,1409.6886683872767,1201.991455078125,1813.5003662109375
2020-04-18,1354.0,1347.2531563895088,1185.9649658203125,1722.6246337890625
2020-04-19,920.0,1359.5549839564733,1216.7164306640625,1536.651123046875
2020-04-20,2255.0,1397.3048793247767,1245.7532958984375,1549.6051025390625
2020-04-21,1794.0,1470.852748325893,1321.1082763671875,1605.1295166015625
2020-04-22,1872.0,1522.6316964285713,1425.4000244140625,1601.7530517578125
2020-04-23,2209.0,1553.6284702845983,1463.454345703125,1668.2841796875
2020-04-24,1794.0,1611.3803013392858,1451.4427490234375,1886.122314453125
2020-04-25,1013.0,1697.6088169642858,1543.4190673828125,1934.41943359375
2020-04-26,1191.0,1800.47509765625,1689.3433837890625,1953.427734375
2020-04-27,1413.0,1967.9236014229912,1873.2681884765625,2163.453125
2020-04-28,1192.0,2099.459978376116,2008.7012939453125,2175.93896484375
2020-04-29,2583.0,2195.127912248884,1921.981689453125,2428.971923828125
2020-04-30,1383.0,2199.3176792689733,1896.055908203125,2465.95166015625
2020-05-01,1896.0,2081.6595458984375,1708.6920166015625,2522.31103515625
2020-05-02,1321.0,1929.079310825893,1643.26220703125,2413.277099609375
2020-05-03,1556.0,1837.6627022879463,1611.4910888671875,2373.3876953125
2020-05-04,981.0,1830.5806361607142,1562.63720703125,2214.58984375
2020-05-05,2572.0,1903.1215994698662,1733.1317138671875,2080.666748046875
2020-05-06,2160.0,2035.7494245256696,1899.176513671875,2262.962890625
2020-05-07,1532.0,2053.5809326171875,1927.484130859375,2149.902587890625
2020-05-08,1652.0,2040.6704973493304,1814.112060546875,2210.7568359375
2020-05-09,2772.0,1973.7030378069196,1761.037109375,2250.484375
2020-05-10,1028.0,2011.8985072544642,1802.771484375,2294.9462890625
2020-05-11,1729.0,2067.5660400390625,1913.6549072265625,2229.46826171875
2020-05-12,1651.0,2197.3114885602677,2001.005126953125,2427.994384765625
2020-05-13,1818.0,2263.2152273995534,2099.3623046875,2426.122314453125
2020-05-14,2073.0,2309.1733747209823,2065.26611328125,2522.207275390625
2020-05-15,1822.0,2302.946550641741,2015.6339111328125,2608.968505859375
2020-05-16,2032.0,2291.5195661272323,2079.53271484375,2718.8623046875
2020-05-17,1441.0,2214.500244140625,1936.5732421875,2580.741943359375
2020-05-18,1352.0,2195.551513671875,1879.6507568359375,2646.7490234375
2020-05-19,2246.0,2152.88028390067,1867.01025390625,2496.89453125
2020-05-20,2254.0,2217.217267717634,2007.1500244140625,2451.030517578125
2020-05-21,2038.0,2289.402029854911,2120.7412109375,2552.75048828125
2020-05-22,2225.0,2281.6313825334823,2127.552001953125,2580.380859375
2020-05-23,2283.0,2245.436104910714,2059.240478515625,2509.7294921875
2020-05-24,1505.0,2226.9066336495534,2049.558837890625,2543.21337890625
2020-05-25,2401.0,2251.6520647321427,2096.15234375,2442.38134765625
2020-05-26,3022.0,2367.2796456473216,2128.424560546875,2577.677001953125
2020-05-27,1579.0,2505.526681082589,2295.4248046875,2659.874755859375
2020-05-28,2742.0,2576.2226911272323,2450.3857421875,2683.577392578125
2020-05-29,2825.0,2607.0525948660716,2456.074951171875,2797.3154296875
2020-05-30,3257.0,2641.5235421316966,2436.132080078125,2860.96728515625
2020-05-31,2056.0,2699.4769461495534,2548.43310546875,2863.761962890625
2020-06-01,2782.0,2791.1053641183034,2563.59521484375,3020.861572265625
2020-06-02,2482.0,2885.0398297991073,2586.3349609375,3185.107177734375
2020-06-03,2159.0,2975.434326171875,2776.046875,3084.6767578125
2020-06-04,2820.0,3119.0746023995534,2877.099609375,3233.76611328125
2020-06-05,3589.0,3218.7370256696427,2996.593017578125,3480.882080078125
2020-06-06,2823.0,3323.452078683036,3074.88037109375,3578.243408203125
2020-06-07,2051.0,3294.425362723214,3064.401123046875,3603.55712890625
2020-06-08,3159.0,3228.5672781808034,2915.127685546875,3667.845703125
2020-06-09,2865.0,3199.573904854911,2928.889404296875,3593.45849609375
2020-06-10,3034.0,3291.409249441964,3065.9072265625,3593.45654296875
2020-06-11,3724.0,3414.215750558036,3188.026123046875,3644.62255859375
2020-06-12,3220.0,3519.703543526786,3228.810791015625,3839.77685546875
2020-06-13,3375.0,3530.0985281808034,3284.4150390625,3827.25732421875
2020-06-14,2315.0,3517.6927315848216,3263.203857421875,3778.050048828125
2020-06-15,3377.0,3553.5262276785716,3296.872802734375,3841.06103515625
2020-06-16,3235.0,3670.688720703125,3414.045654296875,3899.49267578125
2020-06-17,3837.0,3860.7170061383927,3624.1357421875,4054.723876953125
2020-06-18,4335.0,3988.177804129464,3742.923583984375,4235.3603515625
2020-06-19,3729.0,4001.656319754464,3727.5009765625,4344.302734375
2020-06-20,4381.0,3969.708740234375,3687.9150390625,4358.48193359375
2020-06-21,3414.0,3931.3186383928573,3657.664306640625,4262.00146484375
2020-06-22,6108.0,4029.974190848214,3719.975830078125,4405.0498046875
2020-06-23,6712.0,4267.363664899553,3868.32568359375,4860.982421875
2020-06-24,4547.0,4602.274553571428,4223.03759765625,5348.052734375
2020-06-25,5088.0,4807.55078125,4470.123046875,5348.9951171875
2020-06-26,5732.0,4959.195521763393,4574.54248046875,5458.35400390625
2020-06-27,3848.0,5247.310128348215,4910.23583984375,5918.67333984375
2020-06-28,4795.0,5608.952497209822,5161.05712890625,5969.09619140625
2020-06-29,8159.0,6120.301827566965,5763.1708984375,6611.33154296875
2020-06-30,7772.0,6522.922084263393,6120.86767578125,6802.271484375
2020-07-01,7263.0,6584.627301897322,6316.8662109375,7040.44580078125
2020-07-02,7869.0,6402.078822544643,5862.30908203125,6931.47900390625
2020-07-03,3964.0,6226.0439453125,5632.3173828125,6963.4111328125
2020-07-04,2381.0,6265.792898995535,5971.27587890625,6656.478515625
2020-07-05,11786.0,6779.250348772322,6300.49658203125,7161.1142578125
2020-07-06,6354.0,7773.081124441965,7135.8759765625,8962.326171875
2020-07-07,12977.0,8375.82798549107,7752.03515625,8882.9326171875
2020-07-08,8548.0,8384.22788783482,7822.4609375,8993.798828125
2020-07-09,9924.0,7703.848563058035,6477.14306640625,8518.9140625
2020-07-10,8401.0,6994.6640625,6050.529296875,7606.11962890625
2020-07-11,7876.0,7124.291922433035,6310.16943359375,8404.4482421875
