,Guam,forecast,interval_low,interval_high
2020-03-04,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-03-05,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-03-06,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-03-07,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-03-08,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-03-09,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-03-10,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-03-11,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-03-12,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-03-13,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-03-14,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-03-15,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-03-16,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-03-17,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-03-18,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-03-19,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-03-20,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-03-21,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-03-22,1.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-03-23,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-03-24,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-03-25,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-03-26,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-03-27,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-03-28,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-03-29,0.0,0.0,0.0,0.031602367758750916
2020-03-30,0.0,0.0,0.0,-0.03755149990320206
2020-03-31,1.0,0.0,0.0,0.007872235029935837
2020-04-01,1.0,0.0,0.0,0.0361018069088459
2020-04-02,0.0,0.13129648566246033,0.06960205733776093,0.27519291639328003
2020-04-03,1.0,0.36782127618789673,0.2019304484128952,0.4887700080871582
2020-04-04,0.0,0.43182459473609924,0.31441330909729004,0.522723376750946
2020-04-05,0.0,0.2713947892189026,0.14127422869205475,0.33502504229545593
2020-04-06,0.0,0.4995572566986084,0.3460542857646942,0.7087668776512146
2020-04-07,0.0,0.20670051872730255,0.15241116285324097,0.26794809103012085
2020-04-08,0.0,0.0,0.0,0.032160185277462006
2020-04-09,0.0,0.0,0.0,0.014662962406873703
2020-04-10,0.0,0.0,0.0,0.07763590663671494
2020-04-11,1.0,0.0,0.0,0.03238970413804054
2020-04-12,0.0,0.003925642929971218,0.0,0.06457605212926865
2020-04-13,0.0,0.04153697192668915,0.0,0.08765389770269394
2020-04-14,0.0,0.24524398148059845,0.18664522469043732,0.33528000116348267
2020-04-15,0.0,0.3197973668575287,0.28855982422828674,0.3477572798728943
2020-04-16,0.0,0.26433268189430237,0.1616848260164261,0.3230118453502655
2020-04-17,0.0,0.12669910490512848,0.0,0.23015069961547852
2020-04-18,0.0,0.21791736781597137,0.1680084466934204,0.2850181758403778
2020-04-19,0.0,0.0,0.0,0.011083572171628475
2020-04-20,0.0,0.0,0.0,0.05248154327273369
2020-04-21,0.0,0.05607359856367111,0.00694967620074749,0.09064055979251862
2020-04-22,0.0,0.10692667961120605,0.02873135358095169,0.15883545577526093
2020-04-23,0.0,0.3567529618740082,0.14074698090553284,0.531791090965271
2020-04-24,0.0,0.4013585150241852,0.2315249741077423,0.5416403412818909
2020-04-25,0.0,0.21733562648296356,0.027547702193260193,0.3494988679885864
2020-04-26,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
