,Delaware,forecast,interval_low,interval_high
2020-03-07,0.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-03-08,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-03-09,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-03-10,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-03-11,1.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-03-12,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-03-13,3.0,18.13399887084961,17.40822982788086,18.707813262939453
2020-03-14,2.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-03-15,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-03-16,2.0,12.36892318725586,10.930524826049805,13.250422477722168
2020-03-17,8.0,11.812583923339844,9.680269241333008,13.313440322875977
2020-03-18,3.0,15.551689147949219,14.187420845031738,16.252710342407227
2020-03-19,11.0,15.614445686340332,14.570722579956055,17.33622169494629
2020-03-20,9.0,18.224760055541992,17.572101593017578,18.794527053833008
2020-03-21,6.0,22.800947189331055,20.142108917236328,27.051382064819336
2020-03-22,11.0,23.375551223754883,22.813743591308594,23.973812103271484
2020-03-23,12.0,14.432876586914062,13.045619010925293,15.299683570861816
2020-03-24,36.0,13.922083854675293,11.57759952545166,15.510482788085938
2020-03-25,15.0,17.324769973754883,16.140893936157227,17.939311981201172
2020-03-26,11.0,17.590295791625977,16.649702072143555,18.908246994018555
2020-03-27,33.0,20.11358642578125,19.913496017456055,20.453916549682617
2020-03-28,51.0,24.582809448242188,22.155235290527344,28.549901962280273
2020-03-29,18.0,25.16390037536621,24.876949310302734,25.72749900817871
2020-03-30,32.0,24.35552215576172,23.163240432739258,26.610843658447266
2020-03-31,55.0,24.05543327331543,20.7943172454834,26.015954971313477
2020-04-01,49.0,25.926788330078125,25.559293746948242,26.404335021972656
2020-04-02,25.0,27.070724487304688,26.577716827392578,27.97953987121582
2020-04-03,57.0,29.219085693359375,28.275197982788086,30.82575798034668
2020-04-04,143.0,33.134849548339844,31.732908248901367,35.857913970947266
2020-04-05,80.0,33.74050521850586,32.357425689697266,34.65951156616211
2020-04-06,110.0,42.69746398925781,39.10834884643555,47.27122497558594
2020-04-07,145.0,42.879547119140625,38.20769500732422,45.41785430908203
2020-04-08,188.0,42.14350128173828,40.72490692138672,43.1253776550293
2020-04-09,93.0,44.61579513549805,41.55427551269531,47.523441314697266
2020-04-10,117.0,46.2056884765625,43.923431396484375,50.12076950073242
2020-04-11,153.0,48.990230560302734,47.969688415527344,49.73556900024414
2020-04-12,146.0,49.59977340698242,46.48865509033203,52.24692153930664
2020-04-13,133.0,104.82086181640625,93.46728515625,116.8727035522461
2020-04-14,168.0,107.1673583984375,98.17559814453125,112.22854614257812
2020-04-15,88.0,96.6254653930664,93.65049743652344,100.92071533203125
2020-04-16,56.0,104.73099517822266,92.29429626464844,115.27780151367188
2020-04-17,247.0,103.7349624633789,96.2773666381836,117.94876861572266
2020-04-18,221.0,102.9660415649414,97.19408416748047,108.81427001953125
2020-04-19,0.0,103.45642852783203,94.64419555664062,113.22404479980469
2020-04-20,207.0,127.16124725341797,117.1039047241211,138.42056274414062
2020-04-21,186.0,131.99984741210938,126.2080078125,135.74057006835938
2020-04-22,269.0,122.13375091552734,116.82289123535156,126.08507537841797
2020-04-23,108.0,125.27628326416016,118.17127990722656,132.99588012695312
2020-04-24,134.0,125.30413818359375,118.68765258789062,128.96372985839844
2020-04-25,134.0,123.7322769165039,121.68989562988281,127.40544128417969
2020-04-26,458.0,124.06497955322266,116.52729034423828,128.68560791015625
2020-04-27,128.0,159.83689880371094,147.65554809570312,174.53524780273438
2020-04-28,413.0,164.7146453857422,156.67750549316406,169.58226013183594
2020-04-29,80.0,147.94415283203125,144.50108337402344,152.55307006835938
2020-04-30,79.0,157.64230346679688,144.80401611328125,169.6407012939453
2020-05-01,184.0,155.606201171875,148.8278045654297,167.81661987304688
2020-05-02,120.0,150.83056640625,144.7786407470703,157.82891845703125
2020-05-03,170.0,150.8491668701172,141.16552734375,160.87945556640625
2020-05-04,80.0,201.24827575683594,186.50225830078125,217.17640686035156
2020-05-05,83.0,212.4571533203125,208.40472412109375,216.219482421875
2020-05-06,407.0,194.0569610595703,190.38111877441406,197.86676025390625
2020-05-07,161.0,197.5266571044922,188.33517456054688,209.65867614746094
2020-05-08,172.0,194.8365020751953,186.01467895507812,200.8340301513672
2020-05-09,166.0,191.32118225097656,188.07437133789062,196.3543701171875
2020-05-10,0.0,191.35328674316406,180.33396911621094,197.45059204101562
2020-05-11,288.0,148.03355407714844,135.56680297851562,163.25064086914062
2020-05-12,176.0,150.85104370117188,140.35580444335938,158.3496856689453
2020-05-13,211.0,133.10728454589844,130.27078247070312,138.51129150390625
2020-05-14,271.0,146.61465454101562,130.51632690429688,159.85952758789062
2020-05-15,150.0,144.35487365722656,132.92269897460938,162.1466522216797
2020-05-16,174.0,138.98585510253906,130.4146270751953,147.42080688476562
2020-05-17,123.0,138.9595947265625,128.8851318359375,152.27113342285156
2020-05-18,199.0,159.0711212158203,147.72303771972656,172.87355041503906
2020-05-19,168.0,164.17686462402344,157.37454223632812,167.83218383789062
2020-05-20,157.0,148.60089111328125,144.6535186767578,152.80398559570312
2020-05-21,192.0,156.4663543701172,145.70452880859375,167.10897827148438
2020-05-22,143.0,154.8369140625,148.4641571044922,163.87606811523438
2020-05-23,0.0,150.45895385742188,145.94558715820312,156.38156127929688
2020-05-24,280.0,150.5362548828125,141.5202178955078,158.6752471923828
2020-05-25,156.0,169.69580078125,161.8240203857422,181.21278381347656
2020-05-26,101.0,175.5965118408203,172.68724060058594,177.55657958984375
2020-05-27,30.0,161.27452087402344,156.7158203125,164.08370971679688
2020-05-28,75.0,165.72642517089844,160.84524536132812,172.39085388183594
2020-05-29,65.0,165.2730255126953,161.22552490234375,169.8576202392578
2020-05-30,186.0,159.94200134277344,156.90591430664062,163.21311950683594
2020-05-31,76.0,159.73448181152344,153.403564453125,163.07786560058594
2020-06-01,107.0,128.77830505371094,120.96308898925781,138.17471313476562
2020-06-02,80.0,134.3102569580078,131.1687774658203,137.54991149902344
2020-06-03,27.0,126.39849853515625,119.88318634033203,129.80169677734375
2020-06-04,34.0,125.9837875366211,123.56856536865234,130.41757202148438
2020-06-05,27.0,127.15786743164062,121.73490142822266,136.87350463867188
2020-06-06,72.0,125.603759765625,122.89256286621094,127.01018524169922
2020-06-07,97.0,125.87115478515625,120.42176818847656,131.04119873046875
2020-06-08,30.0,91.4935531616211,84.5938949584961,99.3766860961914
2020-06-09,48.0,95.01102447509766,90.45787811279297,98.39918518066406
2020-06-10,36.0,90.55281829833984,84.94677734375,93.68476104736328
2020-06-11,50.0,90.70083618164062,87.67591094970703,94.76837921142578
2020-06-12,67.0,92.28118133544922,87.0747299194336,98.82513427734375
2020-06-13,56.0,92.67667388916016,90.92911529541016,93.87651062011719
2020-06-14,35.0,93.16751861572266,88.19879913330078,96.84837341308594
2020-06-15,76.0,55.61337661743164,51.00212097167969,61.12515640258789
2020-06-16,63.0,56.975101470947266,52.29389953613281,59.637672424316406
2020-06-17,41.0,55.59405517578125,52.51884460449219,57.37226486206055
2020-06-18,55.0,56.78731155395508,54.100738525390625,59.854393005371094
2020-06-19,112.0,58.5483283996582,55.111759185791016,60.442665100097656
2020-06-20,70.0,60.77809524536133,59.54579162597656,61.60248565673828
2020-06-21,94.0,61.38128662109375,57.747135162353516,63.25788116455078
2020-06-22,45.0,60.5126953125,55.60504150390625,66.42198944091797
2020-06-23,27.0,61.69869613647461,56.81190872192383,64.41574096679688
2020-06-24,42.0,59.578033447265625,56.31117248535156,61.517906188964844
2020-06-25,91.0,61.38688278198242,58.12421417236328,64.7746353149414
2020-06-26,37.0,62.965702056884766,59.50263977050781,65.10713195800781
2020-06-27,74.0,64.75811004638672,63.6003303527832,65.52739715576172
2020-06-28,135.0,65.35665130615234,61.4580192565918,67.65160369873047
2020-06-29,150.0,68.23165893554688,63.73331069946289,74.03141021728516
2020-06-30,98.0,69.97937774658203,65.80569458007812,72.65791320800781
2020-07-01,36.0,67.97704315185547,63.39939880371094,70.38042449951172
