,District of Columbia,forecast,interval_low,interval_high
2020-03-09,0.0,0.5124403238296509,0.0,6.370883941650391
2020-03-10,0.0,1.2385461330413818,0.0,6.625778675079346
2020-03-11,0.0,1.6490548849105835,0.0,9.106735229492188
2020-03-12,0.0,2.132697105407715,0.0,9.568521499633789
2020-03-13,0.0,3.2699577808380127,0.0,10.602737426757812
2020-03-14,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-03-15,0.0,0.13330671191215515,0.0,4.492083549499512
2020-03-16,22.0,0.5124403238296509,0.0,6.370883941650391
2020-03-17,0.0,1.2385461330413818,0.0,6.625778675079346
2020-03-18,9.0,1.6490548849105835,0.0,9.106735229492188
2020-03-19,9.0,2.132697105407715,0.0,9.568521499633789
2020-03-20,31.0,3.2699577808380127,0.0,10.602737426757812
2020-03-21,27.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-03-22,4.0,9.906277656555176,4.750319004058838,13.590409278869629
2020-03-23,18.0,13.1084623336792,5.598742485046387,16.358417510986328
2020-03-24,21.0,15.15648365020752,7.19915771484375,19.589345932006836
2020-03-25,46.0,16.714086532592773,8.623943328857422,20.239391326904297
2020-03-26,44.0,19.974538803100586,12.402032852172852,26.917179107666016
2020-03-27,40.0,22.125263214111328,14.558387756347656,27.11915397644043
2020-03-28,33.0,25.244237899780273,14.956817626953125,29.753238677978516
2020-03-29,38.0,29.77065086364746,25.317245483398438,37.43588638305664
2020-03-30,59.0,32.215450286865234,26.154706954956055,36.471702575683594
2020-03-31,94.0,37.22332763671875,25.01519203186035,44.4118766784668
2020-04-01,91.0,44.04320526123047,25.781993865966797,58.292972564697266
2020-04-02,67.0,45.613643646240234,31.188030242919922,56.77345657348633
2020-04-03,104.0,49.04098129272461,34.67195510864258,58.19819259643555
2020-04-04,145.0,55.07829666137695,35.05647277832031,69.1406021118164
2020-04-05,100.0,73.30540466308594,63.889793395996094,83.03012084960938
2020-04-06,95.0,83.83876037597656,64.83796691894531,94.57556915283203
2020-04-07,114.0,98.12603759765625,62.78705978393555,112.65068817138672
2020-04-08,229.0,102.64567565917969,64.29158782958984,121.17472076416016
2020-04-09,83.0,100.97583770751953,70.77714538574219,111.32039642333984
2020-04-10,137.0,108.1633529663086,78.38335418701172,118.34918212890625
2020-04-11,118.0,115.53788757324219,73.72640228271484,132.5491485595703
2020-04-12,97.0,131.98239135742188,113.8510971069336,149.80616760253906
2020-04-13,80.0,144.33480834960938,122.11980438232422,169.44912719726562
2020-04-14,103.0,132.79490661621094,116.07283020019531,153.42153930664062
2020-04-15,139.0,124.83927154541016,115.1290512084961,138.6674041748047
2020-04-16,153.0,137.4356689453125,122.41044616699219,151.9961395263672
2020-04-17,126.0,147.87413024902344,140.244384765625,153.98776245117188
2020-04-18,190.0,150.52395629882812,131.95225524902344,158.19232177734375
2020-04-19,127.0,116.60185241699219,109.70592498779297,123.77742004394531
2020-04-20,134.0,117.57952880859375,105.64109802246094,131.2345733642578
2020-04-21,171.0,106.77214050292969,91.06396484375,117.53123474121094
2020-04-22,108.0,102.18958282470703,92.5972671508789,112.14168548583984
2020-04-23,155.0,109.46653747558594,98.52954864501953,118.42498779296875
2020-04-24,167.0,104.40252685546875,90.12296295166016,118.19972229003906
2020-04-25,171.0,102.11260223388672,91.47607421875,120.39347839355469
2020-04-26,142.0,132.54383850097656,120.56893157958984,144.90907287597656
2020-04-27,51.0,134.19895935058594,110.37222290039062,162.83563232421875
2020-04-28,102.0,127.510009765625,112.61226654052734,141.729736328125
2020-04-29,112.0,140.15359497070312,128.79864501953125,147.56024169921875
2020-04-30,217.0,138.42250061035156,126.56262969970703,151.06031799316406
2020-05-01,335.0,142.5290069580078,122.99484252929688,166.99378967285156
2020-05-02,139.0,132.32974243164062,118.89391326904297,147.2825927734375
2020-05-03,219.0,181.0222625732422,117.96984100341797,241.6671905517578
2020-05-04,154.0,211.5029754638672,124.7551498413086,352.7877502441406
