,Montana,forecast,interval_low,interval_high
2020-02-19,0.0,0.012961214408278465,-0.06573939323425293,0.1895521581172943
2020-02-20,0.0,-0.009459334425628185,-0.051048994064331055,0.01637616753578186
2020-02-21,0.0,0.016443531960248947,-0.07597243785858154,0.08142301440238953
2020-02-22,0.0,-0.005233556032180786,-0.05013096332550049,0.05472207069396973
2020-02-23,0.0,-0.0022740126587450504,-0.014556705951690674,0.00745236873626709
2020-02-24,0.0,0.0067341746762394905,-0.004351794719696045,0.019419193267822266
2020-02-25,0.0,0.014088320545852184,-0.03972727060317993,0.05121985077857971
2020-02-26,0.0,-0.02898421883583069,-0.19309240579605103,0.026102066040039062
2020-02-27,0.0,-0.006488454528152943,-0.03179025650024414,0.005549490451812744
2020-02-28,0.0,0.03617634251713753,-0.024198949337005615,0.14753979444503784
2020-02-29,0.0,-0.002948981476947665,-0.018371760845184326,0.006847947835922241
2020-03-01,0.0,0.005168271251022816,-0.0019222497940063477,0.01822724938392639
2020-03-02,0.0,-0.00027890206547454,-0.012336671352386475,0.01100817322731018
2020-03-03,0.0,0.7318124175071716,0.0013220608234405518,1.787920355796814
2020-03-04,0.0,0.1106480211019516,-0.014494597911834717,0.5568200349807739
2020-03-05,0.0,0.18807834386825562,-0.144239604473114,1.1237280368804932
2020-03-06,0.0,0.735869288444519,-0.0283125638961792,3.7139391899108887
2020-03-07,0.0,-0.05626291781663895,-0.33762139081954956,0.07762017846107483
2020-03-08,0.0,-0.003945767879486084,-0.03862583637237549,0.03288564085960388
2020-03-09,0.0,-0.09323727339506149,-0.6522196531295776,0.2977035939693451
2020-03-10,0.0,-0.012231176719069481,-0.14407110214233398,0.09923109412193298
2020-03-11,0.0,0.07641852647066116,-0.0788913369178772,0.4337080121040344
2020-03-12,0.0,0.0013438999885693192,-0.09236162900924683,0.05471321940422058
2020-03-13,1.0,1.0187610387802124,0.9251659512519836,1.1111547946929932
2020-03-14,5.0,5.319901466369629,4.9944024085998535,6.269532680511475
2020-03-15,6.0,6.024674892425537,5.925716400146484,6.161334037780762
2020-03-16,6.0,6.366551876068115,5.964084148406982,7.787176609039307
2020-03-17,8.0,8.35041618347168,7.931286334991455,9.941045761108398
2020-03-18,10.0,9.469666481018066,7.266383171081543,10.07231330871582
2020-03-19,11.0,14.570791244506836,10.981365203857422,20.37919044494629
2020-03-20,20.0,19.986658096313477,19.928442001342773,20.06031036376953
2020-03-21,27.0,28.39187240600586,26.96304702758789,33.94283676147461
2020-03-22,34.0,34.00613021850586,33.96775436401367,34.06597900390625
2020-03-23,34.0,33.99918746948242,33.961734771728516,34.02756118774414
2020-03-24,51.0,53.84552764892578,50.928916931152344,65.19134521484375
2020-03-25,65.0,69.9693603515625,64.90386199951172,90.01565551757812
2020-03-26,90.0,93.72338104248047,89.8432388305664,108.6213150024414
2020-03-27,109.0,112.96171569824219,108.98320770263672,128.6765899658203
2020-03-28,129.0,128.3097686767578,100.78520965576172,153.81610107421875
2020-03-29,154.0,163.40872192382812,153.95957946777344,173.32916259765625
2020-03-30,171.0,171.001220703125,170.9828338623047,171.02383422851562
2020-03-31,198.0,176.62393188476562,170.703369140625,197.96942138671875
2020-04-01,208.0,220.1949920654297,207.9561309814453,241.34751892089844
2020-04-02,241.0,241.02462768554688,240.9901123046875,241.08790588378906
2020-04-03,243.0,242.9619140625,242.90740966796875,243.02618408203125
2020-04-04,265.0,258.84954833984375,234.21173095703125,265.08282470703125
2020-04-05,286.0,290.2779235839844,285.9599914550781,307.39154052734375
2020-04-06,299.0,303.19140625,298.9728088378906,319.8113708496094
2020-04-07,319.0,324.41204833984375,318.86981201171875,333.92694091796875
2020-04-08,332.0,332.02679443359375,331.8946228027344,332.1191711425781
2020-04-09,354.0,354.0151672363281,353.9024963378906,354.1421203613281
2020-04-10,365.0,361.88970947265625,349.5428466796875,365.0746765136719
2020-04-11,377.0,377.1600036621094,376.9403381347656,377.7607116699219
2020-04-12,387.0,386.98443603515625,386.91455078125,387.0400085449219
2020-04-13,394.0,394.85504150390625,390.88177490234375,401.429931640625
2020-04-14,399.0,401.33837890625,398.9433288574219,410.69012451171875
2020-04-15,404.0,403.9815368652344,403.8692321777344,404.15069580078125
2020-04-16,415.0,415.0311584472656,414.8953552246094,415.106201171875
2020-04-17,422.0,422.7806701660156,421.92572021484375,425.9720458984375
2020-04-18,426.0,428.13525390625,425.99481201171875,436.6561279296875
2020-04-19,433.0,433.002685546875,432.961181640625,433.0289001464844
2020-04-20,433.0,433.0306091308594,432.99053955078125,433.0738525390625
2020-04-21,437.0,437.2818908691406,436.9800109863281,438.42529296875
2020-04-22,439.0,438.90997314453125,438.65777587890625,439.0216369628906
2020-04-23,442.0,442.35498046875,441.94366455078125,443.81146240234375
2020-04-24,444.0,444.0166931152344,443.8912353515625,444.076904296875
2020-04-25,445.0,444.98443603515625,444.9084167480469,445.0347595214844
2020-04-26,448.0,447.1127014160156,443.59063720703125,448.0114440917969
2020-04-27,449.0,449.9485778808594,448.898193359375,453.87188720703125
2020-04-28,451.0,451.0174255371094,450.9451904296875,451.0635986328125
2020-04-29,451.0,452.23321533203125,451.0064697265625,453.16973876953125
2020-04-30,453.0,452.9951171875,452.9566345214844,453.02496337890625
2020-05-01,453.0,453.50299072265625,452.9794616699219,455.5151062011719
2020-05-02,455.0,454.83575439453125,454.1409606933594,455.0667419433594
2020-05-03,455.0,455.9541015625,454.26910400390625,458.36309814453125
2020-05-04,457.0,456.4505310058594,451.1297607421875,460.2256164550781
2020-05-05,456.0,456.2162170410156,455.96990966796875,457.0057678222656
2020-05-06,456.0,456.0342712402344,455.9217834472656,456.1488037109375
2020-05-07,456.0,455.98504638671875,455.9041442871094,456.0721740722656
2020-05-08,458.0,457.21197509765625,454.0680236816406,458.0801086425781
2020-05-09,458.0,457.99151611328125,457.919189453125,458.0235595703125
2020-05-10,458.0,457.9896545410156,457.9207763671875,458.0445556640625
2020-05-11,459.0,459.02685546875,458.9388122558594,459.0689392089844
2020-05-12,461.0,461.0009765625,460.91595458984375,461.0605163574219
2020-05-13,462.0,461.9381408691406,461.8052978515625,462.0755615234375
2020-05-14,462.0,463.6817932128906,461.9078674316406,467.12017822265625
2020-05-15,466.0,468.0148010253906,466.0720520019531,472.22113037109375
2020-05-16,468.0,467.9915466308594,467.9041748046875,468.09454345703125
2020-05-17,468.0,468.015869140625,467.98431396484375,468.09527587890625
2020-05-18,470.0,470.7461853027344,469.9847412109375,472.5082092285156
2020-05-19,471.0,472.32806396484375,470.9214172363281,477.6675109863281
2020-05-20,478.0,478.4287109375,477.9237976074219,480.23187255859375
2020-05-21,479.0,479.6210021972656,478.9148864746094,482.01824951171875
2020-05-22,479.0,479.30889892578125,478.888916015625,480.50616455078125
2020-05-23,479.0,479.31707763671875,478.4836730957031,481.1490783691406
2020-05-24,479.0,479.5145568847656,478.0584411621094,482.5363464355469
2020-05-25,479.0,478.8243103027344,478.1297302246094,479.0186462402344
2020-05-26,479.0,480.0283203125,479.0158386230469,481.8783874511719
