,Maryland,forecast,interval_low,interval_high
2020-03-25,76.0,60.717584624453295,,
2020-03-26,158.0,135.8867553525702,,
2020-03-27,192.0,57.20068251023744,,
2020-03-28,220.0,131.4473232309425,,
2020-03-29,244.0,153.9849221105173,,
2020-03-30,174.0,90.12796618834614,,
2020-03-31,247.0,333.6549125930515,,
2020-04-01,326.0,235.39363799519157,,
2020-04-02,345.0,237.9671530259128,,
2020-04-03,427.0,400.18966117781224,,
2020-04-04,367.0,229.78101878900753,,
2020-04-05,492.0,563.2992524203919,,
2020-04-06,428.0,241.51679219709388,,
2020-04-07,326.0,430.5212586254981,,
2020-04-08,1158.0,1380.3956373192127,,
2020-04-09,656.0,-619.0339076166122,,
2020-04-10,783.0,1382.7689826995822,,
2020-04-11,726.0,502.37953692884014,,
2020-04-12,531.0,592.6803332024394,,
2020-04-13,711.0,1125.8434152184623,,
2020-04-14,536.0,498.30211375537647,,
2020-04-15,560.0,1029.1450008579895,,
2020-04-16,752.0,947.4646802286027,,
2020-04-17,788.0,647.340189573503,,
2020-04-18,754.0,746.5961511098363,,
2020-04-19,521.0,583.5141659849705,,
2020-04-20,837.0,1221.858502523691,,
2020-04-21,509.0,97.37129798647891,,
2020-04-22,582.0,1142.647349063755,,
2020-04-23,962.0,999.1435640704285,,
2020-04-24,879.0,347.85326655170854,,
2020-04-25,1150.0,1203.8588475534639,,
2020-04-26,815.0,295.37043150014665,,
2020-04-27,906.0,1264.6618742383068,,
2020-04-28,626.0,476.3371540435762,,
2020-04-29,736.0,1252.6788979058674,,
2020-04-30,893.0,936.64676402096,,
2020-05-01,1730.0,1660.6986420609574,,
2020-05-02,1001.0,-323.8012779416056,,
2020-05-03,989.0,1855.4247352976845,,
2020-05-04,946.0,899.0474654099411,,
2020-05-05,709.0,794.1018618373578,,
2020-05-06,1046.0,1615.4115676187662,,
2020-05-07,1211.0,994.9359523481961,,
2020-05-08,1111.0,964.6514342465496,,
2020-05-09,1049.0,1201.854659131113,,
2020-05-10,1053.0,1124.408059026653,,
2020-05-11,786.0,770.5866352054918,,
2020-05-12,688.0,1183.2372277352806,,
2020-05-13,751.0,1116.4267749467067,,
2020-05-14,1091.0,1224.1430426185966,,
2020-05-15,1083.0,689.4780554627182,,
2020-05-16,982.0,947.2840052510999,,
2020-05-17,836.0,873.795052969932,,
2020-05-18,958.0,1089.8764649775064,,
2020-05-19,1784.0,1580.8813841178694,,
2020-05-20,777.0,-594.8876739472735,,
2020-05-21,1208.0,2545.4225787689406,,
2020-05-22,893.0,255.41529880061182,,
2020-05-23,1071.0,1536.8864889129384,,
2020-05-24,818.0,699.5357845951169,,
2020-05-25,839.0,1397.0881611520922,,
2020-05-26,535.0,678.5507177250417,,
2020-05-27,736.0,1389.6167296841013,,
2020-05-28,1286.0,1182.761166463174,,
2020-05-29,1279.0,456.2735113609716,,
2020-05-30,1027.0,812.648759093079,,
2020-05-31,763.0,890.0443923381971,,
2020-06-01,549.0,804.4632511092169,,
2020-06-02,848.0,1251.9169930772487,,
2020-06-03,807.0,567.5927245692046,,
2020-06-04,876.0,1079.8218912333664,,
2020-06-05,912.0,863.1579652399372,,
2020-06-06,712.0,590.1320604812544,,
2020-06-07,491.0,709.8616252153604,,
2020-06-08,431.0,793.4188344284145,,
2020-06-09,500.0,713.9232703861173,,
2020-06-10,561.0,600.3076426816338,,
2020-06-11,732.0,720.4698628191818,,
2020-06-12,416.0,110.33838388469417,,
2020-06-13,692.0,1047.6357777240773,,
2020-06-14,396.0,-129.52362770648062,,
2020-06-15,331.0,657.7339188280798,,
2020-06-16,377.0,478.69959638135924,,
2020-06-17,560.0,518.8088880951095,,
2020-06-18,260.0,-38.71347521139427,,
2020-06-19,319.0,730.7200179284076,,
2020-06-20,408.0,302.92593387300053,,
2020-06-21,350.0,155.0593106905217,,
2020-06-22,297.0,318.32035373067316,,
2020-06-23,404.0,434.46013374552047,,
2020-06-24,330.0,92.56502304767915,,
2020-06-25,440.0,465.55652613986365,,
2020-06-26,338.0,96.34543623323142,,
2020-06-27,335.0,399.1648898316555,,
2020-06-28,327.0,279.664899684068,,
2020-06-29,477.0,457.61032595041996,,
2020-06-30,305.0,38.000885726206036,,
2020-07-01,359.0,571.5964660983767,,
2020-07-02,505.0,408.61904405185624,,
2020-07-03,538.0,269.3658332258377,,
2020-07-04,380.0,249.9832626703675,,
2020-07-05,291.0,472.45929149826554,,
2020-07-06,272.0,410.5643344790558,,
2020-07-07,492.0,587.0767008147852,,
2020-07-08,465.0,200.26053444709498,,
2020-07-09,586.0,626.4601502904218,,
2020-07-10,463.0,225.70862505017976,,
2020-07-11,557.0,651.0243676678191,,
2020-07-12,642.0,445.74147496939656,,
2020-07-13,418.0,238.5095535550556,,
2020-07-14,733.0,1064.8043489955462,,
2020-07-15,756.0,306.64454220739503,,
2020-07-16,648.0,561.0712408690714,,
2020-07-17,707.0,845.421592134422,,
2020-07-18,835.0,748.4477195062606,,
2020-07-19,,757.59802289156,434.4449924447629,1080.7510533383572
2020-07-20,,808.6292891507305,468.8219297064142,1148.4366485950468
2020-07-21,,822.44000611035,466.2151439335035,1178.6648682871967
2020-07-22,,847.5496325771006,486.456879290245,1208.6423858639562
2020-07-23,,882.3141462882503,514.898333899335,1249.7299586771655
2020-07-24,,916.8973606168486,533.8241794874273,1299.9705417462699
2020-07-25,,940.8447127555997,526.4861499606793,1355.2032755505202
