,Utah,forecast,interval_low,interval_high
2020-04-22,148.0,124.55879974365234,121.2855453491211,127.7403335571289
2020-04-23,167.0,115.81685638427734,108.66621398925781,127.8164291381836
2020-04-24,170.0,117.48446655273438,109.67581939697266,129.42543029785156
2020-04-25,166.0,128.09791564941406,124.21702575683594,133.1954345703125
2020-04-26,175.0,143.8771209716797,139.6698760986328,147.33609008789062
2020-04-27,113.0,146.6773681640625,138.21646118164062,151.0826416015625
2020-04-28,109.0,155.10801696777344,149.6241455078125,157.94271850585938
2020-04-29,152.0,159.57339477539062,159.17234802246094,159.96151733398438
2020-04-30,175.0,157.71507263183594,154.24200439453125,162.16793823242188
2020-05-01,156.0,159.4684600830078,156.2999725341797,165.02151489257812
2020-05-02,157.0,165.29241943359375,159.57626342773438,171.12530517578125
2020-05-03,190.0,173.0797119140625,168.36172485351562,178.9844512939453
2020-05-04,142.0,182.07557678222656,174.52650451660156,189.71461486816406
2020-05-05,132.0,185.9798583984375,181.1339111328125,189.409423828125
2020-05-06,146.0,185.95872497558594,181.1840057373047,190.2472686767578
2020-05-07,129.0,172.10968017578125,163.9875946044922,186.9654083251953
2020-05-08,195.0,173.53326416015625,165.0733184814453,189.50169372558594
2020-05-09,184.0,190.69122314453125,187.06077575683594,195.5443572998047
2020-05-10,148.0,177.5845184326172,173.1028594970703,180.92970275878906
2020-05-11,111.0,184.93382263183594,176.78915405273438,190.25775146484375
2020-05-12,70.0,193.6891632080078,188.4280242919922,197.7693328857422
2020-05-13,188.0,196.5172119140625,194.9035186767578,197.47254943847656
2020-05-14,129.0,187.3243865966797,182.07595825195312,196.34609985351562
2020-05-15,164.0,187.0892791748047,180.9326171875,199.24307250976562
2020-05-16,155.0,199.990478515625,197.0238037109375,205.78282165527344
2020-05-17,170.0,170.4319610595703,165.52728271484375,178.95339965820312
2020-05-18,146.0,178.20237731933594,170.4142608642578,188.1798858642578
2020-05-19,134.0,178.7103729248047,173.5531005859375,181.86032104492188
2020-05-20,192.0,177.1186065673828,171.10218811035156,182.5935821533203
2020-05-21,164.0,163.99403381347656,153.45663452148438,180.94204711914062
2020-05-22,183.0,168.3250274658203,159.5025634765625,183.9381561279297
2020-05-23,203.0,185.0865020751953,182.3346405029297,189.99581909179688
2020-05-24,132.0,175.0841064453125,170.1563720703125,180.62783813476562
2020-05-25,129.0,175.4520263671875,165.6785888671875,181.06919860839844
2020-05-26,99.0,184.082275390625,177.804443359375,188.03628540039062
2020-05-27,86.0,189.07020568847656,188.0748291015625,190.34161376953125
2020-05-28,215.0,190.84423828125,189.0049591064453,194.3173065185547
2020-05-29,343.0,195.7939453125,193.7478790283203,198.8311309814453
2020-05-30,269.0,200.02455139160156,190.62130737304688,206.65524291992188
2020-05-31,264.0,164.14012145996094,160.38352966308594,166.30645751953125
2020-06-01,202.0,181.0814666748047,175.24610900878906,187.954833984375
2020-06-02,203.0,187.4886474609375,183.6248321533203,194.16123962402344
2020-06-03,295.0,185.9598388671875,181.7234649658203,190.44908142089844
2020-06-04,316.0,161.21971130371094,151.5797119140625,179.73460388183594
2020-06-05,439.0,154.55458068847656,139.64918518066406,180.02552795410156
2020-06-06,546.0,179.0525360107422,167.4832763671875,185.854248046875
2020-06-07,268.0,295.5498046875,288.5824279785156,308.27288818359375
2020-06-08,256.0,303.6604919433594,293.8743896484375,317.2319030761719
2020-06-09,237.0,306.7369079589844,300.19476318359375,313.7403869628906
2020-06-10,305.0,302.63018798828125,296.20733642578125,307.0450134277344
2020-06-11,388.0,288.3683166503906,275.1739807128906,308.2989196777344
2020-06-12,325.0,296.9222106933594,286.7464294433594,315.19244384765625
2020-06-13,404.0,318.6015930175781,311.8498840332031,324.4050598144531
2020-06-14,332.0,395.9939270019531,388.99530029296875,409.1950378417969
2020-06-15,295.0,427.82080078125,408.6575012207031,450.95623779296875
2020-06-16,329.0,427.1662902832031,409.1310729980469,449.25311279296875
2020-06-17,407.0,402.4764404296875,392.7706604003906,412.9801330566406
2020-06-18,495.0,350.5597839355469,325.0024108886719,399.064453125
2020-06-19,586.0,345.5531921386719,316.7120666503906,402.561279296875
2020-06-20,643.0,399.2467346191406,381.96307373046875,413.4466552734375
2020-06-21,394.0,407.3603515625,396.6328430175781,428.497802734375
2020-06-22,444.0,409.6033935546875,397.6913757324219,425.6521301269531
2020-06-23,394.0,408.9134521484375,402.17230224609375,414.0716857910156
2020-06-24,484.0,401.9186706542969,391.0932312011719,409.0089416503906
2020-06-25,590.0,392.8794860839844,375.9380187988281,416.6591491699219
2020-06-26,676.0,412.5497741699219,397.759033203125,427.35552978515625
2020-06-27,578.0,435.9082946777344,420.5188903808594,447.7816162109375
2020-06-28,472.0,558.5220336914062,548.2255249023438,578.9138793945312
2020-06-29,564.0,583.5089721679688,562.61181640625,609.0806884765625
2020-06-30,553.0,577.3333129882812,558.3515014648438,599.34228515625
2020-07-01,499.0,543.4518432617188,529.32958984375,557.1090087890625
2020-07-02,554.0,498.938232421875,467.6216125488281,557.5164794921875
2020-07-03,596.0,503.702392578125,464.2860107421875,562.9002075195312
2020-07-04,676.0,558.6769409179688,550.4404296875,568.1282348632812
2020-07-05,410.0,615.70947265625,602.0151977539062,629.2208862304688
2020-07-06,517.0,631.2390747070312,623.4098510742188,644.7921142578125
2020-07-07,564.0,633.1701049804688,620.92138671875,646.9496459960938
2020-07-08,722.0,606.5143432617188,590.8773193359375,617.8016357421875
2020-07-09,601.0,584.6687622070312,561.296875,629.1168823242188
2020-07-10,867.0,583.4275512695312,543.1307373046875,633.61328125
2020-07-11,632.0,628.6287231445312,625.4539794921875,632.9924926757812
2020-07-12,629.0,643.60400390625,621.2286376953125,686.1430053710938
2020-07-13,546.0,628.1064453125,610.2302856445312,654.6533813476562
2020-07-14,448.0,603.3308715820312,595.6197509765625,614.5932006835938
2020-07-15,413.0,586.389892578125,558.1784057617188,606.2470703125
2020-07-16,954.0,594.1488647460938,554.099609375,639.233642578125
2020-07-17,727.0,645.3739624023438,622.5050048828125,659.0142822265625
2020-07-18,760.0,666.2901000976562,637.7403564453125,697.7603149414062
2020-07-19,,640.6593627929688,629.3367309570312,653.95556640625
2020-07-20,,702.5293579101562,675.8575439453125,718.8359985351562
2020-07-21,,712.0759887695312,663.6404418945312,755.6666259765625
2020-07-22,,653.4597778320312,647.0838623046875,663.645751953125
2020-07-23,,571.7689819335938,514.9588623046875,652.105712890625
2020-07-24,,519.5562133789062,449.3760070800781,642.4725341796875
2020-07-25,,607.0059204101562,552.6915283203125,664.7544555664062
