,Northern Mariana Islands,forecast,interval_low,interval_high
2020-03-27,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-03-28,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-03-29,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-03-30,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-03-31,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-04-01,1.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-04-02,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-04-03,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-04-04,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-04-05,0.0,0.0,0.0,0.011995712295174599
2020-04-06,0.0,0.0,0.0,0.022385653108358383
2020-04-07,1.0,0.0,0.0,0.024382052943110466
2020-04-08,0.0,0.0,0.0,0.009156037122011185
2020-04-09,0.0,0.019805271178483963,0.0,0.12182596325874329
2020-04-10,0.0,0.8070427775382996,0.44461923837661743,1.029718279838562
2020-04-11,0.0,0.003478761063888669,0.0,0.010211600922048092
2020-04-12,0.0,0.0,0.0,0.046441711485385895
2020-04-13,0.0,0.0,0.0,0.02639756351709366
2020-04-14,0.0,0.0,0.0,0.06186497211456299
2020-04-15,0.0,0.06245457008481026,0.00013011787086725235,0.18629539012908936
2020-04-16,0.0,0.4438524842262268,0.2852095067501068,0.570553719997406
2020-04-17,0.0,0.028811847791075706,0.0,0.1151849702000618
2020-04-18,0.0,0.00030395155772566795,0.0,0.005249927751719952
2020-04-19,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-04-20,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-04-21,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-04-22,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-04-23,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-04-24,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-04-25,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-04-26,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-04-27,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-04-28,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-04-29,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-04-30,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-05-01,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-05-02,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-05-03,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
