,West Virginia,forecast,interval_low,interval_high
2020-04-08,71.0,66.16160583496094,51.58306121826172,71.033447265625
2020-04-09,31.0,36.884552001953125,31.08315658569336,59.831085205078125
2020-04-10,60.0,59.87675857543945,59.74763488769531,60.04148483276367
2020-04-11,3.0,11.043647766113281,3.02875018119812,24.428829193115234
2020-04-12,16.0,16.030719757080078,15.953910827636719,16.12687873840332
2020-04-13,18.0,18.06941032409668,18.00335121154785,18.212783813476562
2020-04-14,29.0,29.012760162353516,28.992671966552734,29.030677795410156
2020-04-15,62.0,55.47821807861328,30.142684936523438,61.91043472290039
2020-04-16,26.0,34.133277893066406,26.152929306030273,48.06360626220703
2020-04-17,47.0,46.85652160644531,46.69917297363281,47.00106430053711
2020-04-18,10.0,10.146941184997559,10.065084457397461,10.275978088378906
2020-04-19,105.0,104.8746109008789,104.70992279052734,104.95384216308594
2020-04-20,12.0,10.7591552734375,5.89794921875,11.988896369934082
2020-04-21,6.0,7.3596367835998535,5.941194534301758,12.588908195495605
2020-04-22,31.0,43.334754943847656,31.021312713623047,58.11796951293945
2020-04-23,42.0,33.900794982910156,13.195609092712402,41.954856872558594
2020-04-24,29.0,21.595630645751953,14.002401351928711,29.009475708007812
2020-04-25,0.0,0.09757447242736816,0.0011876225471496582,0.2023543119430542
2020-04-26,45.0,40.29773712158203,21.76926040649414,44.982967376708984
2020-04-27,8.0,8.050162315368652,8.033086776733398,8.06883716583252
2020-04-28,32.0,31.930194854736328,31.898212432861328,31.953163146972656
2020-04-29,15.0,14.448626518249512,12.049144744873047,15.090752601623535
2020-04-30,15.0,15.012762069702148,14.98347282409668,15.043062210083008
2020-05-01,27.0,28.213403701782227,27.03093910217285,32.86290740966797
2020-05-02,33.0,32.89356994628906,32.84164047241211,32.95861053466797
2020-05-03,10.0,10.0691499710083,10.009880065917969,10.13039779663086
2020-05-04,29.0,26.29705238342285,21.754854202270508,28.990840911865234
2020-05-05,22.0,22.005542755126953,21.94708824157715,22.07857894897461
2020-05-06,-4.0,13.306463241577148,-3.908690929412842,39.70344924926758
2020-05-07,45.0,42.88820266723633,34.913028717041016,45.0277099609375
2020-05-08,36.0,32.35944366455078,25.507768630981445,35.95573425292969
2020-05-09,0.0,0.1312437653541565,0.060758501291275024,0.21494409441947937
2020-05-10,37.0,31.3613224029541,9.154119491577148,36.980560302734375
2020-05-11,6.0,8.614091873168945,5.956198692321777,13.614357948303223
2020-05-12,12.0,9.886808395385742,1.742154598236084,12.01547622680664
2020-05-13,20.0,21.80959701538086,19.466142654418945,29.18315315246582
2020-05-14,29.0,28.046178817749023,13.949102401733398,39.694427490234375
2020-05-15,20.0,24.044809341430664,20.10829734802246,39.56625747680664
2020-05-16,23.0,17.508407592773438,8.406147956848145,22.87590217590332
2020-05-17,22.0,26.73700523376465,22.048845291137695,36.608760833740234
2020-05-18,10.0,9.958979606628418,9.918900489807129,9.991514205932617
2020-05-19,0.0,0.0772009864449501,-0.011217653751373291,0.13613098859786987
2020-05-20,65.0,57.762306213378906,29.265913009643555,65.03337860107422
2020-05-21,26.0,44.85871887207031,26.03757667541504,97.47357940673828
2020-05-22,112.0,93.35992431640625,19.33517837524414,111.92279052734375
2020-05-23,0.0,26.099048614501953,0.04394754767417908,72.57535552978516
2020-05-24,54.0,46.32940673828125,15.663771629333496,54.0487060546875
2020-05-25,15.0,19.081939697265625,14.980316162109375,35.47355651855469
2020-05-26,0.0,7.865393161773682,0.055523842573165894,38.9726676940918
2020-05-27,125.0,107.66336822509766,38.79521179199219,124.91419219970703
2020-05-28,36.0,39.90580749511719,35.993350982666016,47.54931640625
2020-05-29,16.0,22.99592399597168,16.018306732177734,38.660667419433594
2020-05-30,38.0,35.03458023071289,23.416301727294922,37.972412109375
2020-05-31,21.0,21.006839752197266,20.999847412109375,21.02037811279297
2020-06-01,18.0,18.51602554321289,17.99007225036621,20.539657592773438
2020-06-02,28.0,21.45496368408203,14.919902801513672,27.98745346069336
2020-06-03,21.0,21.00356674194336,20.941673278808594,21.045799255371094
2020-06-04,25.0,24.96283531188965,24.868091583251953,25.023014068603516
2020-06-05,17.0,17.684642791748047,13.224660873413086,23.886943817138672
2020-06-06,17.0,16.970149993896484,16.87142562866211,17.03359603881836
2020-06-07,8.0,8.024518013000488,7.921462535858154,8.13007926940918
2020-06-08,17.0,16.79854393005371,15.780843734741211,17.10326385498047
2020-06-09,8.0,10.260445594787598,7.862802028656006,19.55706214904785
2020-06-10,25.0,25.019559860229492,24.940603256225586,25.18938446044922
2020-06-11,23.0,25.095378875732422,23.010074615478516,33.22352600097656
2020-06-12,32.0,32.04178237915039,31.987716674804688,32.0948600769043
2020-06-13,25.0,24.865657806396484,24.725543975830078,24.990671157836914
2020-06-14,16.0,19.326372146606445,16.0302791595459,28.442556381225586
2020-06-15,32.0,28.33331871032715,13.921465873718262,32.007713317871094
2020-06-16,19.0,22.67466163635254,19.020523071289062,31.09393310546875
2020-06-17,35.0,35.8177490234375,34.97781753540039,38.75247573852539
2020-06-18,42.0,39.609275817871094,30.598217010498047,41.93404769897461
2020-06-19,50.0,47.18256378173828,37.0819206237793,50.02213668823242
2020-06-20,32.0,32.102691650390625,31.986974716186523,32.25901412963867
2020-06-21,33.0,32.95890426635742,32.83133316040039,33.0081901550293
2020-06-22,19.0,30.524805068969727,19.025211334228516,48.43042755126953
2020-06-23,41.0,35.297019958496094,12.809038162231445,40.97294998168945
2020-06-24,38.0,38.10499954223633,38.081748962402344,38.13849639892578
2020-06-25,63.0,62.9166145324707,62.86709976196289,62.94964599609375
2020-06-26,36.0,56.70867919921875,36.01417541503906,63.14109420776367
2020-06-27,52.0,52.04053497314453,52.008975982666016,52.078773498535156
2020-06-28,50.0,48.740684509277344,43.76642990112305,49.994163513183594
2020-06-29,38.0,38.00653839111328,37.986671447753906,38.025943756103516
2020-06-30,35.0,35.013084411621094,34.99782180786133,35.039791107177734
2020-07-01,74.0,80.44827270507812,73.92186737060547,106.35176086425781
2020-07-02,74.0,74.0969467163086,74.0023193359375,74.32054901123047
2020-07-03,73.0,73.8929443359375,72.92237854003906,77.6349105834961
2020-07-04,79.0,79.03514099121094,79.00011444091797,79.06767272949219
2020-07-05,57.0,68.45423889160156,56.94894027709961,114.3482437133789
2020-07-06,180.0,179.97413635253906,179.9467010498047,180.0003662109375
2020-07-07,63.0,87.79991912841797,63.01902770996094,186.75326538085938
2020-07-08,202.0,160.8227996826172,79.2691879272461,201.93045043945312
2020-07-09,119.0,128.11036682128906,118.98120880126953,159.0326385498047
2020-07-10,157.0,157.0251922607422,156.97772216796875,157.07403564453125
2020-07-11,163.0,156.30116271972656,129.73634338378906,163.0015869140625
2020-07-12,98.0,107.7237319946289,98.00727844238281,139.85646057128906
2020-07-13,69.0,102.67839050292969,68.99829864501953,178.65509033203125
2020-07-14,94.0,93.99778747558594,93.9695816040039,94.0214614868164
2020-07-15,150.0,140.0736083984375,100.34483337402344,150.0324249267578
2020-07-16,100.0,109.88804626464844,100.01427459716797,125.12113952636719
2020-07-17,126.0,126.01220703125,125.99928283691406,126.03450775146484
2020-07-18,111.0,116.46638488769531,110.9731216430664,124.9048080444336
2020-07-19,,99.69306945800781,92.59256744384766,107.55045318603516
2020-07-20,,107.89300537109375,68.95932006835938,177.40126037597656
2020-07-21,,94.62906646728516,85.9379653930664,102.44024658203125
2020-07-22,,123.96263122558594,105.8485336303711,136.05213928222656
2020-07-23,,107.97493743896484,101.72307586669922,114.72358703613281
2020-07-24,,117.32608795166016,109.23722839355469,125.63571166992188
2020-07-25,,116.7962875366211,110.22186279296875,125.82221984863281
