,Grand Princess,forecast,interval_low,interval_high
2020-04-23,0.0,0.48538750410079956,0.0,4.506185531616211
2020-04-24,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-04-25,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-04-26,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-04-27,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-04-28,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-04-29,0.0,0.4515351355075836,0.0,7.446439266204834
2020-04-30,0.0,0.48538750410079956,0.0,4.506185531616211
2020-05-01,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-05-02,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-05-03,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-05-04,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-05-05,0.0,0.4496907591819763,0.0,2.1355316638946533
