,Kansas,forecast,interval_low,interval_high
2020-03-04,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-03-05,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-03-06,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-03-07,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-03-08,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-03-09,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-03-10,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-03-11,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-03-12,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-03-13,1.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-03-14,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-03-15,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-03-16,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-03-17,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-03-18,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-03-19,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-03-20,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-03-21,1.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-03-22,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-03-23,0.0,0.478691965341568,0.43859195709228516,0.541658341884613
2020-03-24,0.0,0.40332674980163574,0.25989842414855957,0.4905317425727844
2020-03-25,1.0,0.4714832007884979,0.4095592498779297,0.516942024230957
2020-03-26,0.0,0.5410206317901611,0.4197215437889099,0.6277098655700684
2020-03-27,1.0,0.5679080486297607,0.5314098596572876,0.6028828620910645
2020-03-28,0.0,0.6960484385490417,0.6704037189483643,0.7405466437339783
2020-03-29,3.0,0.6522687077522278,0.5977266430854797,0.7022979855537415
2020-03-30,1.0,0.537170946598053,0.49237656593322754,0.6012665033340454
2020-03-31,1.0,0.5035479664802551,0.399068146944046,0.5877283811569214
2020-04-01,1.0,0.573161780834198,0.48678433895111084,0.6611241698265076
2020-04-02,2.0,0.6365483403205872,0.5377457141876221,0.7026145458221436
2020-04-03,6.0,0.6917831897735596,0.6522477269172668,0.7634803056716919
2020-04-04,3.0,0.7822449803352356,0.7445215582847595,0.8339071869850159
2020-04-05,1.0,0.7922709584236145,0.7488031983375549,0.8468868732452393
2020-04-06,3.0,1.136918306350708,1.0477979183197021,1.2665261030197144
2020-04-07,4.0,1.1266958713531494,1.0325058698654175,1.2393112182617188
2020-04-08,5.0,1.1693941354751587,1.0811694860458374,1.3317296504974365
2020-04-09,8.0,1.2005897760391235,1.0891249179840088,1.298677921295166
2020-04-10,0.0,1.2452590465545654,1.1653002500534058,1.376312494277954
2020-04-11,13.0,1.292688250541687,1.2510201930999756,1.3322575092315674
2020-04-12,1.0,1.2911652326583862,1.2233637571334839,1.4041802883148193
2020-04-13,6.0,2.953420639038086,2.7228074073791504,3.2796101570129395
2020-04-14,7.0,3.0912139415740967,2.9735991954803467,3.244501829147339
2020-04-15,2.0,2.91961932182312,2.7367870807647705,3.267765522003174
2020-04-16,9.0,2.9365804195404053,2.782327890396118,3.0212442874908447
2020-04-17,2.0,2.9410955905914307,2.7148892879486084,3.221060276031494
2020-04-18,3.0,2.722172975540161,2.6718831062316895,2.7601609230041504
2020-04-19,8.0,2.887240171432495,2.7005348205566406,3.2048001289367676
2020-04-20,9.0,4.813899517059326,4.540924072265625,5.242437839508057
2020-04-21,7.0,4.789119243621826,4.480784893035889,4.995878219604492
2020-04-22,3.0,4.443953990936279,4.260756492614746,4.670475482940674
2020-04-23,1.0,4.483387470245361,4.193183898925781,4.65395975112915
2020-04-24,5.0,4.224330902099609,3.904391288757324,4.412461757659912
2020-04-25,2.0,3.9995810985565186,3.984750986099243,4.017852306365967
2020-04-26,1.0,3.9039924144744873,3.550112009048462,4.338670253753662
2020-04-27,5.0,5.201034069061279,4.948391437530518,5.629472732543945
2020-04-28,1.0,5.25840950012207,5.035049915313721,5.401967525482178
2020-04-29,7.0,4.917510509490967,4.686453819274902,5.201779842376709
2020-04-30,0.0,4.950043201446533,4.6998610496521,5.101881980895996
2020-05-01,6.0,4.75206184387207,4.4197998046875,5.019798278808594
2020-05-02,2.0,4.425671100616455,4.402637004852295,4.437472343444824
2020-05-03,2.0,4.420727252960205,4.080007076263428,4.85434103012085
2020-05-04,12.0,2.611694097518921,2.401442289352417,2.9026827812194824
2020-05-05,5.0,2.826274871826172,2.7107295989990234,2.978668212890625
2020-05-06,3.0,2.697171926498413,2.474855661392212,3.096559524536133
2020-05-07,1.0,2.7072274684906006,2.604825258255005,2.759371519088745
2020-05-08,3.0,2.7980964183807373,2.59075927734375,3.130713939666748
2020-05-09,6.0,2.5437240600585938,2.467888593673706,2.5822110176086426
2020-05-10,0.0,2.8028297424316406,2.650806427001953,3.092160224914551
2020-05-11,6.0,3.7996957302093506,3.591768741607666,4.136794567108154
2020-05-12,4.0,3.943859815597534,3.8295559883117676,4.075249671936035
2020-05-13,4.0,3.8245694637298584,3.5307397842407227,4.229659080505371
2020-05-14,1.0,3.7977592945098877,3.670766592025757,3.9384870529174805
2020-05-15,4.0,3.8115293979644775,3.574564218521118,4.1759233474731445
2020-05-16,2.0,3.5568830966949463,3.479504346847534,3.607150077819824
2020-05-17,0.0,3.653057336807251,3.4705052375793457,3.9790232181549072
2020-05-18,3.0,3.020559310913086,2.8103957176208496,3.3307924270629883
2020-05-19,1.0,3.1544361114501953,3.068646192550659,3.302262783050537
2020-05-20,3.0,3.037696123123169,2.8234312534332275,3.403621196746826
2020-05-21,2.0,3.0317375659942627,2.9003565311431885,3.1389737129211426
2020-05-22,1.0,3.0596923828125,2.8462889194488525,3.3695082664489746
2020-05-23,0.0,2.854396104812622,2.790656089782715,2.889159679412842
2020-05-24,0.0,2.9855620861053467,2.82430100440979,3.281501531600952
2020-05-25,2.0,1.8794676065444946,1.712068796157837,2.1068954467773438
2020-05-26,3.0,1.914772391319275,1.779528260231018,2.05670166015625
2020-05-27,3.0,1.8505266904830933,1.7164192199707031,2.0863468647003174
2020-05-28,1.0,1.8807028532028198,1.736738920211792,1.9774243831634521
2020-05-29,1.0,1.8855348825454712,1.7416833639144897,2.061100959777832
2020-05-30,0.0,1.8381742238998413,1.799309253692627,1.861977458000183
2020-05-31,0.0,1.8928532600402832,1.7617826461791992,2.104888677597046
2020-06-01,2.0,1.4001065492630005,1.2806612253189087,1.5595111846923828
2020-06-02,5.0,1.4991306066513062,1.4185504913330078,1.6128853559494019
2020-06-03,4.0,1.5043646097183228,1.3346208333969116,1.7720375061035156
2020-06-04,1.0,1.5299620628356934,1.4494423866271973,1.5719876289367676
2020-06-05,5.0,1.625799536705017,1.5185167789459229,1.836885929107666
2020-06-06,1.0,1.5587234497070312,1.4987192153930664,1.6076377630233765
2020-06-07,0.0,1.7156929969787598,1.6330381631851196,1.868143081665039
2020-06-08,3.0,1.5232343673706055,1.4065537452697754,1.6777114868164062
2020-06-09,1.0,1.715200424194336,1.543478012084961,1.8217036724090576
2020-06-10,3.0,1.7417672872543335,1.528871774673462,2.1002607345581055
2020-06-11,3.0,1.7467703819274902,1.7153050899505615,1.7695443630218506
2020-06-12,0.0,1.9172016382217407,1.7270047664642334,2.2156169414520264
2020-06-13,2.0,1.76911199092865,1.6825250387191772,1.843286156654358
2020-06-14,0.0,2.035337209701538,1.920455813407898,2.190206289291382
2020-06-15,1.0,1.8745406866073608,1.7046819925308228,2.104076385498047
2020-06-16,0.0,1.907010555267334,1.763306975364685,2.0496082305908203
2020-06-17,1.0,1.8365578651428223,1.700543999671936,2.0682756900787354
2020-06-18,4.0,1.869615912437439,1.7214592695236206,1.965263843536377
2020-06-19,2.0,1.8689178228378296,1.7245066165924072,2.0383141040802
2020-06-20,3.0,1.823176383972168,1.7863714694976807,1.8468387126922607
2020-06-21,1.0,1.8776617050170898,1.7423582077026367,2.0924859046936035
2020-06-22,1.0,1.1473184823989868,1.0310754776000977,1.3051488399505615
2020-06-23,2.0,1.084351658821106,0.8881138563156128,1.2093193531036377
2020-06-24,0.0,1.066305160522461,0.9800986051559448,1.1713461875915527
2020-06-25,2.0,1.1256484985351562,0.9627305865287781,1.2334938049316406
2020-06-26,3.0,1.0985876321792603,1.008062481880188,1.160050392150879
2020-06-27,3.0,1.1781114339828491,1.1619651317596436,1.191145658493042
2020-06-28,1.0,1.1348081827163696,1.0196101665496826,1.2753795385360718
2020-06-29,4.0,1.9434210062026978,1.7639734745025635,2.1932690143585205
2020-06-30,0.0,1.8377480506896973,1.5590952634811401,1.9920985698699951
2020-07-01,4.0,1.7407945394515991,1.6763302087783813,1.8599342107772827
2020-07-02,3.0,1.7857489585876465,1.5569372177124023,1.9459608793258667
2020-07-03,2.0,1.665587306022644,1.5168590545654297,1.7560019493103027
2020-07-04,1.0,1.733899474143982,1.7129453420639038,1.7493886947631836
2020-07-05,1.0,1.6052374839782715,1.416559100151062,1.8305190801620483
2020-07-06,1.0,2.2241408824920654,2.0329573154449463,2.4871232509613037
2020-07-07,4.0,2.279754400253296,2.1356000900268555,2.429908037185669
2020-07-08,0.0,2.1777336597442627,2.035111427307129,2.4412550926208496
2020-07-09,4.0,2.2038564682006836,2.0488998889923096,2.3062021732330322
2020-07-10,0.0,2.1971590518951416,2.0248594284057617,2.396941661834717
2020-07-11,2.0,2.1081597805023193,2.0683233737945557,2.138444423675537
2020-07-12,2.0,2.1754379272460938,2.022380828857422,2.423780679702759
2020-07-13,1.0,1.7360795736312866,1.5864366292953491,1.9494953155517578
2020-07-14,1.0,1.6957674026489258,1.5153377056121826,1.8369221687316895
2020-07-15,5.0,1.653586983680725,1.561664342880249,1.8268136978149414
2020-07-16,1.0,1.6847151517868042,1.5110472440719604,1.812923550605774
2020-07-17,1.0,1.6471503973007202,1.5188930034637451,1.7634272575378418
2020-07-18,2.0,1.6799001693725586,1.6614435911178589,1.6918781995773315
2020-07-19,1.0,1.6363712549209595,1.496022343635559,1.8292388916015625
2020-07-20,,1.850932002067566,1.6766599416732788,2.078690528869629
2020-07-21,,1.9606016874313354,1.8633761405944824,2.0991933345794678
2020-07-22,,1.8779512643814087,1.687862515449524,2.164740562438965
2020-07-23,,1.913651943206787,1.7958245277404785,1.9803088903427124
2020-07-24,,1.9633493423461914,1.8134489059448242,2.1793086528778076
2020-07-25,,1.8480582237243652,1.7966374158859253,1.8739244937896729
2020-07-26,,2.0156893730163574,1.89323091506958,2.238053560256958
