,Utah,forecast,interval_low,interval_high
2020-06-08,12322.0,10849.0625,10812.87109375,10875.2353515625
2020-06-09,12559.0,11161.40625,11122.6064453125,11210.462890625
2020-06-10,12864.0,11450.5263671875,11424.1357421875,11497.27734375
2020-06-11,13252.0,11755.6708984375,11725.3798828125,11795.5224609375
2020-06-12,13577.0,12076.5283203125,12043.54296875,12123.4609375
2020-06-13,13981.0,12409.8837890625,12365.013671875,12474.6435546875
2020-06-14,14313.0,12989.9423828125,12961.4775390625,13024.958984375
2020-06-15,14608.0,13306.70703125,13278.5,13322.6962890625
2020-06-16,14937.0,13693.1923828125,13657.34375,13739.9990234375
2020-06-17,15344.0,14032.1279296875,14002.7841796875,14075.201171875
2020-06-18,15839.0,14388.1591796875,14364.40234375,14421.900390625
2020-06-19,16425.0,14779.20703125,14752.6806640625,14819.6015625
2020-06-20,17068.0,15186.7373046875,15152.5537109375,15242.630859375
2020-06-21,17462.0,15671.7236328125,15665.1416015625,15684.8681640625
2020-06-22,17906.0,16068.7490234375,16060.79296875,16084.05859375
2020-06-23,18300.0,16459.71875,16439.908203125,16489.6640625
2020-06-24,18784.0,16863.666015625,16832.279296875,16888.546875
2020-06-25,19374.0,17293.474609375,17283.908203125,17305.091796875
2020-06-26,20050.0,17730.3046875,17717.828125,17747.125
2020-06-27,20628.0,18238.802734375,18216.2578125,18267.931640625
2020-06-28,21100.0,18977.130859375,18968.103515625,18989.462890625
2020-06-29,21664.0,19411.708984375,19398.1171875,19428.216796875
2020-06-30,22217.0,19909.9296875,19885.021484375,19946.033203125
2020-07-01,22716.0,20373.259765625,20337.341796875,20396.115234375
2020-07-02,23270.0,20859.2890625,20847.2734375,20867.02734375
2020-07-03,23866.0,21389.681640625,21376.1796875,21400.31640625
2020-07-04,24542.0,21968.580078125,21942.376953125,21992.7734375
2020-07-05,24952.0,22898.744140625,22886.990234375,22917.90625
2020-07-06,25469.0,23429.03125,23415.357421875,23446.720703125
2020-07-07,26033.0,23996.525390625,23960.8125,24043.32421875
2020-07-08,26755.0,24530.880859375,24490.263671875,24553.2265625
2020-07-09,27356.0,25095.4296875,25080.4296875,25107.9921875
2020-07-10,28223.0,25704.59375,25690.35546875,25719.689453125
2020-07-11,28855.0,26353.4296875,26323.591796875,26375.1640625
2020-07-12,29484.0,26807.912109375,26770.12890625,26860.630859375
2020-07-13,30030.0,27479.123046875,27448.92578125,27496.8125
2020-07-14,30478.0,28098.236328125,28030.19921875,28176.634765625
2020-07-15,30891.0,28686.564453125,28641.140625,28712.712890625
2020-07-16,31845.0,29337.408203125,29318.462890625,29350.212890625
2020-07-17,32572.0,29996.646484375,29981.201171875,30013.837890625
2020-07-18,33332.0,30678.427734375,30644.931640625,30720.912109375
2020-07-19,,30739.591796875,30618.541015625,30881.22265625
2020-07-20,,31516.232421875,31408.552734375,31609.599609375
2020-07-21,,32290.263671875,32139.689453125,32452.298828125
2020-07-22,,32891.31640625,32839.0234375,32963.546875
2020-07-23,,33608.921875,33568.0,33675.8125
2020-07-24,,34344.26171875,34324.73828125,34378.875
2020-07-25,,34970.19140625,34893.7109375,35086.046875
