,Colorado,forecast,interval_low,interval_high
2020-07-05,199.0,412.3496765048394,,
2020-07-06,192.0,443.2155807143679,,
2020-07-07,407.0,478.84932106341034,,
2020-07-08,452.0,399.2232242668041,,
2020-07-09,408.0,414.70386755125736,,
2020-07-10,666.0,440.17170636651025,,
2020-07-11,400.0,262.6037016062244,,
2020-07-12,322.0,425.8801234065634,,
2020-07-13,323.0,487.594353316593,,
2020-07-14,450.0,524.4541847056362,,
2020-07-15,469.0,460.48425021898174,,
2020-07-16,571.0,484.73547897647444,,
2020-07-17,618.0,405.97651190629347,,
2020-07-18,444.0,339.41613555625935,,
2020-07-19,,415.54871780823856,266.33965567399457,564.7577799424826
2020-07-20,,413.14761065988404,248.92880041090808,577.3664209088599
2020-07-21,,456.4801759037308,280.9424783267647,632.017873480697
2020-07-22,,523.1223424123579,335.9722305426237,710.272454282092
2020-07-23,,577.6735290855343,380.2134359955468,775.1336221755217
2020-07-24,,564.3918517225986,360.5117817159898,768.2719217292074
2020-07-25,,499.3410058047813,286.5530973174173,712.1289142921453
