,Rhode Island,forecast,interval_low,interval_high
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,1.0,15.061058400552854,15.061058400552854,15.061058400552854
2020-03-17,2.0,2.868146999943872,2.868146999943872,2.868146999943872
2020-03-18,10.0,9.126442242086958,9.126442242086958,9.126442242086958
2020-03-19,11.0,0.0,0.0,0.0
2020-03-20,10.0,5.385973798372441,5.385973798372441,5.385973798372441
2020-03-21,12.0,12.61517058301309,12.61517058301309,12.61517058301309
2020-03-22,17.0,9.136270070243032,9.136270070243032,9.136270070243032
2020-03-23,23.0,10.546962532470527,10.546962532470527,10.546962532470527
2020-03-24,18.0,3.1063225419631433,3.1063225419631433,3.1063225419631433
2020-03-25,8.0,13.943857370101824,13.943857370101824,13.943857370101824
2020-03-26,33.0,55.57906434809378,55.57906434809378,55.57906434809378
2020-03-27,38.0,1.4063767911438987,1.4063767911438987,1.4063767911438987
2020-03-28,36.0,13.181471404445784,13.181471404445784,13.181471404445784
2020-03-29,55.0,58.41967209674567,58.41967209674567,58.41967209674567
2020-03-30,114.0,76.1675967595427,76.1675967595427,76.1675967595427
2020-03-31,80.0,0.0,0.0,0.0
2020-04-01,78.0,86.5709991163184,86.5709991163184,86.5709991163184
2020-04-02,79.0,99.87111046506121,99.87111046506121,99.87111046506121
2020-04-03,66.0,59.19234246037505,59.19234246037505,59.19234246037505
2020-04-04,95.0,139.05187776255718,139.05187776255718,139.05187776255718
2020-04-05,116.0,100.26860106677161,100.26860106677161,100.26860106677161
2020-04-06,160.0,139.20410907783003,139.20410907783003,139.20410907783003
2020-04-07,147.0,65.4346586784009,65.4346586784009,65.4346586784009
2020-04-08,221.0,206.98474517096255,206.98474517096255,206.98474517096255
2020-04-09,277.0,140.92470777150996,140.92470777150996,140.92470777150996
2020-04-10,0.0,0.0,0.0,0.0
2020-04-11,622.0,1091.3525154115714,1091.3525154115714,1091.3525154115714
2020-04-12,316.0,0.0,0.0,0.0
2020-04-13,0.0,116.81407954111192,116.81407954111192,116.81407954111192
2020-04-14,586.0,1426.0288224693359,1426.0288224693359,1426.0288224693359
2020-04-15,0.0,0.0,0.0,0.0
2020-04-16,278.0,1071.2710668466812,1071.2710668466812,1071.2710668466812
2020-04-17,648.0,645.7653066060167,645.7653066060167,645.7653066060167
2020-04-18,314.0,0.0,0.0,0.0
2020-04-19,215.0,671.2299602494099,671.2299602494099,671.2299602494099
2020-04-20,384.0,651.0710116174591,651.0710116174591,651.0710116174591
2020-04-21,410.0,225.0088665110601,225.0088665110601,225.0088665110601
2020-04-22,341.0,196.08691780281154,196.08691780281154,196.08691780281154
2020-04-23,415.0,624.9241737868099,624.9241737868099,624.9241737868099
2020-04-24,443.0,473.4775019028829,473.4775019028829,473.4775019028829
2020-04-25,430.0,314.1041782753896,314.1041782753896,314.1041782753896
2020-04-26,310.0,302.66469656934805,302.66469656934805,302.66469656934805
2020-04-27,269.0,527.5657617148701,527.5657617148701,527.5657617148701
2020-04-28,219.0,435.7327124580057,435.7327124580057,435.7327124580057
2020-04-29,320.0,507.60955347336665,507.60955347336665,507.60955347336665
2020-04-30,374.0,347.31106798083624,347.31106798083624,347.31106798083624
2020-05-01,341.0,251.47574558604202,251.47574558604202,251.47574558604202
2020-05-02,327.0,370.47669683594444,370.47669683594444,370.47669683594444
2020-05-03,188.0,162.44901881488647,162.44901881488647,162.44901881488647
2020-05-04,175.0,376.51329442071517,376.51329442071517,376.51329442071517
2020-05-05,281.0,390.10209936710766,390.10209936710766,390.10209936710766
2020-05-06,272.0,137.49968420706145,137.49968420706145,137.49968420706145
2020-05-07,325.0,337.67998266744735,337.67998266744735,337.67998266744735
2020-05-08,249.0,153.52571288945236,153.52571288945236,153.52571288945236
2020-05-09,210.0,247.12335764306627,247.12335764306627,247.12335764306627
2020-05-10,285.0,332.0944535649048,332.0944535649048,332.0944535649048
2020-05-11,176.0,13.49662254009408,13.49662254009408,13.49662254009408
2020-05-12,164.0,334.3882152322799,334.3882152322799,334.3882152322799
2020-05-13,221.0,338.49971686122876,338.49971686122876,338.49971686122876
2020-05-14,181.0,96.60277729263416,96.60277729263416,96.60277729263416
2020-05-15,203.0,246.12885033356122,246.12885033356122,246.12885033356122
2020-05-16,215.0,179.27887813655548,179.27887813655548,179.27887813655548
2020-05-17,240.0,179.43694915073638,179.43694915073638,179.43694915073638
2020-05-18,121.0,19.914217105438226,19.914217105438226,19.914217105438226
2020-05-19,156.0,304.0134747602989,304.0134747602989,304.0134747602989
2020-05-20,405.0,411.5607970002035,411.5607970002035,411.5607970002035
2020-05-21,215.0,0.0,0.0,0.0
2020-05-22,165.0,328.14931504865046,328.14931504865046,328.14931504865046
2020-05-23,216.0,397.8499965703819,397.8499965703819,397.8499965703819
2020-05-24,113.0,0.0,0.0,0.0
2020-05-25,0.0,169.55221531929098,169.55221531929098,169.55221531929098
2020-05-26,145.0,466.12987703297716,466.12987703297716,466.12987703297716
2020-05-27,143.0,59.1736131726545,59.1736131726545,59.1736131726545
2020-05-28,141.0,74.21660033370789,74.21660033370789,74.21660033370789
2020-05-29,141.0,138.6882090999516,138.6882090999516,138.6882090999516
2020-05-30,184.0,120.23449557356287,120.23449557356287,120.23449557356287
2020-05-31,109.0,0.0,0.0,0.0
2020-06-01,63.0,80.0632380683893,80.0632380683893,80.0632380683893
2020-06-02,121.0,244.38572658749354,244.38572658749354,244.38572658749354
2020-06-03,107.0,26.00121884214751,26.00121884214751,26.00121884214751
2020-06-04,106.0,109.41813248860834,109.41813248860834,109.41813248860834
2020-06-05,116.0,134.58523392526996,134.58523392526996,134.58523392526996
2020-06-06,0.0,0.0,0.0,0.0
2020-06-07,0.0,175.77699141040125,175.77699141040125,175.77699141040125
2020-06-08,201.0,260.3645965363128,260.3645965363128,260.3645965363128
2020-06-09,49.0,0.0,0.0,0.0
2020-06-10,65.0,206.62603855384245,206.62603855384245,206.62603855384245
2020-06-11,106.0,151.83875621024598,151.83875621024598,151.83875621024598
2020-06-12,85.0,0.0,0.0,0.0
2020-06-13,0.0,0.0,0.0,0.0
2020-06-14,0.0,138.75799151381142,138.75799151381142,138.75799151381142
2020-06-15,146.0,242.3336428048774,242.3336428048774,242.3336428048774
2020-06-16,71.0,0.0,0.0,0.0
2020-06-17,49.0,87.35919566132904,87.35919566132904,87.35919566132904
2020-06-18,56.0,133.58364776539648,133.58364776539648,133.58364776539648
2020-06-19,68.0,15.912918328053806,15.912918328053806,15.912918328053806
2020-06-20,0.0,0.0,0.0,0.0
2020-06-21,0.0,105.24711277334299,105.24711277334299,105.24711277334299
2020-06-22,122.0,205.96645703728004,205.96645703728004,205.96645703728004
2020-06-23,74.0,0.0,0.0,0.0
2020-06-24,73.0,70.70907262816979,70.70907262816979,70.70907262816979
2020-06-25,34.0,43.08368315732173,43.08368315732173,43.08368315732173
2020-06-26,21.0,44.989676198355994,44.989676198355994,44.989676198355994
2020-06-27,0.0,32.2197479551995,32.2197479551995,32.2197479551995
2020-06-28,0.0,47.66737857560088,47.66737857560088,47.66737857560088
2020-06-29,103.0,170.45475957779885,170.45475957779885,170.45475957779885
2020-06-30,49.0,0.0,0.0,0.0
2020-07-01,40.0,61.72736487107336,61.72736487107336,61.72736487107336
2020-07-02,88.0,109.08504789343132,109.08504789343132,109.08504789343132
2020-07-03,50.0,0.0,0.0,0.0
2020-07-04,0.0,18.126055019144815,18.126055019144815,18.126055019144815
2020-07-05,0.0,109.07657310312817,109.07657310312817,109.07657310312817
2020-07-06,0.0,58.27246329251207,58.27246329251207,58.27246329251207
2020-07-07,163.0,186.85391054546946,186.85391054546946,186.85391054546946
2020-07-08,50.0,0.0,0.0,0.0
2020-07-09,39.0,128.19698387192437,128.19698387192437,128.19698387192437
2020-07-10,69.0,136.695502456917,136.695502456917,136.695502456917
2020-07-11,0.0,0.0,0.0,0.0
2020-07-12,0.0,116.33487536160476,116.33487536160476,116.33487536160476
2020-07-13,175.0,239.27830152443863,239.27830152443863,239.27830152443863
2020-07-14,101.0,0.0,0.0,0.0
2020-07-15,52.0,63.06466933687612,63.06466933687612,63.06466933687612
2020-07-16,71.0,182.6008075788177,182.6008075788177,182.6008075788177
2020-07-17,82.0,35.13254159028908,35.13254159028908,35.13254159028908
2020-07-18,0.0,0.0,0.0,0.0
2020-07-19,0.0,161.38819653741345,161.38819653741345,161.38819653741345
2020-07-20,,123.25712804234783,-9.162389050418142,255.6766451351138
2020-07-21,,48.67292023603741,-85.12965130880258,182.4754917808774
2020-07-22,,36.17082003799951,-97.64482587831375,169.98646595431276
2020-07-23,,91.24043820673656,-64.38960857382678,246.8704849872999
2020-07-24,,21.66212448462828,-133.97013155590656,177.2943805251631
2020-07-25,,25.023921020889986,-136.29897684487747,186.34681888665745
2020-07-26,,64.51794846635045,-118.19870123382788,247.23459816652877
