,Minnesota,forecast,interval_low,interval_high
2020-07-15,43742.0,45098.39144444756,,
2020-07-16,44347.0,45068.447301279026,,
2020-07-17,45013.0,45059.65838803273,,
2020-07-18,45470.0,44974.747367743126,,
2020-07-19,,45940.11451429731,45763.3045970321,46116.92443156252
2020-07-20,,46436.414140053166,46104.9113792918,46767.91690081453
2020-07-21,,46973.84652942266,46489.2753940863,47458.41766475903
2020-07-22,,47551.31880692446,46920.812203293426,48181.82541055549
2020-07-23,,48111.561047535266,47342.38142454635,48880.74067052418
2020-07-24,,48648.71484293879,47726.23237137222,49571.197314505356
2020-07-25,,49179.188460072175,48081.980664007,50276.39625613735
