,Alabama,forecast,interval_low,interval_high
2020-07-07,907.0,1159.71240234375,1130.072265625,1182.2802734375
2020-07-08,1177.0,1239.4483642578125,1208.816162109375,1284.45703125
2020-07-09,2212.0,1281.4989013671875,1271.2691650390625,1293.4923095703125
2020-07-10,1334.0,1291.55126953125,1257.8634033203125,1309.4468994140625
2020-07-11,1439.0,1384.7884521484375,1379.77001953125,1393.927734375
2020-07-12,1640.0,1288.5435791015625,1249.0247802734375,1317.52734375
2020-07-13,1958.0,1341.14404296875,1244.9459228515625,1413.369140625
2020-07-14,1710.0,1318.1265869140625,1234.154052734375,1393.629638671875
2020-07-15,1812.0,1489.0120849609375,1427.49072265625,1574.472412109375
2020-07-16,2021.0,1482.0726318359375,1467.2999267578125,1508.70703125
2020-07-17,2003.0,1515.2431640625,1462.82275390625,1546.4761962890625
2020-07-18,2143.0,1703.5479736328125,1696.751708984375,1716.2001953125
2020-07-19,,1904.4407958984375,1801.992431640625,1983.96484375
2020-07-20,,2153.592041015625,2003.04541015625,2254.955078125
2020-07-21,,2172.333740234375,2079.910888671875,2227.779052734375
2020-07-22,,2523.112060546875,2468.95556640625,2596.13427734375
2020-07-23,,2542.34765625,2523.1181640625,2569.093505859375
2020-07-24,,2556.751953125,2494.651123046875,2613.93115234375
2020-07-25,,2745.16796875,2697.3037109375,2790.0
