,Louisiana,forecast,interval_low,interval_high
2020-04-01,1187.0,458.9521789550781,376.6090087890625,588.1171264648438
2020-04-02,2725.0,513.5018833705357,425.4841003417969,709.62548828125
2020-04-03,1148.0,611.9208112444196,464.5330810546875,1050.67626953125
2020-04-04,2199.0,713.2765459333148,501.4862365722656,1185.7874755859375
2020-04-05,514.0,866.2685634068081,523.2652587890625,1436.8516845703125
2020-04-06,1857.0,1002.1433018275669,541.04541015625,1443.4132080078125
2020-04-07,1417.0,1182.9430890764509,665.271240234375,1583.0079345703125
2020-04-08,746.0,1317.7771780831474,776.8497924804688,1635.33935546875
2020-04-09,1253.0,1440.4803815569196,1104.134765625,1707.1015625
2020-04-10,970.0,1483.676478794643,1225.53125,1724.1234130859375
2020-04-11,761.0,1494.3905378069196,1259.73291015625,1667.47802734375
2020-04-12,581.0,1442.0985456194196,1096.412841796875,1666.779541015625
2020-04-13,421.0,1388.2707693917412,1050.436279296875,1677.63037109375
2020-04-14,502.0,1293.378138950893,868.1851806640625,1668.658203125
2020-04-15,433.0,1170.7352730887276,749.5735473632812,1562.8785400390625
2020-04-16,581.0,1054.0414079938616,684.7464599609375,1386.172119140625
2020-04-17,586.0,948.5732857840402,609.6609497070312,1337.8616943359375
2020-04-18,462.0,850.1204049246652,574.312744140625,1162.741943359375
2020-04-19,348.0,769.605730329241,547.3250122070312,1128.8076171875
2020-04-20,595.0,690.3444126674107,519.8846435546875,943.099853515625
2020-04-21,331.0,644.6089739118304,534.1732788085938,826.2841186523438
2020-04-22,404.0,609.3717389787946,512.7736206054688,767.3768920898438
2020-04-23,481.0,584.6593148367746,501.1070861816406,691.5350952148438
2020-04-24,401.0,567.4860273088727,489.8887023925781,653.795166015625
2020-04-25,372.0,552.6387765066964,471.7637634277344,624.8816528320312
2020-04-26,261.0,539.427485874721,460.5962829589844,604.1223754882812
2020-04-27,295.0,528.6218959263393,441.27996826171875,616.67724609375
2020-04-28,218.0,511.73575701032365,406.8254699707031,593.00390625
2020-04-29,374.0,493.5853271484375,383.7991638183594,583.763427734375
2020-04-30,341.0,476.3358241489955,376.78375244140625,572.8971557617188
2020-05-01,710.0,457.46966552734375,364.7187805175781,554.2002563476562
2020-05-02,429.0,449.860595703125,370.2640380859375,543.4970703125
2020-05-03,200.0,442.4203447614397,395.4450378417969,526.5062866210938
2020-05-04,333.0,441.47477068219865,410.1061706542969,493.6089782714844
2020-05-05,323.0,446.37852696010043,412.1233215332031,473.4909973144531
