,Northern Mariana Islands,forecast,interval_low,interval_high
2020-04-11,0.0,1.4158616065979004,1.161121129989624,1.5811177492141724
2020-04-12,0.0,0.3555562496185303,0.13975203037261963,0.4711535573005676
2020-04-13,0.0,0.39880767464637756,0.2984333634376526,0.5220508575439453
2020-04-14,0.0,0.24977795779705048,0.12537992000579834,0.355409175157547
2020-04-15,2.0,0.0,0.0,0.06398050487041473
2020-04-16,0.0,0.7470478415489197,0.5951829552650452,0.8410360217094421
2020-04-17,0.0,0.02230995148420334,0.0,0.11698781698942184
2020-04-18,1.0,0.7537618279457092,0.6166016459465027,0.8996735215187073
2020-04-19,0.0,0.3347199261188507,0.2599935233592987,0.47738924622535706
2020-04-20,0.0,0.3849535286426544,0.31066977977752686,0.42794468998908997
2020-04-21,0.0,0.4537684917449951,0.30601316690444946,0.6565269827842712
