,Oregon,forecast,interval_low,interval_high
2020-04-26,2311.0,1964.4339599609375,1942.9488525390625,1997.3082275390625
2020-04-27,2354.0,2018.267578125,1996.2135009765625,2054.598876953125
2020-04-28,2385.0,2063.712646484375,2035.8577880859375,2100.355712890625
2020-04-29,2446.0,2111.864013671875,2083.397705078125,2149.65625
2020-04-30,2510.0,2177.617919921875,2145.861083984375,2218.0263671875
2020-05-01,2579.0,2209.010009765625,2171.789794921875,2258.403564453125
2020-05-02,2635.0,2261.741943359375,2223.670654296875,2310.561279296875
2020-05-03,2680.0,2392.153076171875,2371.259033203125,2425.285888671875
2020-05-04,2759.0,2453.887451171875,2433.229248046875,2490.570556640625
2020-05-05,2839.0,2508.4169921875,2480.599853515625,2546.332275390625
2020-05-06,2916.0,2566.093017578125,2537.712646484375,2605.13037109375
2020-05-07,2989.0,2641.465576171875,2610.09228515625,2683.503173828125
2020-05-08,3068.0,2684.913330078125,2646.439453125,2737.76611328125
2020-05-09,3160.0,2743.919189453125,2705.240234375,2795.634521484375
2020-05-10,3228.0,2823.985107421875,2803.845947265625,2857.27783203125
2020-05-11,3286.0,2894.503662109375,2874.770751953125,2931.970947265625
2020-05-12,3358.0,2957.507568359375,2929.58544921875,2996.905517578125
2020-05-13,3416.0,3024.6650390625,2996.082275390625,3065.271240234375
2020-05-14,3479.0,3109.790771484375,3078.03564453125,3154.20556640625
2020-05-15,3541.0,3162.4208984375,3122.376220703125,3219.067626953125
2020-05-16,3612.0,3233.964599609375,3194.163818359375,3289.019287109375
2020-05-17,3623.0,3386.1455078125,3367.0,3419.672607421875
2020-05-18,3687.0,3469.1416015625,3449.358154296875,3508.025634765625
2020-05-19,3726.0,3544.907958984375,3516.574462890625,3586.525146484375
2020-05-20,3801.0,3624.529296875,3595.244873046875,3667.56982421875
2020-05-21,3817.0,3722.772216796875,3689.678955078125,3770.962646484375
2020-05-22,3864.0,3789.989013671875,3747.052978515625,3852.393310546875
2020-05-23,3888.0,3877.192138671875,3835.157470703125,3937.152099609375
2020-05-24,3927.0,3890.541259765625,3875.4140625,3918.746826171875
2020-05-25,3949.0,3980.003173828125,3959.053466796875,4013.528076171875
2020-05-26,3967.0,4072.391357421875,4049.54345703125,4109.63623046875
2020-05-27,4038.0,4166.513671875,4143.02783203125,4204.669921875
