,Northern Mariana Islands,forecast,interval_low,interval_high
2020-02-27,0.0,0.0003045499324798584,-0.0018732547760009766,0.004891872406005859
2020-02-28,0.0,-0.00460970401763916,-0.012019991874694824,0.0012432336807250977
2020-02-29,0.0,-0.0010904729133471847,-0.004232943058013916,0.0012089014053344727
2020-03-01,0.0,0.19360223412513733,-0.0008304715156555176,0.9676733613014221
2020-03-02,0.0,-5.346536454453599e-06,-0.00021564960479736328,0.00015538930892944336
2020-03-03,0.0,7.315874245250598e-05,-0.00017124414443969727,0.0002887845039367676
2020-03-04,0.0,0.22898569703102112,0.00033843517303466797,1.1382877826690674
2020-03-05,0.0,0.001384562230668962,-0.003487229347229004,0.010535240173339844
2020-03-06,0.0,0.0008454382186755538,-0.00038886070251464844,0.00283929705619812
2020-03-07,0.0,-0.0025185109116137028,-0.04749405384063721,0.05806708335876465
2020-03-08,0.0,0.00717428931966424,-0.0006086230278015137,0.03229507803916931
2020-03-09,0.0,0.21196135878562927,-0.003388702869415283,1.0607106685638428
2020-03-10,0.0,0.0005522489664144814,-0.0005322098731994629,0.0036204159259796143
2020-03-11,0.0,0.010970723815262318,-0.004223823547363281,0.059120506048202515
2020-03-12,0.0,-0.0025572299491614103,-0.005165576934814453,-0.00018721818923950195
2020-03-13,0.0,0.00045909284381195903,-0.00213468074798584,0.002523362636566162
2020-03-14,0.0,-0.001715159392915666,-0.014796018600463867,0.0067192018032073975
2020-03-15,0.0,-0.0036291598808020353,-0.017932415008544922,0.0008735060691833496
2020-03-16,0.0,0.00042744874372147024,-0.0008141398429870605,0.001537919044494629
2020-03-17,0.0,-0.001953983213752508,-0.005196630954742432,0.0012359619140625
2020-03-18,0.0,0.002747946884483099,0.00011739134788513184,0.0066506266593933105
2020-03-19,0.0,0.007330668158829212,-0.002825796604156494,0.037620335817337036
2020-03-20,0.0,-0.0019684075377881527,-0.004170060157775879,0.0007491111755371094
2020-03-21,0.0,0.0003332257329020649,-0.00173872709274292,0.001992255449295044
2020-03-22,0.0,-0.01253536343574524,-0.06285977363586426,0.0005107223987579346
2020-03-23,0.0,-0.0019052863353863358,-0.009151697158813477,0.00029730796813964844
2020-03-24,0.0,0.0011183858150616288,-0.0005218982696533203,0.004257023334503174
2020-03-25,0.0,-0.000183856493094936,-0.001325368881225586,0.0005678236484527588
2020-03-26,0.0,-0.0009229481220245361,-0.004813969135284424,0.0011349320411682129
2020-03-27,0.0,-0.0025761425495147705,-0.0141029953956604,0.001744687557220459
2020-03-28,0.0,-0.0005684614297933877,-0.0034690499305725098,0.001291722059249878
2020-03-29,0.0,0.0006436705589294434,-0.0011922121047973633,0.003806591033935547
2020-03-30,0.0,0.000564873218536377,0.00035062432289123535,0.0008969306945800781
2020-03-31,2.0,1.5991607904434204,0.00018972158432006836,1.9993155002593994
2020-04-01,4.0,3.3386569023132324,0.7003463506698608,3.9987082481384277
2020-04-02,0.0,0.9682803153991699,0.001054137945175171,2.554227828979492
2020-04-03,2.0,1.601039171218872,0.01357489824295044,2.0012030601501465
2020-04-04,0.0,0.1137210950255394,-0.0011284947395324707,0.5679353475570679
2020-04-05,0.0,-1.4925002687959932e-05,-0.0011383295059204102,0.0012202262878417969
2020-04-06,0.0,0.009634405374526978,0.00030168890953063965,0.03242257237434387
2020-04-07,0.0,0.0019274831283837557,-0.0005977153778076172,0.0038232505321502686
2020-04-08,3.0,2.9952914714813232,2.9930920600891113,2.9973270893096924
