,Tennessee,forecast,interval_low,interval_high
2020-05-31,22566.0,21228.052734375,20968.611328125,21535.90625
2020-06-01,22566.0,21626.552734375,21407.609375,21875.265625
2020-06-02,24342.0,22192.580078125,21978.58203125,22460.2421875
2020-06-03,24833.0,22686.59375,22435.3671875,23016.240234375
2020-06-04,25190.0,23187.431640625,22878.76953125,23508.78125
2020-06-05,25664.0,23655.291015625,23401.59375,23983.3359375
2020-06-06,26177.0,24206.068359375,23973.10546875,24526.408203125
2020-06-07,26493.0,24235.083984375,23943.853515625,24625.404296875
2020-06-08,27005.0,24771.1171875,24524.97265625,25107.357421875
2020-06-09,27575.0,25385.326171875,25142.578125,25744.861328125
2020-06-10,27930.0,25952.28125,25665.265625,26385.99609375
2020-06-11,28340.0,26594.03125,26245.689453125,27010.06640625
2020-06-12,29118.0,27090.9375,26805.404296875,27511.35546875
2020-06-13,29549.0,27731.822265625,27467.765625,28143.833984375
2020-06-14,30343.0,28421.5625,28082.884765625,28913.060546875
2020-06-15,31004.0,29142.140625,28854.87109375,29583.42578125
2020-06-16,31751.0,29882.087890625,29594.966796875,30347.935546875
2020-06-17,32114.0,30538.240234375,30197.09375,31098.4296875
2020-06-18,32770.0,31344.537109375,30937.994140625,31874.2109375
2020-06-19,34017.0,31939.265625,31605.08984375,32470.634765625
2020-06-20,34446.0,32691.244140625,32379.39453125,33212.69921875
2020-06-21,35102.0,32449.681640625,32062.595703125,33012.37109375
2020-06-22,35553.0,33326.83203125,32998.046875,33844.703125
2020-06-23,36303.0,34161.28515625,33827.85546875,34701.80859375
2020-06-24,37235.0,34996.62890625,34600.12109375,35645.98828125
2020-06-25,38034.0,35904.20703125,35439.328125,36516.48828125
2020-06-26,39444.0,36660.16015625,36275.078125,37270.0234375
2020-06-27,40172.0,37554.22265625,37191.55859375,38153.11328125
2020-06-28,40172.0,37725.828125,37273.15625,38414.94140625
2020-06-29,42297.0,38878.19140625,38493.00390625,39522.265625
2020-06-30,43509.0,39901.12890625,39504.453125,40581.3828125
2020-07-01,45315.0,40872.85546875,40401.29296875,41678.63671875
2020-07-02,46890.0,42056.5625,41513.48828125,42811.6171875
2020-07-03,48712.0,42967.98046875,42513.63671875,43725.0859375
2020-07-04,50140.0,44052.54296875,43619.7265625,44800.37109375
2020-07-05,51316.0,44205.81640625,43669.84375,44975.51171875
2020-07-06,52039.0,45611.69140625,45157.546875,46330.6953125
2020-07-07,53514.0,46842.03515625,46363.828125,47614.18359375
2020-07-08,55986.0,48173.78125,47608.23046875,49072.80078125
2020-07-09,57591.0,49589.01171875,48949.125,50438.94140625
2020-07-10,59546.0,50837.609375,50293.2734375,51693.140625
2020-07-11,61006.0,52245.09375,51718.80859375,53095.203125
2020-07-12,61960.0,54891.515625,54218.20703125,55687.171875
2020-07-13,65274.0,56676.78515625,56113.53515625,57352.5
2020-07-14,66788.0,58493.51953125,57883.15625,59265.3125
2020-07-15,69061.0,60346.51953125,59630.765625,61236.0859375
2020-07-16,71540.0,62302.10546875,61508.4609375,63151.1796875
2020-07-17,73819.0,64215.87890625,63524.64453125,65097.9140625
2020-07-18,76336.0,66249.1796875,65563.1640625,67140.5390625
2020-07-19,,67022.8515625,66194.4296875,67600.21875
2020-07-20,,68930.1796875,68255.484375,69314.421875
2020-07-21,,71569.7890625,70822.765625,71998.578125
2020-07-22,,74307.125,73436.71875,74803.5625
2020-07-23,,76971.2109375,76017.0,77491.21875
2020-07-24,,79866.6640625,79020.5625,80434.6796875
2020-07-25,,82954.953125,82084.5625,83563.6953125
