,Vermont,forecast,interval_low,interval_high
2020-05-13,2.0,1.7177248001098633,0.342018723487854,2.3044333457946777
2020-05-14,3.0,3.0026779174804688,2.9739677906036377,3.043231248855591
2020-05-15,1.0,1.0037105083465576,0.9522019624710083,1.0525214672088623
2020-05-16,1.0,1.0221718549728394,1.0028375387191772,1.0518083572387695
2020-05-17,6.0,5.052379131317139,1.3578095436096191,5.994205951690674
2020-05-18,0.0,0.013071900233626366,-0.00393068790435791,0.04169893264770508
2020-05-19,4.0,1.9215996265411377,-0.13314604759216309,3.9680497646331787
2020-05-20,0.0,0.7690531015396118,0.004397273063659668,3.761465549468994
2020-05-21,6.0,5.269417762756348,2.458920955657959,5.987746238708496
2020-05-22,2.0,2.2519147396087646,1.9859453439712524,3.2226927280426025
2020-05-23,2.0,1.9943119287490845,1.9610683917999268,2.0159993171691895
2020-05-24,2.0,2.973098039627075,2.010669708251953,5.846249580383301
2020-05-25,6.0,5.7714152336120605,4.906684398651123,5.99993371963501
2020-05-26,5.0,5.013436317443848,4.9989190101623535,5.026364326477051
2020-05-27,4.0,4.466333389282227,3.961822032928467,6.396629333496094
2020-05-28,3.0,2.9909114837646484,2.914311408996582,3.0164973735809326
2020-05-29,1.0,1.1633665561676025,0.9912282824516296,1.8078631162643433
2020-05-30,2.0,2.1966636180877686,1.9828391075134277,2.6854019165039062
2020-05-31,4.0,3.9974446296691895,3.988632917404175,4.0045270919799805
2020-06-01,2.0,2.0073883533477783,2.00137996673584,2.0112853050231934
2020-06-02,5.0,4.390523433685303,2.013545036315918,4.999227523803711
2020-06-03,2.0,2.012389659881592,1.9991923570632935,2.0347702503204346
2020-06-04,36.0,35.985111236572266,35.96591567993164,36.00289535522461
2020-06-05,1.0,9.713865280151367,1.0261633396148682,26.027917861938477
2020-06-06,19.0,18.981643676757812,18.9613037109375,19.000900268554688
2020-06-07,17.0,16.836576461791992,16.143653869628906,17.017902374267578
2020-06-08,12.0,11.088495254516602,7.483673095703125,12.000221252441406
2020-06-09,9.0,9.406306266784668,9.00196361541748,10.988719940185547
2020-06-10,11.0,10.694265365600586,9.471640586853027,11.005701065063477
2020-06-11,15.0,14.990809440612793,14.968982696533203,15.013118743896484
2020-06-12,9.0,9.397056579589844,8.981664657592773,10.99786376953125
2020-06-13,6.0,6.000279426574707,5.986714839935303,6.005955696105957
2020-06-14,2.0,3.0469868183135986,1.9998557567596436,7.2022786140441895
2020-06-15,1.0,1.0017857551574707,0.9948104619979858,1.0080406665802002
2020-06-16,3.0,1.863945722579956,-0.305614709854126,2.98960018157959
2020-06-17,-1.0,-0.16962799429893494,-0.9877140522003174,3.069793462753296
2020-06-18,5.0,6.185231685638428,4.984952449798584,8.734396934509277
2020-06-19,9.0,7.931292533874512,3.685124158859253,9.002717018127441
2020-06-20,3.0,5.816792964935303,3.0094008445739746,11.103611946105957
2020-06-21,12.0,10.581186294555664,4.918705463409424,11.99843692779541
2020-06-22,4.0,4.002663612365723,3.996795415878296,4.00731086730957
2020-06-23,1.0,3.965348482131958,1.0031830072402954,15.771286964416504
2020-06-24,20.0,16.254182815551758,1.341806173324585,19.988080978393555
2020-06-25,7.0,7.015510559082031,7.004160404205322,7.028344631195068
2020-06-26,7.0,6.058324337005615,3.9344964027404785,6.9853739738464355
2020-06-27,2.0,2.223803758621216,1.9854536056518555,3.118553400039673
2020-06-28,2.0,5.099596977233887,2.0069336891174316,8.251171112060547
2020-06-29,6.0,4.817555904388428,0.11852967739105225,6.000718116760254
2020-06-30,0.0,1.4688743352890015,-0.0004018545150756836,7.324588298797607
2020-07-01,2.0,3.2671241760253906,1.991527795791626,8.339360237121582
2020-07-02,17.0,17.00222396850586,16.99336051940918,17.011953353881836
2020-07-03,9.0,8.995177268981934,8.982857704162598,9.003645896911621
2020-07-04,2.0,5.6780219078063965,2.0022926330566406,20.351604461669922
2020-07-05,11.0,10.993624687194824,10.98992919921875,10.999675750732422
2020-07-06,2.0,3.3345751762390137,2.0019822120666504,8.646830558776855
2020-07-07,3.0,5.373017311096191,2.9870452880859375,10.16239070892334
2020-07-08,2.0,6.160609722137451,2.012892246246338,10.13549518585205
2020-07-09,16.0,12.810383796691895,7.514294624328613,15.981681823730469
2020-07-10,5.0,5.842525482177734,4.999913215637207,9.178289413452148
2020-07-11,6.0,6.1624932289123535,5.997870922088623,6.771273612976074
2020-07-12,13.0,12.992141723632812,12.97479248046875,12.99853801727295
2020-07-13,5.0,4.998528480529785,4.994258880615234,5.003165245056152
2020-07-14,4.0,4.004752159118652,3.9987854957580566,4.007546424865723
2020-07-15,13.0,11.193814277648926,4.0141448974609375,12.99600887298584
2020-07-16,7.0,7.892242431640625,6.9953694343566895,11.420377731323242
2020-07-17,9.0,6.3581695556640625,4.125531196594238,8.989420890808105
2020-07-18,4.0,5.057847023010254,3.999652624130249,9.285104751586914
2020-07-19,,8.728570938110352,5.1982245445251465,10.422113418579102
2020-07-20,,5.251551628112793,1.889539122581482,8.695944786071777
2020-07-21,,5.963561534881592,3.471386432647705,8.688127517700195
2020-07-22,,7.5738725662231445,4.133157730102539,10.617778778076172
2020-07-23,,5.973296165466309,4.283464431762695,7.5020575523376465
2020-07-24,,6.626189231872559,5.759123802185059,7.5707879066467285
2020-07-25,,5.198716640472412,3.8872859477996826,8.137126922607422
