,Ohio,forecast,interval_low,interval_high
2020-02-25,0.0,11.681169364893186,11.681169364893186,11.681169364893186
2020-02-26,0.0,11.966632505438557,11.966632505438557,11.966632505438557
2020-02-27,0.0,12.147212114544768,12.147212114544768,12.147212114544768
2020-02-28,0.0,11.640652611239274,11.640652611239274,11.640652611239274
2020-02-29,0.0,12.07620496925489,12.07620496925489,12.07620496925489
2020-03-01,0.0,11.992164626781399,11.992164626781399,11.992164626781399
2020-03-02,0.0,11.671115950931787,11.671115950931787,11.671115950931787
2020-03-03,0.0,12.135252907222313,12.135252907222313,12.135252907222313
2020-03-04,0.0,11.844103861031146,11.844103861031146,11.844103861031146
2020-03-05,0.0,11.75000306349526,11.75000306349526,11.75000306349526
2020-03-06,0.0,12.133239615359027,12.133239615359027,12.133239615359027
2020-03-07,0.0,11.733316059567036,11.733316059567036,11.733316059567036
2020-03-08,0.0,11.85020907894148,11.85020907894148,11.85020907894148
2020-03-09,0.0,12.07495250483927,12.07495250483927,12.07495250483927
2020-03-10,3.0,14.676046393464969,14.676046393464969,14.676046393464969
2020-03-11,1.0,12.864859734611855,12.864859734611855,12.864859734611855
2020-03-12,1.0,12.372733146522943,12.372733146522943,12.372733146522943
2020-03-13,7.0,18.88766754297575,18.88766754297575,18.88766754297575
2020-03-14,14.0,25.2056698747083,25.2056698747083,25.2056698747083
2020-03-15,4.0,14.827720679847872,14.827720679847872,14.827720679847872
2020-03-16,20.0,29.697415552199626,29.697415552199626,29.697415552199626
2020-03-17,17.0,29.417564829987572,29.417564829987572,29.417564829987572
2020-03-18,22.0,28.45741619367551,28.45741619367551,28.45741619367551
2020-03-19,30.0,42.96943052048818,42.96943052048818,42.96943052048818
2020-03-20,54.0,61.67845537282389,61.67845537282389,61.67845537282389
2020-03-21,74.0,84.37879692333259,84.37879692333259,84.37879692333259
2020-03-22,109.0,109.24157545265031,109.24157545265031,109.24157545265031
2020-03-23,87.0,94.4289291385274,94.4289291385274,94.4289291385274
2020-03-24,124.0,117.69179196352788,117.69179196352788,117.69179196352788
2020-03-25,137.0,142.2881367488076,142.2881367488076,142.2881367488076
2020-03-26,164.0,161.95242533447293,161.95242533447293,161.95242533447293
2020-03-27,269.0,276.2016388230403,276.2016388230403,276.2016388230403
2020-03-28,269.0,260.2958208909928,260.2958208909928,260.2958208909928
2020-03-29,247.0,238.35142784692857,238.35142784692857,238.35142784692857
2020-03-30,280.0,262.51433850457374,262.51433850457374,262.51433850457374
2020-03-31,266.0,262.06007451755846,262.06007451755846,262.06007451755846
2020-04-01,348.0,351.9920909196761,351.9920909196761,351.9920909196761
2020-04-02,354.0,350.4048352048703,350.4048352048703,350.4048352048703
2020-04-03,411.0,425.1907167119806,425.1907167119806,425.1907167119806
2020-04-04,427.0,419.9200709569655,419.9200709569655,419.9200709569655
2020-04-05,304.0,266.6178656258261,266.6178656258261,266.6178656258261
2020-04-06,410.0,445.78699735394343,445.78699735394343,445.78699735394343
2020-04-07,329.0,312.06320690942675,312.06320690942675,312.06320690942675
2020-04-08,366.0,376.38755489388177,376.38755489388177,376.38755489388177
2020-04-09,364.0,424.99761199245495,424.99761199245495,424.99761199245495
2020-04-10,366.0,325.18965268544673,325.18965268544673,325.18965268544673
2020-04-11,372.0,438.85392661078197,438.85392661078197,438.85392661078197
2020-04-12,354.0,319.01439281349184,319.01439281349184,319.01439281349184
2020-04-13,371.0,404.31167218482983,404.31167218482983,404.31167218482983
2020-04-14,310.0,326.62938690403223,326.62938690403223,326.62938690403223
2020-04-15,509.0,494.5560838078021,494.5560838078021,494.5560838078021
2020-04-16,620.0,671.2371092218921,671.2371092218921,671.2371092218921
2020-04-17,693.0,648.3856736740669,648.3856736740669,648.3856736740669
2020-04-18,1115.0,1091.114533762122,1091.114533762122,1091.114533762122
2020-04-19,1380.0,1328.6492031871717,1328.6492031871717,1328.6492031871717
2020-04-20,1317.0,1182.017702025702,1182.017702025702,1182.017702025702
2020-04-21,806.0,671.7577532941793,671.7577532941793,671.7577532941793
2020-04-22,392.0,337.9628626141707,337.9628626141707,337.9628626141707
2020-04-23,577.0,606.198764683081,606.198764683081,606.198764683081
2020-04-24,475.0,568.7252279629511,568.7252279629511,568.7252279629511
2020-04-25,418.0,634.3583471295299,634.3583471295299,634.3583471295299
2020-04-26,385.0,500.3722455324688,500.3722455324688,500.3722455324688
2020-04-27,353.0,369.21689135056886,369.21689135056886,369.21689135056886
2020-04-28,444.0,525.3791944215174,525.3791944215174,525.3791944215174
2020-04-29,534.0,474.99498523562795,474.99498523562795,474.99498523562795
2020-04-30,724.0,829.6736140551567,829.6736140551567,829.6736140551567
2020-05-01,716.0,674.281369256738,674.281369256738,674.281369256738
2020-05-02,592.0,475.95376252672395,475.95376252672395,475.95376252672395
2020-05-03,579.0,657.9961485963397,657.9961485963397,657.9961485963397
2020-05-04,560.0,460.75408132346024,460.75408132346024,460.75408132346024
2020-05-05,495.0,517.4647080481004,517.4647080481004,517.4647080481004
2020-05-06,607.0,720.9769222352116,720.9769222352116,720.9769222352116
2020-05-07,555.0,513.4659770489928,513.4659770489928,513.4659770489928
2020-05-08,885.0,929.5017790968939,929.5017790968939,929.5017790968939
2020-05-09,681.0,717.8892221530956,717.8892221530956,717.8892221530956
2020-05-10,384.0,248.27537074472392,248.27537074472392,248.27537074472392
2020-05-11,696.0,807.6850127104703,807.6850127104703,807.6850127104703
2020-05-12,473.0,433.40169006037985,433.40169006037985,433.40169006037985
2020-05-13,471.0,485.80250210709994,485.80250210709994,485.80250210709994
2020-05-14,636.0,755.5622454231939,755.5622454231939,755.5622454231939
2020-05-15,597.0,583.719279674764,583.719279674764,583.719279674764
2020-05-16,520.0,533.0036550537956,533.0036550537956,533.0036550537956
2020-05-17,449.0,404.6292517200622,404.6292517200622,404.6292517200622
2020-05-18,531.0,642.9070156675575,642.9070156675575,642.9070156675575
2020-05-19,498.0,435.13899288904656,435.13899288904656,435.13899288904656
2020-05-20,484.0,494.47435125497594,494.47435125497594,494.47435125497594
2020-05-21,731.0,883.26693252911,883.26693252911,883.26693252911
2020-05-22,627.0,490.09639127544096,490.09639127544096,490.09639127544096
2020-05-23,614.0,635.9665132405896,635.9665132405896,635.9665132405896
2020-05-24,503.0,567.747240304355,567.747240304355,567.747240304355
2020-05-25,566.0,424.572910701386,424.572910701386,424.572910701386
2020-05-26,529.0,670.4436938665824,670.4436938665824,670.4436938665824
2020-05-27,433.0,410.2966511985737,410.2966511985737,410.2966511985737
2020-05-28,476.0,503.9513218108711,503.9513218108711,503.9513218108711
2020-05-29,651.0,729.1595927414203,729.1595927414203,729.1595927414203
2020-05-30,467.0,440.87164057978623,440.87164057978623,440.87164057978623
2020-05-31,480.0,465.85508367979725,465.85508367979725,465.85508367979725
2020-06-01,471.0,562.3233264730658,562.3233264730658,562.3233264730658
