,Puerto Rico,forecast,interval_low,interval_high
2020-03-09,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-03-10,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-03-11,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-03-12,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-03-13,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-03-14,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-03-15,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-03-16,5.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-03-17,5.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-03-18,5.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-03-19,5.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-03-20,14.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-03-21,21.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-03-22,23.0,46.86317443847656,14.4938325881958,71.92069244384766
2020-03-23,31.0,62.380126953125,32.810386657714844,87.66940307617188
2020-03-24,39.0,68.2781982421875,34.55274963378906,97.48873138427734
2020-03-25,51.0,82.05310821533203,46.7508659362793,108.91310119628906
2020-03-26,64.0,102.71170806884766,64.85718536376953,135.75009155273438
2020-03-27,79.0,108.58777618408203,64.59577178955078,145.06576538085938
2020-03-28,100.0,137.7608642578125,98.70085144042969,171.60836791992188
2020-03-29,127.0,65.4832992553711,35.517051696777344,88.59226989746094
2020-03-30,174.0,80.9783706665039,53.434757232666016,104.59060668945312
2020-03-31,239.0,88.78753662109375,57.803749084472656,115.77887725830078
2020-04-01,286.0,102.89180755615234,70.40535736083984,127.47268676757812
2020-04-02,316.0,120.93399810791016,85.59510803222656,151.89385986328125
2020-04-03,316.0,130.3251190185547,89.23187255859375,164.51431274414062
2020-04-04,452.0,159.6901092529297,123.53800964355469,191.25033569335938
2020-04-05,475.0,165.61570739746094,147.02151489257812,179.66470336914062
2020-04-06,513.0,181.00111389160156,163.1558074951172,196.8225860595703
2020-04-07,573.0,199.85255432128906,182.13604736328125,216.2561798095703
2020-04-08,620.0,213.81578063964844,194.82249450683594,227.7175750732422
2020-04-09,683.0,220.42454528808594,197.2723846435547,241.545166015625
2020-04-10,725.0,247.03839111328125,219.8563995361328,270.5002746582031
2020-04-11,788.0,276.9129333496094,254.9352569580078,297.6246337890625
2020-04-12,897.0,497.5227966308594,492.4913330078125,504.4560241699219
2020-04-13,903.0,517.9179077148438,513.7710571289062,522.593505859375
2020-04-14,923.0,551.6961059570312,545.0341186523438,564.4086303710938
2020-04-15,974.0,575.8939819335938,567.7146606445312,587.5025024414062
2020-04-16,1043.0,577.5800170898438,572.2953491210938,584.6660766601562
2020-04-17,1068.0,625.3143920898438,619.9260864257812,628.555908203125
2020-04-18,1118.0,655.4924926757812,646.3543090820312,666.3663330078125
