,Guam,forecast,interval_low,interval_high
2020-03-08,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-03-09,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-03-10,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-03-11,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-03-12,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-03-13,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-03-14,0.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-03-15,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-03-16,3.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-03-17,3.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-03-18,5.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-03-19,12.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-03-20,14.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-03-21,15.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-03-22,27.0,5.699388027191162,4.102965354919434,6.773253917694092
2020-03-23,29.0,6.9025397300720215,5.334767818450928,7.733729362487793
2020-03-24,32.0,7.7978339195251465,6.149803161621094,8.735812187194824
2020-03-25,37.0,9.343332290649414,7.6085591316223145,10.295694351196289
2020-03-26,45.0,10.574755668640137,9.015009880065918,11.717945098876953
2020-03-27,51.0,12.169215202331543,10.130301475524902,13.459736824035645
2020-03-28,55.0,14.324687004089355,11.89291763305664,15.552417755126953
2020-03-29,56.0,25.319259643554688,22.5434627532959,28.14272117614746
2020-03-30,58.0,26.284162521362305,23.233497619628906,29.315940856933594
2020-03-31,69.0,28.807886123657227,25.181550979614258,32.548606872558594
2020-04-01,77.0,31.014230728149414,26.81070327758789,35.216094970703125
2020-04-02,82.0,32.45827102661133,28.148698806762695,36.547149658203125
2020-04-03,84.0,34.45924758911133,30.098339080810547,38.57918167114258
2020-04-04,93.0,34.909576416015625,31.208595275878906,38.33786392211914
2020-04-05,112.0,58.37969970703125,54.500186920166016,62.49349594116211
2020-04-06,113.0,59.35746383666992,55.654388427734375,63.4844856262207
2020-04-07,121.0,62.50711441040039,57.978004455566406,67.39934539794922
2020-04-08,121.0,64.75749969482422,59.762142181396484,70.06322479248047
2020-04-09,128.0,66.48330688476562,61.660186767578125,71.3126449584961
2020-04-10,130.0,68.37920379638672,63.110843658447266,73.6681137084961
2020-04-11,133.0,68.39225006103516,63.52516174316406,73.13455963134766
2020-04-12,133.0,105.6739273071289,99.03034210205078,113.421142578125
2020-04-13,133.0,106.81058502197266,100.5307388305664,114.80388641357422
2020-04-14,133.0,111.68546295166016,103.68594360351562,121.09773254394531
2020-04-15,135.0,114.03064727783203,105.25468444824219,124.41056823730469
2020-04-16,135.0,116.33977508544922,107.94791412353516,125.93257904052734
2020-04-17,136.0,118.9891586303711,109.57890319824219,129.7463836669922
2020-04-18,136.0,117.45287322998047,108.72013092041016,127.25082397460938
2020-04-19,136.0,136.39898681640625,135.63572692871094,137.69888305664062
2020-04-20,136.0,138.07391357421875,136.76637268066406,138.80206298828125
2020-04-21,136.0,140.67848205566406,140.0714111328125,141.37155151367188
2020-04-22,136.0,142.30584716796875,141.58364868164062,143.08685302734375
2020-04-23,139.0,144.70655822753906,144.5545196533203,144.96617126464844
2020-04-24,141.0,146.0821990966797,145.83602905273438,146.40927124023438
2020-04-25,141.0,147.55291748046875,147.24652099609375,147.70718383789062
2020-04-26,141.0,140.69593811035156,139.93988037109375,142.06141662597656
2020-04-27,141.0,142.5587158203125,141.0843048095703,145.15744018554688
2020-04-28,141.0,144.49290466308594,142.60415649414062,146.72439575195312
2020-04-29,141.0,145.95513916015625,143.94288635253906,148.40069580078125
2020-04-30,145.0,148.3241729736328,145.43357849121094,151.04348754882812
2020-05-01,145.0,149.52857971191406,146.90916442871094,151.8588409423828
2020-05-02,145.0,151.62167358398438,148.94869995117188,153.78868103027344
2020-05-03,145.0,145.73155212402344,144.98440551757812,146.78684997558594
2020-05-04,145.0,147.60586547851562,146.31948852539062,149.87939453125
2020-05-05,145.0,149.7136688232422,148.37005615234375,151.5438995361328
2020-05-06,149.0,151.2095184326172,149.8142547607422,153.2130889892578
2020-05-07,149.0,153.62030029296875,151.3345184326172,155.8921356201172
2020-05-08,151.0,154.886474609375,152.88462829589844,156.76876831054688
2020-05-09,151.0,156.9108428955078,154.81410217285156,158.6672821044922
2020-05-10,151.0,150.14427185058594,149.35829162597656,151.70513916015625
2020-05-11,151.0,152.0935821533203,150.60464477539062,154.8982391357422
2020-05-12,152.0,154.0629425048828,152.11627197265625,156.48843383789062
2020-05-13,152.0,155.5253448486328,153.4939422607422,158.16659545898438
2020-05-14,152.0,157.94468688964844,155.0228729248047,160.83108520507812
2020-05-15,154.0,159.19020080566406,156.4983367919922,161.732421875
2020-05-16,154.0,161.39654541015625,158.62364196777344,163.8031463623047
2020-05-17,154.0,156.51080322265625,155.46893310546875,158.42628479003906
2020-05-18,154.0,158.55462646484375,156.83595275878906,161.70445251464844
2020-05-19,154.0,160.49037170410156,158.25955200195312,163.27548217773438
2020-05-20,154.0,161.94935607910156,159.65780639648438,164.95787048339844
2020-05-21,165.0,164.38368225097656,161.20330810546875,167.60362243652344
2020-05-22,165.0,165.70216369628906,162.72900390625,168.6060791015625
2020-05-23,165.0,167.98306274414062,164.88473510742188,170.7948760986328
2020-05-24,166.0,159.51695251464844,158.2982940673828,161.65159606933594
2020-05-25,166.0,161.5914764404297,159.6810302734375,164.97537231445312
2020-05-26,167.0,163.47720336914062,161.01406860351562,166.52017211914062
2020-05-27,170.0,164.9260711669922,162.3860626220703,168.2156524658203
2020-05-28,171.0,167.37501525878906,163.94630432128906,170.8608856201172
