,Vermont,forecast,interval_low,interval_high
2020-06-08,1075.0,1328.8558164926917,,
2020-06-09,1084.0,1338.8875013927807,,
2020-06-10,1095.0,1339.3265089317729,,
2020-06-11,1110.0,1336.0057727355133,,
2020-06-12,1119.0,1332.3985699016348,,
2020-06-13,1125.0,1335.837918657556,,
2020-06-14,1127.0,1336.207674941318,,
2020-06-15,1128.0,1336.4043759190465,,
2020-06-16,1131.0,1336.6537283795462,,
2020-06-17,1130.0,1335.276516830521,,
2020-06-18,1135.0,1337.7963401195489,,
2020-06-19,1144.0,1332.836434913125,,
2020-06-20,1147.0,1329.1875441296577,,
2020-06-21,1159.0,1334.1297886775294,,
2020-06-22,1163.0,1328.4234343640778,,
2020-06-23,1164.0,1334.4915157813275,,
2020-06-24,1184.0,1338.6513613898803,,
2020-06-25,1191.0,1325.7849906398205,,
2020-06-26,1198.0,1336.8831411007347,,
2020-06-27,1200.0,1337.9473833175505,,
2020-06-28,1202.0,1336.0836026560296,,
2020-06-29,1208.0,1335.58375250267,,
2020-06-30,1208.0,1332.5853025386298,,
2020-07-01,1210.0,1337.3047272570273,,
2020-07-02,1227.0,1335.498481505167,,
2020-07-03,1236.0,1324.7933006068388,,
2020-07-04,1238.0,1332.5426151737627,,
2020-07-05,1249.0,1338.3036536930822,,
2020-07-06,1251.0,1329.8324808193913,,
2020-07-07,1254.0,1337.0869515690338,,
2020-07-08,1256.0,1338.2580688216603,,
2020-07-09,1272.0,1336.5146995601228,,
2020-07-10,1277.0,1327.619121726577,,
2020-07-11,1283.0,1335.0511623386913,,
2020-07-12,1296.0,1334.4677345529853,,
2020-07-13,1301.0,1327.5783579347512,,
2020-07-14,1305.0,1335.7789538083084,,
2020-07-15,1318.0,1337.9575201115122,,
2020-07-16,1325.0,1331.0877193122662,,
2020-07-17,1334.0,1336.2589794871228,,
2020-07-18,1338.0,1334.9415732530938,,
2020-07-19,,1343.3368387185335,1329.5529717820102,1357.1207056550568
2020-07-20,,1348.6149478093744,1324.7992636197832,1372.4306319989655
2020-07-21,,1353.362930083681,1319.3118810931321,1387.41397907423
2020-07-22,,1359.0614254528189,1313.2724161315837,1404.850434774054
2020-07-23,,1365.2704704483508,1307.3952605659358,1423.1456803307658
2020-07-24,,1371.518754088522,1300.5551192611754,1442.4823889158686
2020-07-25,,1377.607812530565,1291.9547768664281,1463.260848194702
