,Mississippi,forecast,interval_low,interval_high
2020-04-19,7.0,11.283926010131836,9.89096736907959,11.95317268371582
2020-04-20,10.0,10.569540023803711,9.627104759216309,11.84280776977539
2020-04-21,14.0,9.412225723266602,8.269292831420898,9.945775032043457
2020-04-22,10.0,10.451359748840332,10.048840522766113,10.938523292541504
2020-04-23,8.0,10.31878662109375,10.04740047454834,10.906296730041504
2020-04-24,8.0,12.032472610473633,10.696584701538086,13.05453109741211
2020-04-25,12.0,13.189760208129883,11.16181755065918,14.175009727478027
2020-04-26,6.0,11.215581893920898,10.784233093261719,11.831533432006836
2020-04-27,2.0,11.785687446594238,11.379114151000977,12.80817699432373
2020-04-28,10.0,12.143782615661621,11.149038314819336,13.043329238891602
2020-04-29,11.0,13.295644760131836,12.52067756652832,13.993698120117188
2020-04-30,11.0,12.385294914245605,11.791582107543945,13.04830551147461
2020-05-01,20.0,13.011258125305176,12.334985733032227,13.7013521194458
2020-05-02,10.0,13.002023696899414,12.474851608276367,13.713408470153809
2020-05-03,12.0,11.696008682250977,10.320087432861328,12.446755409240723
2020-05-04,7.0,11.526070594787598,10.713176727294922,12.629091262817383
2020-05-05,32.0,10.433682441711426,9.826567649841309,11.157562255859375
2020-05-06,32.0,10.922740936279297,10.556065559387207,11.383414268493652
2020-05-07,22.0,10.2975435256958,9.943780899047852,10.947831153869629
2020-05-08,13.0,11.644719123840332,10.785319328308105,12.216339111328125
2020-05-09,12.0,12.803972244262695,11.203439712524414,13.511748313903809
2020-05-10,9.0,15.096338272094727,14.344255447387695,16.017749786376953
2020-05-11,5.0,11.155329704284668,10.32155990600586,11.601187705993652
2020-05-12,22.0,10.173095703125,9.163609504699707,12.59014892578125
2020-05-13,8.0,13.119166374206543,11.628817558288574,15.305036544799805
2020-05-14,15.0,14.934799194335938,13.968277931213379,16.23940086364746
2020-05-15,13.0,16.627988815307617,15.612741470336914,17.305715560913086
2020-05-16,17.0,18.457210540771484,17.633947372436523,19.207862854003906
2020-05-17,11.0,14.710203170776367,13.669692993164062,15.4273099899292
2020-05-18,6.0,14.231654167175293,13.489301681518555,15.42456340789795
2020-05-19,27.0,12.351160049438477,11.301591873168945,13.713622093200684
2020-05-20,16.0,12.559505462646484,11.503849029541016,13.520927429199219
2020-05-21,10.0,11.026158332824707,10.31877326965332,12.113704681396484
2020-05-22,15.0,12.185718536376953,11.570602416992188,12.909497261047363
2020-05-23,21.0,13.003186225891113,12.558631896972656,13.472049713134766
2020-05-24,9.0,13.849830627441406,13.480690956115723,14.400906562805176
2020-05-25,10.0,12.641655921936035,11.857129096984863,13.487167358398438
2020-05-26,17.0,12.136855125427246,11.57144832611084,13.363669395446777
2020-05-27,18.0,13.869494438171387,12.85355281829834,14.637186050415039
2020-05-28,23.0,13.34858226776123,12.528282165527344,14.037982940673828
2020-05-29,17.0,14.356160163879395,13.841683387756348,14.985359191894531
2020-05-30,13.0,14.812090873718262,14.359447479248047,15.30856704711914
2020-05-31,11.0,13.566164016723633,13.15982437133789,14.145174026489258
2020-06-01,5.0,13.128881454467773,12.3514986038208,13.819792747497559
2020-06-02,28.0,12.772270202636719,12.225298881530762,13.162731170654297
2020-06-03,15.0,14.004734992980957,13.193196296691895,14.72639274597168
2020-06-04,12.0,13.215131759643555,12.316669464111328,13.77015495300293
2020-06-05,9.0,13.593812942504883,12.63762092590332,14.456002235412598
2020-06-06,8.0,14.389083862304688,13.831945419311523,15.000936508178711
2020-06-07,6.0,15.308979988098145,14.65371036529541,15.997600555419922
2020-06-08,20.0,13.639147758483887,12.767495155334473,14.644405364990234
2020-06-09,10.0,11.834627151489258,10.647143363952637,14.281965255737305
2020-06-10,21.0,13.021781921386719,11.670446395874023,14.600728034973145
2020-06-11,0.0,12.260504722595215,11.25869083404541,13.66968822479248
2020-06-12,13.0,13.442949295043945,12.741741180419922,14.61847972869873
2020-06-13,8.0,14.569165229797363,14.185079574584961,14.987340927124023
2020-06-14,2.0,12.529383659362793,12.236743927001953,13.17507553100586
2020-06-15,4.0,11.349711418151855,10.926998138427734,12.219581604003906
2020-06-16,20.0,11.019121170043945,10.680702209472656,11.330726623535156
2020-06-17,23.0,13.17426586151123,12.57015609741211,13.832433700561523
2020-06-18,0.0,13.477884292602539,12.816332817077637,13.951704025268555
2020-06-19,0.0,14.571751594543457,14.053712844848633,15.186851501464844
2020-06-20,0.0,15.63469123840332,14.447920799255371,16.169851303100586
2020-06-21,0.0,10.063345909118652,9.655789375305176,10.508427619934082
2020-06-22,40.0,8.342164993286133,8.050650596618652,8.841635704040527
2020-06-23,11.0,8.502840042114258,8.213286399841309,8.84727668762207
2020-06-24,22.0,11.341054916381836,10.981656074523926,11.538082122802734
2020-06-25,5.0,13.573407173156738,12.566082954406738,14.003524780273438
