,Oregon,forecast,interval_low,interval_high
2020-04-08,4.0,3.45027802155604,3.45027802155604,3.45027802155604
2020-04-09,11.0,8.828633751156179,8.828633751156179,8.828633751156179
2020-04-10,0.0,0.0,0.0,0.0
2020-04-11,4.0,6.634034418097306,6.634034418097306,6.634034418097306
2020-04-12,4.0,2.0076994809127546,2.0076994809127546,2.0076994809127546
2020-04-13,1.0,0.1707088984158842,0.1707088984158842,0.1707088984158842
2020-04-14,2.0,4.169430297871573,4.169430297871573,4.169430297871573
2020-04-15,3.0,5.023128842510606,5.023128842510606,5.023128842510606
2020-04-16,6.0,7.286871736511031,7.286871736511031,7.286871736511031
2020-04-17,6.0,4.022630710733539,4.022630710733539,4.022630710733539
2020-04-18,2.0,0.11130657286722911,0.11130657286722911,0.11130657286722911
2020-04-19,2.0,3.9799579470235673,3.9799579470235673,3.9799579470235673
