,Diamond Princess,forecast,interval_low,interval_high
2020-03-27,0.0,3.900528099620715e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-28,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-29,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-30,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-03-31,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-04-01,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-02,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-03,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-04-04,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-04-05,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-04-06,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-04-07,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-04-08,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-09,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-10,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-04-11,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-04-12,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-04-13,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-04-14,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-04-15,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-16,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-04-17,0.0,4.1121245885733515e-05,1.800060272216797e-05,5.269050598144531e-05
2020-04-18,0.0,7.74204745539464e-05,1.5437602996826172e-05,0.00022560358047485352
2020-04-19,0.0,7.74204745539464e-05,1.5437602996826172e-05,0.00022560358047485352
2020-04-20,0.0,3.49581241607666e-05,-9.59634780883789e-06,5.269050598144531e-05
2020-04-21,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-04-22,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-23,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-24,0.0,3.900528099620715e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-25,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-26,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-27,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-04-28,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-04-29,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-04-30,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-01,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-05-02,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-05-03,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-05-04,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-05-05,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-05-06,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-05-07,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-05-08,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-05-09,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-05-10,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-05-11,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-05-12,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-05-13,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-05-14,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-05-15,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-05-16,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-05-17,0.0,4.060864375787787e-05,1.5437602996826172e-05,5.269050598144531e-05
2020-05-18,0.0,4.18663039454259e-05,2.4944543838500977e-05,5.269050598144531e-05
2020-05-19,0.0,4.18663039454259e-05,2.4944543838500977e-05,5.269050598144531e-05
2020-05-20,0.0,0.0001653432846069336,4.2825937271118164e-05,0.0003954768180847168
2020-05-21,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-22,0.0,3.900528099620715e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-23,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-24,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-25,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-05-26,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-05-27,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-28,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-29,0.0,3.900528099620715e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-30,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-05-31,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-01,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-02,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-03,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-06-04,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-06-05,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-06-06,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-06-07,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-06-08,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-09,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-10,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-06-11,0.0,3.5315752029418945e-05,-1.1026859283447266e-05,5.269050598144531e-05
2020-06-12,0.0,4.215240551275201e-05,2.3156404495239258e-05,5.269050598144531e-05
2020-06-13,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-06-14,0.0,4.163980338489637e-05,2.059340476989746e-05,5.269050598144531e-05
2020-06-15,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-16,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-06-17,0.0,3.4290551411686465e-05,-1.615285873413086e-05,5.269050598144531e-05
2020-06-18,0.0,7.1102382207755e-05,-1.615285873413086e-05,0.00022560358047485352
2020-06-19,0.0,7.793307304382324e-05,1.800060272216797e-05,0.00022560358047485352
2020-06-20,0.0,0.0006308972951956093,4.2825937271118164e-05,0.0026129484176635742
2020-06-21,0.0,-0.00020235180272720754,-0.0011673569679260254,5.269050598144531e-05
2020-06-22,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-06-23,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-06-24,0.0,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-25,0.0,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-26,0.0,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-27,0.0,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-28,0.0,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-06-29,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-06-30,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-07-01,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-02,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-03,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-04,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-05,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-06,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-07-07,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-07-08,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-09,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-10,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
