,Georgia,forecast,interval_low,interval_high
2020-04-05,6647.0,3254.180908203125,3057.230712890625,3558.420166015625
2020-04-06,7314.0,3526.86328125,3363.670166015625,3717.6318359375
2020-04-07,8822.0,3839.0126953125,3664.966064453125,4118.533203125
2020-04-08,9901.0,3926.866455078125,3758.727294921875,4186.61083984375
2020-04-09,10566.0,4101.85595703125,3920.209716796875,4331.19189453125
2020-04-10,11485.0,4421.55908203125,4255.296875,4636.86376953125
2020-04-11,12159.0,4818.42919921875,4642.408203125,5156.86962890625
2020-04-12,12452.0,7180.62353515625,6867.97216796875,7732.642578125
2020-04-13,13315.0,7554.8125,7283.57568359375,8035.43115234375
2020-04-14,14578.0,7968.32177734375,7668.0361328125,8493.4140625
2020-04-15,14987.0,7938.71630859375,7637.07275390625,8468.669921875
2020-04-16,15669.0,8079.73828125,7844.39794921875,8544.2451171875
2020-04-17,17194.0,8472.822265625,8230.2236328125,8937.1796875
2020-04-18,17669.0,9171.75390625,8867.1142578125,9718.4814453125
2020-04-19,18301.0,12957.703125,12424.5380859375,13780.9384765625
2020-04-20,19407.0,13383.6484375,12859.353515625,14162.619140625
2020-04-21,19881.0,13892.6357421875,13393.0048828125,14676.8642578125
2020-04-22,21214.0,13870.21875,13354.54296875,14683.7666015625
2020-04-23,21883.0,14044.5625,13611.3212890625,14760.904296875
2020-04-24,22491.0,14505.28515625,14065.240234375,15231.1298828125
2020-04-25,23222.0,15423.3232421875,15004.6318359375,16181.5478515625
2020-04-26,23486.0,18730.75,18027.599609375,19766.873046875
2020-04-27,24302.0,19209.03125,18505.1171875,20195.1328125
2020-04-28,24922.0,19812.044921875,19164.13671875,20794.43359375
2020-04-29,25775.0,19848.216796875,19177.81640625,20871.55078125
2020-04-30,26264.0,20080.193359375,19496.517578125,20988.58203125
2020-05-01,27489.0,20624.189453125,20037.30859375,21547.548828125
2020-05-02,28331.0,21701.720703125,21192.525390625,22633.294921875
2020-05-03,28665.0,24651.927734375,23931.48046875,25733.21484375
2020-05-04,29451.0,25108.572265625,24387.5,26114.193359375
