,New Jersey,forecast,interval_low,interval_high
2020-04-27,2150.0,1346.1238813229536,1346.1238813229536,1346.1238813229536
2020-04-28,2668.0,5111.728079701737,5111.728079701737,5111.728079701737
2020-04-29,2509.0,1913.3807518932497,1913.3807518932497,1913.3807518932497
2020-04-30,2287.0,2271.660105258844,2271.660105258844,2271.660105258844
2020-05-01,2538.0,2391.670464480282,2391.670464480282,2391.670464480282
2020-05-02,2527.0,2150.6458308946567,2150.6458308946567,2150.6458308946567
2020-05-03,3027.0,2897.499773748555,2897.499773748555,2897.499773748555
2020-05-04,1525.0,265.88252430216266,265.88252430216266,265.88252430216266
2020-05-05,2324.0,4777.922708072798,4777.922708072798,4777.922708072798
2020-05-06,1297.0,0.0,0.0,0.0
2020-05-07,2101.0,3430.797869400276,3430.797869400276,3430.797869400276
2020-05-08,1849.0,472.90671550254615,472.90671550254615,472.90671550254615
2020-05-09,1557.0,1815.4380034909154,1815.4380034909154,1815.4380034909154
2020-05-10,1357.0,1904.25120636269,1904.25120636269,1904.25120636269
2020-05-11,1452.0,1467.0117456635842,1467.0117456635842,1467.0117456635842
2020-05-12,711.0,346.4557475509564,346.4557475509564,346.4557475509564
2020-05-13,643.0,1524.0576458144883,1524.0576458144883,1524.0576458144883
2020-05-14,1144.0,1294.455726866908,1294.455726866908,1294.455726866908
2020-05-15,1280.0,145.45201762143233,145.45201762143233,145.45201762143233
2020-05-16,1105.0,518.4538033200344,518.4538033200344,518.4538033200344
2020-05-17,1415.0,1588.0355493990614,1588.0355493990614,1588.0355493990614
2020-05-18,1736.0,1106.9961821288211,1106.9961821288211,1106.9961821288211
2020-05-19,1116.0,173.72944500372057,173.72944500372057,173.72944500372057
2020-05-20,1420.0,2322.8121066200247,2322.8121066200247,2322.8121066200247
2020-05-21,810.0,470.54044744945725,470.54044744945725,470.54044744945725
2020-05-22,993.0,2002.4428158912413,2002.4428158912413,2002.4428158912413
2020-05-23,561.0,294.8979167162946,294.8979167162946,294.8979167162946
2020-05-24,1014.0,1789.208973067547,1789.208973067547,1789.208973067547
2020-05-25,938.0,255.83307370965053,255.83307370965053,255.83307370965053
2020-05-26,672.0,606.1760409668278,606.1760409668278,606.1760409668278
2020-05-27,864.0,1325.9087595694036,1325.9087595694036,1325.9087595694036
2020-05-28,557.0,80.4100693947957,80.4100693947957,80.4100693947957
2020-05-29,1659.0,1995.950605145014,1995.950605145014,1995.950605145014
2020-05-30,764.0,0.0,0.0,0.0
2020-05-31,837.0,2284.232126376944,2284.232126376944,2284.232126376944
2020-06-01,473.0,557.1933565583289,557.1933565583289,557.1933565583289
2020-06-02,627.0,1123.0533181203423,1123.0533181203423,1123.0533181203423
2020-06-03,523.0,174.2463506898921,174.2463506898921,174.2463506898921
2020-06-04,462.0,558.9092655619868,558.9092655619868,558.9092655619868
2020-06-05,806.0,1130.2857281946815,1130.2857281946815,1130.2857281946815
2020-06-06,557.0,0.0,0.0,0.0
2020-06-07,271.0,552.9881909299768,552.9881909299768,552.9881909299768
2020-06-08,333.0,744.8253288044966,744.8253288044966,744.8253288044966
2020-06-09,299.0,129.01882742661152,129.01882742661152,129.01882742661152
2020-06-10,550.0,431.62235127418194,431.62235127418194,431.62235127418194
2020-06-11,470.0,0.0,0.0,0.0
2020-06-12,348.0,504.2045401171696,504.2045401171696,504.2045401171696
