,New York,forecast,interval_low,interval_high
2020-04-09,10718.0,6969.36474609375,6724.13818359375,7396.7568359375
2020-04-10,10569.0,6919.43603515625,6458.24365234375,7517.54443359375
2020-04-11,8678.0,6830.396484375,6315.85546875,7201.958984375
2020-04-12,8007.0,6571.80810546875,6089.68896484375,7035.447265625
2020-04-13,6716.0,8945.0068359375,8595.861328125,9150.9892578125
2020-04-14,7271.0,8760.2958984375,8598.0625,8916.947265625
2020-04-15,11434.0,8413.9111328125,8098.7998046875,8659.2939453125
2020-04-16,9237.0,8418.3984375,7911.1708984375,9016.107421875
2020-04-17,6906.0,8131.80615234375,7373.296875,8525.166015625
2020-04-18,6877.0,7968.12890625,7082.9150390625,8581.845703125
2020-04-19,5908.0,7519.3671875,6821.0400390625,8051.3193359375
2020-04-20,5034.0,8051.06884765625,7614.00830078125,8401.685546875
2020-04-21,5103.0,7897.955078125,7573.517578125,8102.216796875
2020-04-22,4703.0,7573.80224609375,7189.3955078125,8037.5908203125
2020-04-23,5238.0,7527.82421875,6968.4931640625,7946.74169921875
2020-04-24,8130.0,7206.00390625,6375.958984375,7874.4052734375
2020-04-25,10553.0,7100.14208984375,6251.03515625,7960.96044921875
2020-04-26,5902.0,6748.04443359375,5997.5517578125,7480.7890625
2020-04-27,3951.0,5314.5,4982.716796875,5562.3876953125
2020-04-28,3110.0,5306.08935546875,5216.67041015625,5425.62890625
2020-04-29,4585.0,5121.93701171875,4768.4541015625,5650.25
2020-04-30,4681.0,5051.1142578125,4407.0107421875,5526.9541015625
2020-05-01,3942.0,4661.607421875,3977.412353515625,5517.12255859375
2020-05-02,4663.0,4637.83447265625,3883.44091796875,5336.63037109375
2020-05-03,3438.0,4359.984375,3915.61376953125,5083.736328125
2020-05-04,2538.0,5093.65380859375,4798.201171875,5286.95458984375
2020-05-05,2239.0,5127.53564453125,4983.3564453125,5253.5908203125
2020-05-06,2786.0,4950.07666015625,4609.3193359375,5466.12646484375
2020-05-07,3491.0,4870.81787109375,4168.21923828125,5469.21044921875
2020-05-08,2938.0,4394.03076171875,3724.388916015625,5306.96337890625
2020-05-09,2715.0,4388.83642578125,3580.667724609375,5066.416015625
2020-05-10,2273.0,4064.0908203125,3670.972900390625,4834.6875
2020-05-11,1660.0,2974.436767578125,2781.72412109375,3090.482666015625
2020-05-12,1430.0,2975.777099609375,2914.799072265625,3089.221923828125
2020-05-13,2176.0,2896.447509765625,2716.15234375,3137.69677734375
2020-05-14,2390.0,2907.710205078125,2592.321044921875,3170.349609375
2020-05-15,2762.0,2734.6611328125,2380.73974609375,3144.4267578125
2020-05-16,2419.0,2777.144287109375,2379.95263671875,3081.935546875
2020-05-17,1889.0,2673.239013671875,2456.582275390625,3012.1298828125
2020-05-18,1250.0,2046.0499267578125,1892.63232421875,2133.96142578125
2020-05-19,1474.0,2047.5654296875,1968.260009765625,2129.274658203125
2020-05-20,1525.0,2009.3167724609375,1880.927001953125,2184.11181640625
2020-05-21,2088.0,2051.160400390625,1844.4324951171875,2206.955810546875
2020-05-22,1696.0,1968.2210693359375,1717.15771484375,2249.148193359375
2020-05-23,1772.0,2015.787109375,1741.5045166015625,2232.715576171875
2020-05-24,1589.0,1986.1043701171875,1815.7510986328125,2231.190673828125
2020-05-25,1249.0,1733.6026611328125,1604.27001953125,1823.5001220703125
2020-05-26,1072.0,1737.88818359375,1679.2984619140625,1812.392578125
2020-05-27,1129.0,1715.7216796875,1608.578857421875,1855.67724609375
2020-05-28,1768.0,1770.6590576171875,1596.8638916015625,1915.5675048828125
2020-05-29,1551.0,1713.7392578125,1501.8355712890625,1940.400390625
2020-05-30,1376.0,1761.8375244140625,1524.261474609375,1924.0771484375
2020-05-31,1110.0,1746.173828125,1605.575927734375,1944.9688720703125
2020-06-01,941.0,1390.65380859375,1280.7379150390625,1474.30712890625
2020-06-02,1329.0,1394.7105712890625,1340.3709716796875,1456.6307373046875
2020-06-03,1045.0,1389.1419677734375,1302.6697998046875,1499.2650146484375
2020-06-04,1048.0,1458.1949462890625,1323.9267578125,1575.34619140625
2020-06-05,1075.0,1436.36181640625,1263.531005859375,1605.577880859375
2020-06-06,1108.0,1483.23779296875,1289.0623779296875,1601.89453125
2020-06-07,781.0,1489.9110107421875,1368.3436279296875,1646.4610595703125
2020-06-08,702.0,1230.5618896484375,1127.0687255859375,1308.6439208984375
2020-06-09,683.0,1229.8502197265625,1159.5849609375,1284.7342529296875
2020-06-10,674.0,1230.3489990234375,1157.6300048828125,1319.361572265625
2020-06-11,736.0,1309.4771728515625,1205.8638916015625,1396.73046875
2020-06-12,822.0,1316.0887451171875,1167.6151123046875,1441.328369140625
2020-06-13,916.0,1360.2061767578125,1196.438232421875,1461.7601318359375
2020-06-14,694.0,1386.9495849609375,1265.199951171875,1517.4600830078125
2020-06-15,620.0,879.1640625,791.8348388671875,941.2100219726562
2020-06-16,631.0,886.9094848632812,833.7958374023438,924.1834106445312
2020-06-17,567.0,904.3338012695312,842.4725341796875,990.025390625
2020-06-18,618.0,990.4746704101562,899.0607299804688,1069.2406005859375
2020-06-19,796.0,1007.3762817382812,878.7496337890625,1123.5958251953125
2020-06-20,716.0,1051.4420166015625,909.4639282226562,1135.426513671875
2020-06-21,664.0,1089.2281494140625,986.4291381835938,1215.4163818359375
2020-06-22,552.0,775.4518432617188,695.4811401367188,837.76171875
2020-06-23,597.0,781.6360473632812,728.405517578125,815.61962890625
2020-06-24,581.0,803.7501831054688,751.1136474609375,873.5540771484375
2020-06-25,749.0,896.4495239257812,822.1162109375,966.0626220703125
2020-06-26,805.0,928.1976928710938,815.274169921875,1015.5799560546875
2020-06-27,703.0,971.1082153320312,845.7559814453125,1036.902587890625
2020-06-28,616.0,1016.9934692382812,919.247802734375,1123.7418212890625
2020-06-29,391.0,727.204345703125,649.1913452148438,787.7265014648438
2020-06-30,524.0,732.3126831054688,675.0973510742188,763.9994506835938
2020-07-01,625.0,756.2267456054688,707.5624389648438,820.2437133789062
2020-07-02,875.0,851.7891235351562,785.5917358398438,914.0186767578125
2020-07-03,918.0,891.0537109375,784.7576904296875,966.446533203125
2020-07-04,726.0,933.0797729492188,815.8006591796875,994.565185546875
2020-07-05,533.0,984.317626953125,886.3447265625,1084.727294921875
2020-07-06,518.0,691.4412231445312,610.5597534179688,743.2224731445312
2020-07-07,588.0,699.3043823242188,639.8236083984375,731.8115844726562
2020-07-08,692.0,724.5447387695312,672.2449951171875,801.4898681640625
2020-07-09,584.0,817.6292114257812,744.0479736328125,877.4124755859375
2020-07-10,786.0,851.55859375,739.1209106445312,946.022705078125
2020-07-11,730.0,893.4270629882812,772.305419921875,969.5585327148438
2020-07-12,677.0,945.5902709960938,844.7283325195312,1062.595947265625
2020-07-13,557.0,737.4253540039062,653.64453125,790.24853515625
2020-07-14,912.0,744.0901489257812,680.5928344726562,778.7073974609375
2020-07-15,831.0,766.9735717773438,712.8349609375,845.6513061523438
2020-07-16,769.0,858.8836059570312,783.5147705078125,918.0726928710938
2020-07-17,776.0,891.586669921875,776.1004638671875,988.6934814453125
2020-07-18,754.0,933.401611328125,809.4744262695312,1013.9771728515625
2020-07-19,502.0,984.8320922851562,880.4563598632812,1103.886962890625
2020-07-20,,821.9780883789062,743.01806640625,894.93505859375
2020-07-21,,817.2149047851562,741.346923828125,857.4566040039062
2020-07-22,,835.2919311523438,795.2711791992188,872.3414916992188
2020-07-23,,936.7268676757812,893.3020629882812,985.2523803710938
2020-07-24,,995.2454223632812,902.6401977539062,1057.8033447265625
2020-07-25,,1035.552490234375,932.024169921875,1093.3231201171875
2020-07-26,,1094.8740234375,989.3187866210938,1164.9840087890625
